percentile,profession,publicprivate,income
3,Arkitekt,public,30500
4,Arkitekt,public,30950
5,Arkitekt,public,31500
6,Arkitekt,public,31800
7,Arkitekt,public,32000
8,Arkitekt,public,32100
9,Arkitekt,public,32700
10,Arkitekt,public,33000
11,Arkitekt,public,33000
12,Arkitekt,public,33500
13,Arkitekt,public,34000
14,Arkitekt,public,34000
15,Arkitekt,public,34300
16,Arkitekt,public,34700
17,Arkitekt,public,34850
18,Arkitekt,public,35000
19,Arkitekt,public,35000
20,Arkitekt,public,35100
21,Arkitekt,public,35500
22,Arkitekt,public,35850
23,Arkitekt,public,36000
24,Arkitekt,public,36350
25,Arkitekt,public,36650
26,Arkitekt,public,36811
27,Arkitekt,public,37000
28,Arkitekt,public,37300
29,Arkitekt,public,37400
30,Arkitekt,public,37500
31,Arkitekt,public,37600
32,Arkitekt,public,37950
33,Arkitekt,public,38100
34,Arkitekt,public,38200
35,Arkitekt,public,38400
36,Arkitekt,public,38600
37,Arkitekt,public,39000
38,Arkitekt,public,39100
39,Arkitekt,public,39400
40,Arkitekt,public,39600
41,Arkitekt,public,39700
42,Arkitekt,public,39800
43,Arkitekt,public,40000
44,Arkitekt,public,40000
45,Arkitekt,public,40300
46,Arkitekt,public,40500
47,Arkitekt,public,40650
48,Arkitekt,public,40800
49,Arkitekt,public,41000
50,Arkitekt,public,41050
51,Arkitekt,public,41200
52,Arkitekt,public,41500
53,Arkitekt,public,41800
54,Arkitekt,public,42000
55,Arkitekt,public,42000
56,Arkitekt,public,42187
57,Arkitekt,public,42500
58,Arkitekt,public,42700
59,Arkitekt,public,42900
60,Arkitekt,public,43000
61,Arkitekt,public,43325
62,Arkitekt,public,44000
63,Arkitekt,public,44400
64,Arkitekt,public,44700
65,Arkitekt,public,44900
66,Arkitekt,public,45000
67,Arkitekt,public,45200
68,Arkitekt,public,45350
69,Arkitekt,public,46000
70,Arkitekt,public,46400
71,Arkitekt,public,46800
72,Arkitekt,public,47000
73,Arkitekt,public,47500
74,Arkitekt,public,48000
75,Arkitekt,public,48300
76,Arkitekt,public,48650
77,Arkitekt,public,49000
78,Arkitekt,public,49647
79,Arkitekt,public,50000
80,Arkitekt,public,50200
81,Arkitekt,public,50800
82,Arkitekt,public,51000
83,Arkitekt,public,51300
84,Arkitekt,public,52000
85,Arkitekt,public,52750
86,Arkitekt,public,53200
87,Arkitekt,public,53600
88,Arkitekt,public,54500
89,Arkitekt,public,55000
90,Arkitekt,public,55500
91,Arkitekt,public,57000
92,Arkitekt,public,58300
93,Arkitekt,public,60000
94,Arkitekt,public,62000
95,Arkitekt,public,63900
96,Arkitekt,public,66300
97,Arkitekt,public,70100
