percentile,profession,publicprivate,income
3,Biolog,private,25000
4,Biolog,private,26000
5,Biolog,private,26500
6,Biolog,private,27000
7,Biolog,private,27555
8,Biolog,private,28000
9,Biolog,private,28000
10,Biolog,private,28500
11,Biolog,private,29000
12,Biolog,private,29500
13,Biolog,private,29950
14,Biolog,private,30000
15,Biolog,private,30474
16,Biolog,private,30730
17,Biolog,private,31000
18,Biolog,private,31400
19,Biolog,private,31646
20,Biolog,private,32000
21,Biolog,private,32200
22,Biolog,private,32500
23,Biolog,private,33000
24,Biolog,private,33072
25,Biolog,private,33500
26,Biolog,private,33650
27,Biolog,private,33900
28,Biolog,private,34000
29,Biolog,private,34079
30,Biolog,private,34500
31,Biolog,private,34741
32,Biolog,private,34850
33,Biolog,private,35000
34,Biolog,private,35100
35,Biolog,private,35500
36,Biolog,private,35857
37,Biolog,private,36000
38,Biolog,private,36300
39,Biolog,private,36608
40,Biolog,private,37000
41,Biolog,private,37200
42,Biolog,private,37500
43,Biolog,private,37813
44,Biolog,private,38000
45,Biolog,private,38257
46,Biolog,private,38500
47,Biolog,private,38757
48,Biolog,private,39000
49,Biolog,private,39200
50,Biolog,private,39699
51,Biolog,private,40000
52,Biolog,private,40017
53,Biolog,private,40334
54,Biolog,private,40756
55,Biolog,private,41000
56,Biolog,private,41117
57,Biolog,private,41500
58,Biolog,private,42000
59,Biolog,private,42000
60,Biolog,private,42343
61,Biolog,private,42700
62,Biolog,private,43150
63,Biolog,private,43532
64,Biolog,private,44000
65,Biolog,private,44400
66,Biolog,private,44800
67,Biolog,private,45000
68,Biolog,private,45183
69,Biolog,private,45700
70,Biolog,private,46004
71,Biolog,private,46500
72,Biolog,private,47100
73,Biolog,private,47798
74,Biolog,private,48000
75,Biolog,private,48500
76,Biolog,private,48800
77,Biolog,private,49500
78,Biolog,private,50000
79,Biolog,private,50500
80,Biolog,private,51000
81,Biolog,private,51754
82,Biolog,private,52150
83,Biolog,private,52950
84,Biolog,private,53600
85,Biolog,private,54300
86,Biolog,private,55000
87,Biolog,private,55370
88,Biolog,private,56000
89,Biolog,private,57092
90,Biolog,private,58300
91,Biolog,private,59700
92,Biolog,private,61000
93,Biolog,private,63600
94,Biolog,private,66051
95,Biolog,private,69228
96,Biolog,private,72960
97,Biolog,private,76000
