percentile,profession,publicprivate,income
3,Civilekonom/ekonom,private,26800
4,Civilekonom/ekonom,private,27630
5,Civilekonom/ekonom,private,28500
6,Civilekonom/ekonom,private,29000
7,Civilekonom/ekonom,private,29750
8,Civilekonom/ekonom,private,30000
9,Civilekonom/ekonom,private,30775
10,Civilekonom/ekonom,private,31200
11,Civilekonom/ekonom,private,32000
12,Civilekonom/ekonom,private,32500
13,Civilekonom/ekonom,private,33000
14,Civilekonom/ekonom,private,33500
15,Civilekonom/ekonom,private,34000
16,Civilekonom/ekonom,private,34400
17,Civilekonom/ekonom,private,35000
18,Civilekonom/ekonom,private,35000
19,Civilekonom/ekonom,private,35600
20,Civilekonom/ekonom,private,36000
21,Civilekonom/ekonom,private,36500
22,Civilekonom/ekonom,private,37000
23,Civilekonom/ekonom,private,37350
24,Civilekonom/ekonom,private,37769
25,Civilekonom/ekonom,private,38000
26,Civilekonom/ekonom,private,38500
27,Civilekonom/ekonom,private,39000
28,Civilekonom/ekonom,private,39271
29,Civilekonom/ekonom,private,39850
30,Civilekonom/ekonom,private,40000
31,Civilekonom/ekonom,private,40200
32,Civilekonom/ekonom,private,40800
33,Civilekonom/ekonom,private,41000
34,Civilekonom/ekonom,private,41507
35,Civilekonom/ekonom,private,42000
36,Civilekonom/ekonom,private,42300
37,Civilekonom/ekonom,private,42700
38,Civilekonom/ekonom,private,43000
39,Civilekonom/ekonom,private,43500
40,Civilekonom/ekonom,private,44000
41,Civilekonom/ekonom,private,44300
42,Civilekonom/ekonom,private,44700
43,Civilekonom/ekonom,private,45000
44,Civilekonom/ekonom,private,45100
45,Civilekonom/ekonom,private,45637
46,Civilekonom/ekonom,private,46000
47,Civilekonom/ekonom,private,46457
48,Civilekonom/ekonom,private,46900
49,Civilekonom/ekonom,private,47200
50,Civilekonom/ekonom,private,47657
51,Civilekonom/ekonom,private,48000
52,Civilekonom/ekonom,private,48465
53,Civilekonom/ekonom,private,49000
54,Civilekonom/ekonom,private,49500
55,Civilekonom/ekonom,private,49962
56,Civilekonom/ekonom,private,50000
57,Civilekonom/ekonom,private,50487
58,Civilekonom/ekonom,private,51000
59,Civilekonom/ekonom,private,51500
60,Civilekonom/ekonom,private,52000
61,Civilekonom/ekonom,private,52539
62,Civilekonom/ekonom,private,53000
63,Civilekonom/ekonom,private,53625
64,Civilekonom/ekonom,private,54300
65,Civilekonom/ekonom,private,55000
66,Civilekonom/ekonom,private,55257
67,Civilekonom/ekonom,private,55900
68,Civilekonom/ekonom,private,56500
69,Civilekonom/ekonom,private,57094
70,Civilekonom/ekonom,private,57857
71,Civilekonom/ekonom,private,58500
72,Civilekonom/ekonom,private,59400
73,Civilekonom/ekonom,private,60000
74,Civilekonom/ekonom,private,60500
75,Civilekonom/ekonom,private,61207
76,Civilekonom/ekonom,private,62000
77,Civilekonom/ekonom,private,63000
78,Civilekonom/ekonom,private,64000
79,Civilekonom/ekonom,private,65000
80,Civilekonom/ekonom,private,65650
81,Civilekonom/ekonom,private,66720
82,Civilekonom/ekonom,private,68000
83,Civilekonom/ekonom,private,69000
84,Civilekonom/ekonom,private,70000
85,Civilekonom/ekonom,private,71000
86,Civilekonom/ekonom,private,72350
87,Civilekonom/ekonom,private,74000
88,Civilekonom/ekonom,private,75892
89,Civilekonom/ekonom,private,77600
90,Civilekonom/ekonom,private,80000
91,Civilekonom/ekonom,private,81008
92,Civilekonom/ekonom,private,84280
93,Civilekonom/ekonom,private,87000
94,Civilekonom/ekonom,private,90757
95,Civilekonom/ekonom,private,95434
96,Civilekonom/ekonom,private,101000
97,Civilekonom/ekonom,private,109940
