percentile,profession,publicprivate,income
3,Civilekonom/ekonom,public,26600
4,Civilekonom/ekonom,public,27300
5,Civilekonom/ekonom,public,27800
6,Civilekonom/ekonom,public,28200
7,Civilekonom/ekonom,public,28600
8,Civilekonom/ekonom,public,29000
9,Civilekonom/ekonom,public,29400
10,Civilekonom/ekonom,public,29800
11,Civilekonom/ekonom,public,30000
12,Civilekonom/ekonom,public,30500
13,Civilekonom/ekonom,public,30800
14,Civilekonom/ekonom,public,31100
15,Civilekonom/ekonom,public,31400
16,Civilekonom/ekonom,public,31700
17,Civilekonom/ekonom,public,32000
18,Civilekonom/ekonom,public,32100
19,Civilekonom/ekonom,public,32450
20,Civilekonom/ekonom,public,32700
21,Civilekonom/ekonom,public,33000
22,Civilekonom/ekonom,public,33300
23,Civilekonom/ekonom,public,33500
24,Civilekonom/ekonom,public,33800
25,Civilekonom/ekonom,public,34000
26,Civilekonom/ekonom,public,34300
27,Civilekonom/ekonom,public,34600
28,Civilekonom/ekonom,public,34900
29,Civilekonom/ekonom,public,35000
30,Civilekonom/ekonom,public,35200
31,Civilekonom/ekonom,public,35500
32,Civilekonom/ekonom,public,35800
33,Civilekonom/ekonom,public,36000
34,Civilekonom/ekonom,public,36200
35,Civilekonom/ekonom,public,36500
36,Civilekonom/ekonom,public,36700
37,Civilekonom/ekonom,public,36900
38,Civilekonom/ekonom,public,37000
39,Civilekonom/ekonom,public,37300
40,Civilekonom/ekonom,public,37500
41,Civilekonom/ekonom,public,37800
42,Civilekonom/ekonom,public,38000
43,Civilekonom/ekonom,public,38100
44,Civilekonom/ekonom,public,38400
45,Civilekonom/ekonom,public,38600
46,Civilekonom/ekonom,public,38875
47,Civilekonom/ekonom,public,39000
48,Civilekonom/ekonom,public,39330
49,Civilekonom/ekonom,public,39631
50,Civilekonom/ekonom,public,40000
51,Civilekonom/ekonom,public,40000
52,Civilekonom/ekonom,public,40300
53,Civilekonom/ekonom,public,40500
54,Civilekonom/ekonom,public,40800
55,Civilekonom/ekonom,public,41000
56,Civilekonom/ekonom,public,41300
57,Civilekonom/ekonom,public,41600
58,Civilekonom/ekonom,public,42000
59,Civilekonom/ekonom,public,42000
60,Civilekonom/ekonom,public,42400
61,Civilekonom/ekonom,public,42700
62,Civilekonom/ekonom,public,43000
63,Civilekonom/ekonom,public,43300
64,Civilekonom/ekonom,public,43600
65,Civilekonom/ekonom,public,44000
66,Civilekonom/ekonom,public,44257
67,Civilekonom/ekonom,public,44600
68,Civilekonom/ekonom,public,45000
69,Civilekonom/ekonom,public,45100
70,Civilekonom/ekonom,public,45500
71,Civilekonom/ekonom,public,45950
72,Civilekonom/ekonom,public,46200
73,Civilekonom/ekonom,public,46600
74,Civilekonom/ekonom,public,47000
75,Civilekonom/ekonom,public,47500
76,Civilekonom/ekonom,public,48000
77,Civilekonom/ekonom,public,48390
78,Civilekonom/ekonom,public,48900
79,Civilekonom/ekonom,public,49300
80,Civilekonom/ekonom,public,50000
81,Civilekonom/ekonom,public,50175
82,Civilekonom/ekonom,public,50900
83,Civilekonom/ekonom,public,51450
84,Civilekonom/ekonom,public,52000
85,Civilekonom/ekonom,public,52700
86,Civilekonom/ekonom,public,53500
87,Civilekonom/ekonom,public,54500
88,Civilekonom/ekonom,public,55000
89,Civilekonom/ekonom,public,56000
90,Civilekonom/ekonom,public,57000
91,Civilekonom/ekonom,public,58000
92,Civilekonom/ekonom,public,59500
93,Civilekonom/ekonom,public,60500
94,Civilekonom/ekonom,public,62400
95,Civilekonom/ekonom,public,65000
96,Civilekonom/ekonom,public,67557
97,Civilekonom/ekonom,public,70000
