percentile,profession,publicprivate,income
3,Civilingenjör,private,30000
4,Civilingenjör,private,30300
5,Civilingenjör,private,31000
6,Civilingenjör,private,31400
7,Civilingenjör,private,32000
8,Civilingenjör,private,32350
9,Civilingenjör,private,32900
10,Civilingenjör,private,33200
11,Civilingenjör,private,33750
12,Civilingenjör,private,34000
13,Civilingenjör,private,34525
14,Civilingenjör,private,35000
15,Civilingenjör,private,35270
16,Civilingenjör,private,35718
17,Civilingenjör,private,36000
18,Civilingenjör,private,36500
19,Civilingenjör,private,36900
20,Civilingenjör,private,37150
21,Civilingenjör,private,37500
22,Civilingenjör,private,38000
23,Civilingenjör,private,38186
24,Civilingenjör,private,38500
25,Civilingenjör,private,39000
26,Civilingenjör,private,39200
27,Civilingenjör,private,39592
28,Civilingenjör,private,40000
29,Civilingenjör,private,40100
30,Civilingenjör,private,40500
31,Civilingenjör,private,40855
32,Civilingenjör,private,41000
33,Civilingenjör,private,41500
34,Civilingenjör,private,41870
35,Civilingenjör,private,42000
36,Civilingenjör,private,42427
37,Civilingenjör,private,42760
38,Civilingenjör,private,43000
39,Civilingenjör,private,43400
40,Civilingenjör,private,43750
41,Civilingenjör,private,44000
42,Civilingenjör,private,44300
43,Civilingenjör,private,44700
44,Civilingenjör,private,45000
45,Civilingenjör,private,45200
46,Civilingenjör,private,45600
47,Civilingenjör,private,46000
48,Civilingenjör,private,46230
49,Civilingenjör,private,46623
50,Civilingenjör,private,47000
51,Civilingenjör,private,47323
52,Civilingenjör,private,47726
53,Civilingenjör,private,48000
54,Civilingenjör,private,48452
55,Civilingenjör,private,48821
56,Civilingenjör,private,49100
57,Civilingenjör,private,49522
58,Civilingenjör,private,50000
59,Civilingenjör,private,50000
60,Civilingenjör,private,50500
61,Civilingenjör,private,50900
62,Civilingenjör,private,51150
63,Civilingenjör,private,51600
64,Civilingenjör,private,52000
65,Civilingenjör,private,52470
66,Civilingenjör,private,52950
67,Civilingenjör,private,53250
68,Civilingenjör,private,53757
69,Civilingenjör,private,54100
70,Civilingenjör,private,54607
71,Civilingenjör,private,55000
72,Civilingenjör,private,55534
73,Civilingenjör,private,56000
74,Civilingenjör,private,56675
75,Civilingenjör,private,57200
76,Civilingenjör,private,57958
77,Civilingenjör,private,58500
78,Civilingenjör,private,59100
79,Civilingenjör,private,59900
80,Civilingenjör,private,60300
81,Civilingenjör,private,61000
82,Civilingenjör,private,62000
83,Civilingenjör,private,62757
84,Civilingenjör,private,63622
85,Civilingenjör,private,64550
86,Civilingenjör,private,65357
87,Civilingenjör,private,66500
88,Civilingenjör,private,67900
89,Civilingenjör,private,69071
90,Civilingenjör,private,70304
91,Civilingenjör,private,72000
92,Civilingenjör,private,74250
93,Civilingenjör,private,76360
94,Civilingenjör,private,79500
95,Civilingenjör,private,82900
96,Civilingenjör,private,87000
97,Civilingenjör,private,93000
