percentile,profession,publicprivate,income
3,Fysioterapeut,private,24000
4,Fysioterapeut,private,24800
5,Fysioterapeut,private,25000
7,Fysioterapeut,private,25200
8,Fysioterapeut,private,25400
9,Fysioterapeut,private,25500
10,Fysioterapeut,private,25600
11,Fysioterapeut,private,26000
14,Fysioterapeut,private,26050
15,Fysioterapeut,private,26200
16,Fysioterapeut,private,26400
17,Fysioterapeut,private,26500
18,Fysioterapeut,private,26600
19,Fysioterapeut,private,27000
21,Fysioterapeut,private,27100
22,Fysioterapeut,private,27300
23,Fysioterapeut,private,27500
24,Fysioterapeut,private,27520
25,Fysioterapeut,private,27700
26,Fysioterapeut,private,27900
27,Fysioterapeut,private,28000
29,Fysioterapeut,private,28300
30,Fysioterapeut,private,28500
32,Fysioterapeut,private,28800
33,Fysioterapeut,private,29000
35,Fysioterapeut,private,29184
36,Fysioterapeut,private,29350
37,Fysioterapeut,private,29500
38,Fysioterapeut,private,29750
39,Fysioterapeut,private,29977
40,Fysioterapeut,private,30000
43,Fysioterapeut,private,30100
44,Fysioterapeut,private,30300
45,Fysioterapeut,private,30500
46,Fysioterapeut,private,30556
47,Fysioterapeut,private,30650
48,Fysioterapeut,private,30800
49,Fysioterapeut,private,31000
53,Fysioterapeut,private,31100
54,Fysioterapeut,private,31365
55,Fysioterapeut,private,31500
56,Fysioterapeut,private,31517
57,Fysioterapeut,private,31650
58,Fysioterapeut,private,31757
59,Fysioterapeut,private,32000
63,Fysioterapeut,private,32200
64,Fysioterapeut,private,32250
65,Fysioterapeut,private,32500
67,Fysioterapeut,private,32700
68,Fysioterapeut,private,32800
69,Fysioterapeut,private,33000
71,Fysioterapeut,private,33100
72,Fysioterapeut,private,33300
73,Fysioterapeut,private,33500
74,Fysioterapeut,private,33600
75,Fysioterapeut,private,34000
76,Fysioterapeut,private,34050
77,Fysioterapeut,private,34300
78,Fysioterapeut,private,34615
79,Fysioterapeut,private,34700
80,Fysioterapeut,private,34914
81,Fysioterapeut,private,35000
82,Fysioterapeut,private,35400
83,Fysioterapeut,private,35674
84,Fysioterapeut,private,36000
86,Fysioterapeut,private,36290
87,Fysioterapeut,private,36500
88,Fysioterapeut,private,37000
89,Fysioterapeut,private,37450
90,Fysioterapeut,private,38000
92,Fysioterapeut,private,39400
93,Fysioterapeut,private,40000
94,Fysioterapeut,private,40500
95,Fysioterapeut,private,42000
96,Fysioterapeut,private,44000
97,Fysioterapeut,private,45200
