percentile,profession,publicprivate,income
3,Högskoleingenjör,private,27000
4,Högskoleingenjör,private,27600
5,Högskoleingenjör,private,28000
6,Högskoleingenjör,private,28500
7,Högskoleingenjör,private,28900
8,Högskoleingenjör,private,29000
9,Högskoleingenjör,private,29500
10,Högskoleingenjör,private,29800
11,Högskoleingenjör,private,30000
12,Högskoleingenjör,private,30200
13,Högskoleingenjör,private,30500
14,Högskoleingenjör,private,30880
15,Högskoleingenjör,private,31000
16,Högskoleingenjör,private,31350
17,Högskoleingenjör,private,31546
18,Högskoleingenjör,private,31950
19,Högskoleingenjör,private,32000
20,Högskoleingenjör,private,32400
21,Högskoleingenjör,private,32657
22,Högskoleingenjör,private,33000
23,Högskoleingenjör,private,33050
24,Högskoleingenjör,private,33457
25,Högskoleingenjör,private,33650
26,Högskoleingenjör,private,34000
27,Högskoleingenjör,private,34000
28,Högskoleingenjör,private,34356
29,Högskoleingenjör,private,34500
30,Högskoleingenjör,private,34850
31,Högskoleingenjör,private,35000
32,Högskoleingenjör,private,35020
33,Högskoleingenjör,private,35350
34,Högskoleingenjör,private,35545
35,Högskoleingenjör,private,35850
36,Högskoleingenjör,private,36000
37,Högskoleingenjör,private,36200
38,Högskoleingenjör,private,36491
39,Högskoleingenjör,private,36700
40,Högskoleingenjör,private,36900
41,Högskoleingenjör,private,37000
42,Högskoleingenjör,private,37200
43,Högskoleingenjör,private,37500
44,Högskoleingenjör,private,37750
45,Högskoleingenjör,private,38000
46,Högskoleingenjör,private,38100
47,Högskoleingenjör,private,38357
48,Högskoleingenjör,private,38600
49,Högskoleingenjör,private,38900
50,Högskoleingenjör,private,39000
51,Högskoleingenjör,private,39300
52,Högskoleingenjör,private,39500
53,Högskoleingenjör,private,39800
54,Högskoleingenjör,private,40000
55,Högskoleingenjör,private,40000
56,Högskoleingenjör,private,40300
57,Högskoleingenjör,private,40500
58,Högskoleingenjör,private,40840
59,Högskoleingenjör,private,41000
60,Högskoleingenjör,private,41257
61,Högskoleingenjör,private,41500
62,Högskoleingenjör,private,41800
63,Högskoleingenjör,private,42000
64,Högskoleingenjör,private,42176
65,Högskoleingenjör,private,42500
66,Högskoleingenjör,private,42750
67,Högskoleingenjör,private,43000
68,Högskoleingenjör,private,43300
69,Högskoleingenjör,private,43558
70,Högskoleingenjör,private,43900
71,Högskoleingenjör,private,44029
72,Högskoleingenjör,private,44500
73,Högskoleingenjör,private,44800
74,Högskoleingenjör,private,45000
75,Högskoleingenjör,private,45300
76,Högskoleingenjör,private,45708
77,Högskoleingenjör,private,46000
78,Högskoleingenjör,private,46500
79,Högskoleingenjör,private,46986
80,Högskoleingenjör,private,47310
81,Högskoleingenjör,private,47800
82,Högskoleingenjör,private,48200
83,Högskoleingenjör,private,48757
84,Högskoleingenjör,private,49200
85,Högskoleingenjör,private,49900
86,Högskoleingenjör,private,50200
87,Högskoleingenjör,private,51000
88,Högskoleingenjör,private,51800
89,Högskoleingenjör,private,52500
90,Högskoleingenjör,private,53300
91,Högskoleingenjör,private,54355
92,Högskoleingenjör,private,55250
93,Högskoleingenjör,private,56550
94,Högskoleingenjör,private,58000
95,Högskoleingenjör,private,59800
96,Högskoleingenjör,private,62000
97,Högskoleingenjör,private,65000
