percentile,profession,publicprivate,income
3,Högskoleingenjör,public,26500
4,Högskoleingenjör,public,27000
5,Högskoleingenjör,public,27500
6,Högskoleingenjör,public,28000
7,Högskoleingenjör,public,28200
8,Högskoleingenjör,public,28500
9,Högskoleingenjör,public,28900
10,Högskoleingenjör,public,29000
11,Högskoleingenjör,public,29200
12,Högskoleingenjör,public,29500
13,Högskoleingenjör,public,29700
14,Högskoleingenjör,public,30000
15,Högskoleingenjör,public,30200
16,Högskoleingenjör,public,30500
17,Högskoleingenjör,public,30680
18,Högskoleingenjör,public,30800
19,Högskoleingenjör,public,31000
20,Högskoleingenjör,public,31150
21,Högskoleingenjör,public,31350
22,Högskoleingenjör,public,31500
23,Högskoleingenjör,public,31700
24,Högskoleingenjör,public,31900
25,Högskoleingenjör,public,32000
26,Högskoleingenjör,public,32080
27,Högskoleingenjör,public,32200
28,Högskoleingenjör,public,32400
29,Högskoleingenjör,public,32500
30,Högskoleingenjör,public,32700
31,Högskoleingenjör,public,32900
32,Högskoleingenjör,public,33000
33,Högskoleingenjör,public,33100
34,Högskoleingenjör,public,33400
35,Högskoleingenjör,public,33500
36,Högskoleingenjör,public,33600
37,Högskoleingenjör,public,33800
38,Högskoleingenjör,public,34000
39,Högskoleingenjör,public,34000
40,Högskoleingenjör,public,34200
41,Högskoleingenjör,public,34500
42,Högskoleingenjör,public,34520
43,Högskoleingenjör,public,34800
44,Högskoleingenjör,public,34900
45,Högskoleingenjör,public,35000
46,Högskoleingenjör,public,35100
47,Högskoleingenjör,public,35400
48,Högskoleingenjör,public,35500
49,Högskoleingenjör,public,35712
50,Högskoleingenjör,public,36000
51,Högskoleingenjör,public,36200
52,Högskoleingenjör,public,36450
53,Högskoleingenjör,public,36700
54,Högskoleingenjör,public,36900
55,Högskoleingenjör,public,37000
56,Högskoleingenjör,public,37200
57,Högskoleingenjör,public,37450
58,Högskoleingenjör,public,37600
59,Högskoleingenjör,public,37800
60,Högskoleingenjör,public,38000
61,Högskoleingenjör,public,38110
62,Högskoleingenjör,public,38400
63,Högskoleingenjör,public,38600
64,Högskoleingenjör,public,39000
65,Högskoleingenjör,public,39000
66,Högskoleingenjör,public,39200
67,Högskoleingenjör,public,39500
68,Högskoleingenjör,public,39650
69,Högskoleingenjör,public,39800
70,Högskoleingenjör,public,40000
71,Högskoleingenjör,public,40200
72,Högskoleingenjör,public,40500
73,Högskoleingenjör,public,40870
74,Högskoleingenjör,public,41000
75,Högskoleingenjör,public,41400
76,Högskoleingenjör,public,41600
77,Högskoleingenjör,public,42000
78,Högskoleingenjör,public,42000
79,Högskoleingenjör,public,42500
80,Högskoleingenjör,public,43000
81,Högskoleingenjör,public,43000
82,Högskoleingenjör,public,43500
83,Högskoleingenjör,public,44000
84,Högskoleingenjör,public,44200
85,Högskoleingenjör,public,44700
86,Högskoleingenjör,public,45000
87,Högskoleingenjör,public,45200
88,Högskoleingenjör,public,45757
89,Högskoleingenjör,public,46100
90,Högskoleingenjör,public,46800
91,Högskoleingenjör,public,47200
92,Högskoleingenjör,public,48000
93,Högskoleingenjör,public,48700
94,Högskoleingenjör,public,49675
95,Högskoleingenjör,public,51000
96,Högskoleingenjör,public,52000
97,Högskoleingenjör,public,54000
