percentile,profession,publicprivate,income
3,Jurist,private,27419
4,Jurist,private,28000
5,Jurist,private,28600
6,Jurist,private,29100
7,Jurist,private,30000
10,Jurist,private,31000
11,Jurist,private,31350
12,Jurist,private,32000
13,Jurist,private,32100
14,Jurist,private,32657
15,Jurist,private,33000
16,Jurist,private,33500
17,Jurist,private,34000
18,Jurist,private,34500
19,Jurist,private,34989
20,Jurist,private,35000
21,Jurist,private,35200
22,Jurist,private,35930
23,Jurist,private,36217
24,Jurist,private,36900
25,Jurist,private,37000
26,Jurist,private,37500
27,Jurist,private,38000
29,Jurist,private,38500
30,Jurist,private,39000
31,Jurist,private,39400
32,Jurist,private,40000
34,Jurist,private,40500
35,Jurist,private,41000
36,Jurist,private,41659
37,Jurist,private,42057
38,Jurist,private,42757
39,Jurist,private,43300
40,Jurist,private,43757
41,Jurist,private,44325
42,Jurist,private,44900
43,Jurist,private,45000
44,Jurist,private,45450
45,Jurist,private,46000
46,Jurist,private,46500
47,Jurist,private,47000
48,Jurist,private,47500
49,Jurist,private,48000
50,Jurist,private,48500
51,Jurist,private,49000
52,Jurist,private,49757
53,Jurist,private,50000
54,Jurist,private,50600
55,Jurist,private,51000
56,Jurist,private,51757
57,Jurist,private,52200
58,Jurist,private,53000
59,Jurist,private,53592
60,Jurist,private,54073
61,Jurist,private,54916
62,Jurist,private,55000
63,Jurist,private,55757
64,Jurist,private,56500
65,Jurist,private,57000
66,Jurist,private,57957
67,Jurist,private,58900
68,Jurist,private,59857
69,Jurist,private,60000
70,Jurist,private,60825
71,Jurist,private,61750
72,Jurist,private,62700
73,Jurist,private,63200
74,Jurist,private,64700
75,Jurist,private,65000
76,Jurist,private,66000
77,Jurist,private,66892
78,Jurist,private,67600
79,Jurist,private,69000
80,Jurist,private,70000
81,Jurist,private,70500
82,Jurist,private,71500
83,Jurist,private,72500
84,Jurist,private,73757
85,Jurist,private,75000
86,Jurist,private,76167
87,Jurist,private,77257
88,Jurist,private,78767
89,Jurist,private,80757
90,Jurist,private,84000
91,Jurist,private,85757
92,Jurist,private,88033
93,Jurist,private,90465
94,Jurist,private,94000
95,Jurist,private,97500
96,Jurist,private,102500
97,Jurist,private,108000
