percentile,profession,publicprivate,income
3,Jurist,public,26000
4,Jurist,public,26500
5,Jurist,public,26900
6,Jurist,public,27200
7,Jurist,public,27500
8,Jurist,public,27700
9,Jurist,public,27700
10,Jurist,public,27900
11,Jurist,public,28110
12,Jurist,public,28500
13,Jurist,public,28900
14,Jurist,public,29100
15,Jurist,public,29600
16,Jurist,public,30000
17,Jurist,public,30500
18,Jurist,public,30900
19,Jurist,public,31100
20,Jurist,public,31500
21,Jurist,public,31620
22,Jurist,public,31900
23,Jurist,public,32100
24,Jurist,public,32500
25,Jurist,public,32800
26,Jurist,public,33100
27,Jurist,public,33500
28,Jurist,public,33900
29,Jurist,public,34100
30,Jurist,public,34500
31,Jurist,public,34950
32,Jurist,public,35100
33,Jurist,public,35500
34,Jurist,public,35950
35,Jurist,public,36000
36,Jurist,public,36300
37,Jurist,public,36500
38,Jurist,public,37000
39,Jurist,public,37250
40,Jurist,public,37687
41,Jurist,public,38000
42,Jurist,public,38200
43,Jurist,public,38500
44,Jurist,public,38800
45,Jurist,public,39000
46,Jurist,public,39400
47,Jurist,public,39700
48,Jurist,public,40000
49,Jurist,public,40500
50,Jurist,public,40960
51,Jurist,public,41200
52,Jurist,public,41600
53,Jurist,public,42000
54,Jurist,public,42400
55,Jurist,public,42800
56,Jurist,public,43000
57,Jurist,public,43500
58,Jurist,public,43800
59,Jurist,public,44100
60,Jurist,public,44500
61,Jurist,public,44900
62,Jurist,public,45070
63,Jurist,public,45500
64,Jurist,public,45950
65,Jurist,public,46200
66,Jurist,public,46575
67,Jurist,public,47000
68,Jurist,public,47500
69,Jurist,public,48000
70,Jurist,public,48500
71,Jurist,public,49000
72,Jurist,public,49600
73,Jurist,public,50000
74,Jurist,public,51000
75,Jurist,public,51500
76,Jurist,public,52450
77,Jurist,public,53300
78,Jurist,public,54200
79,Jurist,public,55000
80,Jurist,public,56250
81,Jurist,public,57200
82,Jurist,public,58100
83,Jurist,public,59000
84,Jurist,public,59800
85,Jurist,public,60100
86,Jurist,public,60800
87,Jurist,public,61300
88,Jurist,public,62000
89,Jurist,public,62600
90,Jurist,public,63300
91,Jurist,public,64000
92,Jurist,public,65300
93,Jurist,public,67000
94,Jurist,public,69000
95,Jurist,public,71000
96,Jurist,public,73400
97,Jurist,public,77500
