percentile,profession,publicprivate,income
3,Miljövetare,private,25700
4,Miljövetare,private,26500
5,Miljövetare,private,27200
6,Miljövetare,private,27627
7,Miljövetare,private,28000
8,Miljövetare,private,28249
9,Miljövetare,private,28600
10,Miljövetare,private,28700
11,Miljövetare,private,29000
12,Miljövetare,private,29500
13,Miljövetare,private,29800
14,Miljövetare,private,30000
15,Miljövetare,private,30150
16,Miljövetare,private,30447
17,Miljövetare,private,30750
18,Miljövetare,private,31000
19,Miljövetare,private,31210
20,Miljövetare,private,31500
21,Miljövetare,private,31660
22,Miljövetare,private,31900
23,Miljövetare,private,32000
24,Miljövetare,private,32150
25,Miljövetare,private,32548
26,Miljövetare,private,32700
27,Miljövetare,private,32800
28,Miljövetare,private,33000
30,Miljövetare,private,33250
31,Miljövetare,private,33442
32,Miljövetare,private,33600
33,Miljövetare,private,33907
34,Miljövetare,private,34000
35,Miljövetare,private,34117
36,Miljövetare,private,34350
37,Miljövetare,private,34500
38,Miljövetare,private,34600
39,Miljövetare,private,34800
40,Miljövetare,private,35000
41,Miljövetare,private,35100
42,Miljövetare,private,35175
43,Miljövetare,private,35400
44,Miljövetare,private,35557
45,Miljövetare,private,35800
46,Miljövetare,private,36000
48,Miljövetare,private,36300
49,Miljövetare,private,36450
50,Miljövetare,private,36600
51,Miljövetare,private,36800
52,Miljövetare,private,37000
53,Miljövetare,private,37200
54,Miljövetare,private,37300
55,Miljövetare,private,37500
56,Miljövetare,private,37757
57,Miljövetare,private,37956
58,Miljövetare,private,38000
59,Miljövetare,private,38400
60,Miljövetare,private,38800
61,Miljövetare,private,39000
62,Miljövetare,private,39470
63,Miljövetare,private,39620
64,Miljövetare,private,39950
65,Miljövetare,private,40000
66,Miljövetare,private,40250
67,Miljövetare,private,40500
68,Miljövetare,private,40900
69,Miljövetare,private,41000
70,Miljövetare,private,41050
71,Miljövetare,private,41500
72,Miljövetare,private,41862
73,Miljövetare,private,42000
74,Miljövetare,private,42300
75,Miljövetare,private,42500
76,Miljövetare,private,42990
77,Miljövetare,private,43000
78,Miljövetare,private,43300
79,Miljövetare,private,43500
80,Miljövetare,private,43700
81,Miljövetare,private,44000
82,Miljövetare,private,44750
83,Miljövetare,private,45000
84,Miljövetare,private,45320
85,Miljövetare,private,45700
86,Miljövetare,private,46000
87,Miljövetare,private,46800
88,Miljövetare,private,47100
89,Miljövetare,private,47700
90,Miljövetare,private,48245
91,Miljövetare,private,49200
92,Miljövetare,private,50000
93,Miljövetare,private,50900
94,Miljövetare,private,51700
95,Miljövetare,private,53100
96,Miljövetare,private,54900
97,Miljövetare,private,57970
