percentile,profession,publicprivate,income
3,Personalvetare,private,25575
4,Personalvetare,private,26000
5,Personalvetare,private,27000
6,Personalvetare,private,27100
7,Personalvetare,private,27500
8,Personalvetare,private,28000
9,Personalvetare,private,28500
10,Personalvetare,private,29000
11,Personalvetare,private,29350
12,Personalvetare,private,29700
13,Personalvetare,private,30000
14,Personalvetare,private,30075
15,Personalvetare,private,30500
16,Personalvetare,private,31000
17,Personalvetare,private,31069
18,Personalvetare,private,31650
19,Personalvetare,private,32000
20,Personalvetare,private,32400
21,Personalvetare,private,32500
22,Personalvetare,private,32800
23,Personalvetare,private,33000
24,Personalvetare,private,33500
25,Personalvetare,private,34000
26,Personalvetare,private,34000
27,Personalvetare,private,34450
28,Personalvetare,private,34700
29,Personalvetare,private,35000
30,Personalvetare,private,35000
31,Personalvetare,private,35400
32,Personalvetare,private,35839
33,Personalvetare,private,36000
34,Personalvetare,private,36500
35,Personalvetare,private,36739
36,Personalvetare,private,37200
37,Personalvetare,private,37500
38,Personalvetare,private,37600
39,Personalvetare,private,38000
40,Personalvetare,private,38100
41,Personalvetare,private,38500
42,Personalvetare,private,38770
43,Personalvetare,private,39095
44,Personalvetare,private,39564
45,Personalvetare,private,40000
46,Personalvetare,private,40000
47,Personalvetare,private,40500
48,Personalvetare,private,41000
49,Personalvetare,private,41300
50,Personalvetare,private,41810
51,Personalvetare,private,42000
52,Personalvetare,private,42500
53,Personalvetare,private,43000
54,Personalvetare,private,43057
55,Personalvetare,private,43500
56,Personalvetare,private,44000
57,Personalvetare,private,44402
58,Personalvetare,private,44600
59,Personalvetare,private,45000
60,Personalvetare,private,45500
61,Personalvetare,private,46000
62,Personalvetare,private,46439
63,Personalvetare,private,47000
64,Personalvetare,private,47150
65,Personalvetare,private,47500
66,Personalvetare,private,48000
67,Personalvetare,private,48565
68,Personalvetare,private,49000
69,Personalvetare,private,49710
70,Personalvetare,private,50000
71,Personalvetare,private,50100
72,Personalvetare,private,51000
73,Personalvetare,private,51638
74,Personalvetare,private,52000
75,Personalvetare,private,52529
76,Personalvetare,private,53200
77,Personalvetare,private,53700
78,Personalvetare,private,54900
79,Personalvetare,private,55000
80,Personalvetare,private,55800
81,Personalvetare,private,56540
82,Personalvetare,private,57500
83,Personalvetare,private,58148
84,Personalvetare,private,59900
85,Personalvetare,private,60257
86,Personalvetare,private,61500
87,Personalvetare,private,63000
88,Personalvetare,private,63650
89,Personalvetare,private,65000
90,Personalvetare,private,66757
91,Personalvetare,private,69000
92,Personalvetare,private,71000
93,Personalvetare,private,73000
94,Personalvetare,private,75000
95,Personalvetare,private,77757
96,Personalvetare,private,82500
97,Personalvetare,private,89500
