percentile,profession,publicprivate,income
3,Personalvetare,public,26000
4,Personalvetare,public,26200
5,Personalvetare,public,26500
6,Personalvetare,public,26739
7,Personalvetare,public,27000
8,Personalvetare,public,27100
9,Personalvetare,public,27300
10,Personalvetare,public,27500
11,Personalvetare,public,27800
12,Personalvetare,public,28000
13,Personalvetare,public,28200
14,Personalvetare,public,28500
15,Personalvetare,public,28600
16,Personalvetare,public,28836
17,Personalvetare,public,29000
18,Personalvetare,public,29050
19,Personalvetare,public,29300
20,Personalvetare,public,29487
21,Personalvetare,public,29600
22,Personalvetare,public,29861
23,Personalvetare,public,30000
24,Personalvetare,public,30100
25,Personalvetare,public,30300
26,Personalvetare,public,30500
27,Personalvetare,public,30800
28,Personalvetare,public,31000
29,Personalvetare,public,31200
30,Personalvetare,public,31460
31,Personalvetare,public,31530
32,Personalvetare,public,31700
33,Personalvetare,public,31900
34,Personalvetare,public,32000
35,Personalvetare,public,32000
36,Personalvetare,public,32200
37,Personalvetare,public,32450
38,Personalvetare,public,32500
39,Personalvetare,public,32800
40,Personalvetare,public,33000
41,Personalvetare,public,33000
42,Personalvetare,public,33200
43,Personalvetare,public,33500
44,Personalvetare,public,33800
45,Personalvetare,public,34000
46,Personalvetare,public,34100
47,Personalvetare,public,34400
48,Personalvetare,public,34500
49,Personalvetare,public,34700
50,Personalvetare,public,34900
51,Personalvetare,public,35000
52,Personalvetare,public,35150
53,Personalvetare,public,35500
54,Personalvetare,public,35800
55,Personalvetare,public,36000
56,Personalvetare,public,36100
57,Personalvetare,public,36400
58,Personalvetare,public,36600
59,Personalvetare,public,36900
60,Personalvetare,public,37000
61,Personalvetare,public,37100
62,Personalvetare,public,37500
63,Personalvetare,public,37750
64,Personalvetare,public,38000
65,Personalvetare,public,38400
66,Personalvetare,public,38700
67,Personalvetare,public,39000
68,Personalvetare,public,39200
69,Personalvetare,public,39700
70,Personalvetare,public,40000
71,Personalvetare,public,40300
72,Personalvetare,public,40657
73,Personalvetare,public,41000
74,Personalvetare,public,41300
75,Personalvetare,public,41700
76,Personalvetare,public,41900
77,Personalvetare,public,42150
78,Personalvetare,public,42500
79,Personalvetare,public,42900
80,Personalvetare,public,43000
81,Personalvetare,public,43500
82,Personalvetare,public,44000
83,Personalvetare,public,44300
84,Personalvetare,public,44900
85,Personalvetare,public,45000
86,Personalvetare,public,45900
87,Personalvetare,public,46400
88,Personalvetare,public,47000
89,Personalvetare,public,47900
90,Personalvetare,public,48500
91,Personalvetare,public,49400
92,Personalvetare,public,50200
93,Personalvetare,public,51400
94,Personalvetare,public,52800
95,Personalvetare,public,54495
96,Personalvetare,public,56800
97,Personalvetare,public,60000
