percentile,profession,publicprivate,income
3,Präst/Diakon,public,25200
4,Präst/Diakon,public,25200
5,Präst/Diakon,public,25200
6,Präst/Diakon,public,25200
7,Präst/Diakon,public,25200
8,Präst/Diakon,public,25200
9,Präst/Diakon,public,25200
10,Präst/Diakon,public,25200
11,Präst/Diakon,public,25200
12,Präst/Diakon,public,25200
13,Präst/Diakon,public,25200
14,Präst/Diakon,public,25200
15,Präst/Diakon,public,25200
16,Präst/Diakon,public,25200
17,Präst/Diakon,public,25200
18,Präst/Diakon,public,25200
19,Präst/Diakon,public,25200
20,Präst/Diakon,public,33500
21,Präst/Diakon,public,41800
22,Präst/Diakon,public,41800
23,Präst/Diakon,public,41800
24,Präst/Diakon,public,41800
25,Präst/Diakon,public,41800
26,Präst/Diakon,public,41800
27,Präst/Diakon,public,41800
28,Präst/Diakon,public,41800
29,Präst/Diakon,public,41800
30,Präst/Diakon,public,41800
31,Präst/Diakon,public,41800
32,Präst/Diakon,public,41800
33,Präst/Diakon,public,41800
34,Präst/Diakon,public,41800
35,Präst/Diakon,public,41800
36,Präst/Diakon,public,41800
37,Präst/Diakon,public,41800
38,Präst/Diakon,public,41800
39,Präst/Diakon,public,41800
40,Präst/Diakon,public,42050
41,Präst/Diakon,public,42300
42,Präst/Diakon,public,42300
43,Präst/Diakon,public,42300
44,Präst/Diakon,public,42300
45,Präst/Diakon,public,42300
46,Präst/Diakon,public,42300
47,Präst/Diakon,public,42300
48,Präst/Diakon,public,42300
49,Präst/Diakon,public,42300
50,Präst/Diakon,public,42300
51,Präst/Diakon,public,42300
52,Präst/Diakon,public,42300
53,Präst/Diakon,public,42300
54,Präst/Diakon,public,42300
55,Präst/Diakon,public,42300
56,Präst/Diakon,public,42300
57,Präst/Diakon,public,42300
58,Präst/Diakon,public,42300
59,Präst/Diakon,public,42300
60,Präst/Diakon,public,47150
61,Präst/Diakon,public,52000
62,Präst/Diakon,public,52000
63,Präst/Diakon,public,52000
64,Präst/Diakon,public,52000
65,Präst/Diakon,public,52000
66,Präst/Diakon,public,52000
67,Präst/Diakon,public,52000
68,Präst/Diakon,public,52000
69,Präst/Diakon,public,52000
70,Präst/Diakon,public,52000
71,Präst/Diakon,public,52000
72,Präst/Diakon,public,52000
73,Präst/Diakon,public,52000
74,Präst/Diakon,public,52000
75,Präst/Diakon,public,52000
76,Präst/Diakon,public,52000
77,Präst/Diakon,public,52000
78,Präst/Diakon,public,52000
79,Präst/Diakon,public,52000
80,Präst/Diakon,public,57150
81,Präst/Diakon,public,62300
82,Präst/Diakon,public,62300
83,Präst/Diakon,public,62300
84,Präst/Diakon,public,62300
85,Präst/Diakon,public,62300
86,Präst/Diakon,public,62300
87,Präst/Diakon,public,62300
88,Präst/Diakon,public,62300
89,Präst/Diakon,public,62300
90,Präst/Diakon,public,62300
91,Präst/Diakon,public,62300
92,Präst/Diakon,public,62300
93,Präst/Diakon,public,62300
94,Präst/Diakon,public,62300
95,Präst/Diakon,public,62300
96,Präst/Diakon,public,62300
97,Präst/Diakon,public,62300
