percentile,profession,publicprivate,income
3,Psykolog,private,27000
4,Psykolog,private,28000
5,Psykolog,private,28500
6,Psykolog,private,28700
7,Psykolog,private,29000
8,Psykolog,private,29200
9,Psykolog,private,30000
10,Psykolog,private,30000
11,Psykolog,private,31000
12,Psykolog,private,32000
13,Psykolog,private,32334
14,Psykolog,private,32800
15,Psykolog,private,33000
16,Psykolog,private,33500
17,Psykolog,private,33800
18,Psykolog,private,34000
19,Psykolog,private,34000
20,Psykolog,private,34100
21,Psykolog,private,34500
22,Psykolog,private,34600
23,Psykolog,private,34800
24,Psykolog,private,35000
25,Psykolog,private,35000
26,Psykolog,private,35000
27,Psykolog,private,35300
28,Psykolog,private,35500
29,Psykolog,private,35700
30,Psykolog,private,36000
31,Psykolog,private,36000
32,Psykolog,private,36000
33,Psykolog,private,36000
34,Psykolog,private,36200
35,Psykolog,private,36400
36,Psykolog,private,36500
37,Psykolog,private,36500
38,Psykolog,private,36550
39,Psykolog,private,36700
40,Psykolog,private,36800
41,Psykolog,private,37000
42,Psykolog,private,37000
43,Psykolog,private,37000
44,Psykolog,private,37000
45,Psykolog,private,37180
46,Psykolog,private,37300
47,Psykolog,private,37400
48,Psykolog,private,37500
49,Psykolog,private,37500
50,Psykolog,private,37500
51,Psykolog,private,37600
52,Psykolog,private,37800
53,Psykolog,private,38000
54,Psykolog,private,38000
55,Psykolog,private,38000
56,Psykolog,private,38200
57,Psykolog,private,38300
58,Psykolog,private,38500
59,Psykolog,private,38500
60,Psykolog,private,38760
61,Psykolog,private,39000
62,Psykolog,private,39000
63,Psykolog,private,39000
64,Psykolog,private,39100
65,Psykolog,private,39400
66,Psykolog,private,39500
67,Psykolog,private,39550
68,Psykolog,private,40000
69,Psykolog,private,40000
70,Psykolog,private,40000
71,Psykolog,private,40100
72,Psykolog,private,40300
73,Psykolog,private,40500
74,Psykolog,private,40800
75,Psykolog,private,40962
76,Psykolog,private,41000
77,Psykolog,private,41000
78,Psykolog,private,41290
79,Psykolog,private,41500
80,Psykolog,private,41900
81,Psykolog,private,42000
82,Psykolog,private,42000
83,Psykolog,private,42000
84,Psykolog,private,42200
85,Psykolog,private,42500
86,Psykolog,private,43000
87,Psykolog,private,43000
88,Psykolog,private,43700
89,Psykolog,private,45000
90,Psykolog,private,45000
91,Psykolog,private,45500
92,Psykolog,private,46000
93,Psykolog,private,47000
94,Psykolog,private,48000
95,Psykolog,private,48800
96,Psykolog,private,51800
97,Psykolog,private,54500
