percentile,profession,publicprivate,income
3,Psykolog,public,26000
4,Psykolog,public,26500
5,Psykolog,public,27000
6,Psykolog,public,27700
7,Psykolog,public,28000
8,Psykolog,public,29000
9,Psykolog,public,29500
10,Psykolog,public,29800
11,Psykolog,public,30000
12,Psykolog,public,30600
13,Psykolog,public,31000
14,Psykolog,public,31500
15,Psykolog,public,31700
16,Psykolog,public,32000
17,Psykolog,public,32100
18,Psykolog,public,32500
19,Psykolog,public,32600
20,Psykolog,public,32800
21,Psykolog,public,33000
22,Psykolog,public,33200
23,Psykolog,public,33400
24,Psykolog,public,33500
25,Psykolog,public,33700
26,Psykolog,public,33900
27,Psykolog,public,34000
28,Psykolog,public,34100
29,Psykolog,public,34300
30,Psykolog,public,34500
32,Psykolog,public,34700
33,Psykolog,public,34800
34,Psykolog,public,35000
36,Psykolog,public,35100
37,Psykolog,public,35200
38,Psykolog,public,35300
39,Psykolog,public,35430
40,Psykolog,public,35500
41,Psykolog,public,35700
42,Psykolog,public,35800
43,Psykolog,public,36000
45,Psykolog,public,36200
46,Psykolog,public,36350
47,Psykolog,public,36500
49,Psykolog,public,36700
50,Psykolog,public,36800
51,Psykolog,public,37000
53,Psykolog,public,37192
54,Psykolog,public,37300
55,Psykolog,public,37500
57,Psykolog,public,37750
58,Psykolog,public,37892
59,Psykolog,public,38000
61,Psykolog,public,38100
62,Psykolog,public,38300
63,Psykolog,public,38500
64,Psykolog,public,38600
65,Psykolog,public,38700
66,Psykolog,public,38850
67,Psykolog,public,39000
68,Psykolog,public,39050
69,Psykolog,public,39200
70,Psykolog,public,39477
71,Psykolog,public,39600
72,Psykolog,public,39757
73,Psykolog,public,39900
74,Psykolog,public,40000
75,Psykolog,public,40100
76,Psykolog,public,40300
77,Psykolog,public,40500
78,Psykolog,public,40600
79,Psykolog,public,40800
80,Psykolog,public,41000
81,Psykolog,public,41100
82,Psykolog,public,41400
83,Psykolog,public,41600
84,Psykolog,public,41900
85,Psykolog,public,42000
86,Psykolog,public,42150
87,Psykolog,public,42500
88,Psykolog,public,42825
89,Psykolog,public,43100
90,Psykolog,public,43500
91,Psykolog,public,44000
92,Psykolog,public,44700
93,Psykolog,public,45200
94,Psykolog,public,46000
95,Psykolog,public,46800
96,Psykolog,public,48100
97,Psykolog,public,49371
