percentile,profession,publicprivate,income
3,Socionom,private,25000
4,Socionom,private,25500
5,Socionom,private,25800
6,Socionom,private,26200
7,Socionom,private,26500
8,Socionom,private,27000
9,Socionom,private,27150
10,Socionom,private,27500
11,Socionom,private,27700
12,Socionom,private,28000
13,Socionom,private,28000
14,Socionom,private,28440
15,Socionom,private,28600
16,Socionom,private,28850
17,Socionom,private,29000
18,Socionom,private,29280
19,Socionom,private,29470
20,Socionom,private,29500
21,Socionom,private,29800
22,Socionom,private,30000
23,Socionom,private,30000
24,Socionom,private,30006
25,Socionom,private,30300
26,Socionom,private,30600
27,Socionom,private,31000
28,Socionom,private,31054
29,Socionom,private,31400
30,Socionom,private,31500
31,Socionom,private,31700
32,Socionom,private,32000
33,Socionom,private,32000
34,Socionom,private,32000
35,Socionom,private,32100
36,Socionom,private,32350
37,Socionom,private,32500
38,Socionom,private,32700
39,Socionom,private,33000
40,Socionom,private,33000
41,Socionom,private,33200
42,Socionom,private,33400
43,Socionom,private,33500
44,Socionom,private,33700
45,Socionom,private,33925
46,Socionom,private,34000
47,Socionom,private,34100
48,Socionom,private,34400
49,Socionom,private,34600
50,Socionom,private,34848
51,Socionom,private,35000
52,Socionom,private,35000
53,Socionom,private,35007
54,Socionom,private,35350
55,Socionom,private,35500
56,Socionom,private,35780
57,Socionom,private,36000
58,Socionom,private,36000
59,Socionom,private,36090
60,Socionom,private,36350
61,Socionom,private,36500
62,Socionom,private,36800
63,Socionom,private,37000
64,Socionom,private,37072
65,Socionom,private,37363
66,Socionom,private,37500
67,Socionom,private,37700
68,Socionom,private,38000
69,Socionom,private,38000
70,Socionom,private,38250
71,Socionom,private,38680
72,Socionom,private,39000
73,Socionom,private,39150
74,Socionom,private,39500
75,Socionom,private,39900
76,Socionom,private,40000
77,Socionom,private,40200
78,Socionom,private,40500
79,Socionom,private,41000
80,Socionom,private,41500
81,Socionom,private,41848
82,Socionom,private,42000
83,Socionom,private,42350
84,Socionom,private,42700
85,Socionom,private,43000
86,Socionom,private,43700
87,Socionom,private,44219
88,Socionom,private,45000
89,Socionom,private,45600
90,Socionom,private,46500
91,Socionom,private,48100
92,Socionom,private,49500
93,Socionom,private,51350
94,Socionom,private,52639
95,Socionom,private,54500
96,Socionom,private,58000
97,Socionom,private,61700
