percentile,profession,publicprivate,income
3,Tandhygienist,private,23500
4,Tandhygienist,private,24000
5,Tandhygienist,private,24675
6,Tandhygienist,private,25000
7,Tandhygienist,private,25000
8,Tandhygienist,private,25000
9,Tandhygienist,private,25300
10,Tandhygienist,private,26000
11,Tandhygienist,private,26400
12,Tandhygienist,private,26500
13,Tandhygienist,private,26750
14,Tandhygienist,private,27000
15,Tandhygienist,private,27000
16,Tandhygienist,private,27200
17,Tandhygienist,private,27500
18,Tandhygienist,private,27850
19,Tandhygienist,private,28000
20,Tandhygienist,private,28000
21,Tandhygienist,private,28500
22,Tandhygienist,private,28500
23,Tandhygienist,private,28667
24,Tandhygienist,private,28950
25,Tandhygienist,private,29000
26,Tandhygienist,private,29100
27,Tandhygienist,private,29322
28,Tandhygienist,private,29500
29,Tandhygienist,private,29600
30,Tandhygienist,private,29875
31,Tandhygienist,private,29960
32,Tandhygienist,private,30000
33,Tandhygienist,private,30000
34,Tandhygienist,private,30000
35,Tandhygienist,private,30000
36,Tandhygienist,private,30100
37,Tandhygienist,private,30200
38,Tandhygienist,private,30300
39,Tandhygienist,private,30500
40,Tandhygienist,private,30525
41,Tandhygienist,private,30752
42,Tandhygienist,private,30850
43,Tandhygienist,private,31000
44,Tandhygienist,private,31000
45,Tandhygienist,private,31000
46,Tandhygienist,private,31050
47,Tandhygienist,private,31200
48,Tandhygienist,private,31500
49,Tandhygienist,private,31500
50,Tandhygienist,private,31603
51,Tandhygienist,private,31776
52,Tandhygienist,private,31800
53,Tandhygienist,private,32000
54,Tandhygienist,private,32000
55,Tandhygienist,private,32000
56,Tandhygienist,private,32000
57,Tandhygienist,private,32000
58,Tandhygienist,private,32200
59,Tandhygienist,private,32200
60,Tandhygienist,private,32350
61,Tandhygienist,private,32420
62,Tandhygienist,private,32500
63,Tandhygienist,private,32500
64,Tandhygienist,private,32640
65,Tandhygienist,private,32693
66,Tandhygienist,private,32800
67,Tandhygienist,private,33000
68,Tandhygienist,private,33000
69,Tandhygienist,private,33000
70,Tandhygienist,private,33200
71,Tandhygienist,private,33250
72,Tandhygienist,private,33400
73,Tandhygienist,private,33500
74,Tandhygienist,private,33753
75,Tandhygienist,private,34000
76,Tandhygienist,private,34000
77,Tandhygienist,private,34000
78,Tandhygienist,private,34100
79,Tandhygienist,private,34424
80,Tandhygienist,private,34500
81,Tandhygienist,private,35000
82,Tandhygienist,private,35000
83,Tandhygienist,private,35000
84,Tandhygienist,private,35200
85,Tandhygienist,private,35500
86,Tandhygienist,private,35608
87,Tandhygienist,private,35900
88,Tandhygienist,private,36000
89,Tandhygienist,private,36500
90,Tandhygienist,private,36800
91,Tandhygienist,private,37000
92,Tandhygienist,private,37000
93,Tandhygienist,private,37545
94,Tandhygienist,private,38200
95,Tandhygienist,private,38512
96,Tandhygienist,private,39000
97,Tandhygienist,private,40000
