"Utbildning","Arbsektor","COUNT","Andel","Lön"
"Ekonom","Privat",62,0.497552363373726,"< 25000"
"Ekonom","Privat",75,0.60187785891983,"25000-25999"
"Ekonom","Privat",77,0.617927935157692,"26000-26999"
"Ekonom","Privat",106,0.850654040606693,"27000-27999"
"Ekonom","Privat",120,0.963004574271728,"28000-28999"
"Ekonom","Privat",121,0.971029612390659,"29000-29999"
"Ekonom","Privat",157,1.25993098467218,"30000-30999"
"Ekonom","Privat",138,1.10745526041249,"31000-31999"
"Ekonom","Privat",201,1.61303266190514,"32000-32999"
"Ekonom","Privat",192,1.54080731883476,"33000-33999"
"Ekonom","Privat",158,1.26795602279111,"34000-34999"
"Ekonom","Privat",229,1.83773372923521,"35000-35999"
"Ekonom","Privat",231,1.85378380547308,"36000-36999"
"Ekonom","Privat",216,1.73340823368911,"37000-37999"
"Ekonom","Privat",257,2.06243479656528,"38000-38999"
"Ekonom","Privat",226,1.81365861487842,"39000-39999"
"Ekonom","Privat",295,2.36738624508466,"40000-40999"
"Ekonom","Privat",225,1.80563357675949,"41000-41999"
"Ekonom","Privat",258,2.07045983468421,"42000-42999"
"Ekonom","Privat",262,2.10255998715994,"43000-43999"
"Ekonom","Privat",249,1.99823449161384,"44000-44999"
"Ekonom","Privat",344,2.76061311291229,"45000-45999"
"Ekonom","Privat",312,2.50381189310649,"46000-46999"
"Ekonom","Privat",281,2.25503571141963,"47000-47999"
"Ekonom","Privat",290,2.32726105449001,"48000-48999"
"Ekonom","Privat",236,1.89390899606773,"49000-49999"
"Ekonom","Privat",377,3.02543937083701,"50000-50999"
"Ekonom","Privat",273,2.19083540646818,"51000-51999"
"Ekonom","Privat",271,2.17478533023032,"52000-52999"
"Ekonom","Privat",243,1.95008426290025,"53000-53999"
"Ekonom","Privat",219,1.7574833480459,"54000-54999"
"Ekonom","Privat",290,2.32726105449001,"55000-55999"
"Ekonom","Privat",237,1.90193403418666,"56000-56999"
"Ekonom","Privat",217,1.74143327180804,"57000-57999"
"Ekonom","Privat",210,1.68525800497552,"58000-58999"
"Ekonom","Privat",149,1.19573067972073,"59000-59999"
"Ekonom","Privat",288,2.31121097825215,"60000-60999"
"Ekonom","Privat",178,1.42845678516973,"61000-61999"
"Ekonom","Privat",183,1.46858197576438,"62000-62999"
"Ekonom","Privat",155,1.24388090843432,"63000-63999"
"Ekonom","Privat",164,1.31610625150469,"64000-64999"
"Ekonom","Privat",214,1.71735815745125,"65000-65999"
"Ekonom","Privat",131,1.05127999357997,"66000-66999"
"Ekonom","Privat",151,1.21178075595859,"67000-67999"
"Ekonom","Privat",116,0.930904421796004,"68000-68999"
"Ekonom","Privat",105,0.842629002487762,"69000-69999"
"Ekonom","Privat",204,1.63710777626194,"70000-70999"
"Ekonom","Privat",107,0.858679078725624,"71000-71999"
"Ekonom","Privat",116,0.930904421796004,"72000-72999"
"Ekonom","Privat",92,0.738303506941658,"73000-73999"
"Ekonom","Privat",96,0.770403659417382,"74000-74999"
"Ekonom","Privat",162,1.30005617526683,"75000-75999"
"Ekonom","Privat",83,0.666078163871279,"76000-76999"
"Ekonom","Privat",91,0.730278468822727,"77000-77999"
"Ekonom","Privat",92,0.738303506941658,"78000-78999"
"Ekonom","Privat",70,0.561752668325175,"79000-79999"
"Ekonom","Privat",138,1.10745526041249,"80000-80999"
"Ekonom","Privat",66,0.52965251584945,"81000-81999"
"Ekonom","Privat",72,0.577802744563037,"82000-82999"
"Ekonom","Privat",60,0.481502287135864,"83000-83999"
"Ekonom","Privat",62,0.497552363373726,"84000-84999"
"Ekonom","Privat",70,0.561752668325175,"85000-85999"
"Ekonom","Privat",44,0.353101677232967,"86000-86999"
"Ekonom","Privat",55,0.441377096541209,"87000-87999"
"Ekonom","Privat",44,0.353101677232967,"88000-88999"
"Ekonom","Privat",38,0.30495144851938,"89000-89999"
"Ekonom","Privat",66,0.52965251584945,"90000-90999"
"Ekonom","Privat",34,0.272851296043656,"91000-91999"
"Ekonom","Privat",46,0.369151753470829,"92000-92999"
"Ekonom","Privat",31,0.248776181686863,"93000-93999"
"Ekonom","Privat",35,0.280876334162587,"94000-94999"
"Ekonom","Privat",47,0.37717679158976,"95000-95999"
"Ekonom","Privat",36,0.288901372281518,"96000-96999"
"Ekonom","Privat",35,0.280876334162587,"97000-97999"
"Ekonom","Privat",25,0.200625952973277,"98000-98999"
"Ekonom","Privat",30,0.240751143567932,"99000-99999"
"Ekonom","Privat",53,0.425327020303346,"100000-100999"
"Ekonom","Privat",26,0.208650991092208,"101000-101999"
"Ekonom","Privat",27,0.216676029211139,"102000-102999"
"Ekonom","Privat",23,0.184575876735415,"103000-103999"
"Ekonom","Privat",19,0.15247572425969,"104000-104999"
"Ekonom","Privat",28,0.22470106733007,"105000-105999"
"Ekonom","Privat",19,0.15247572425969,"106000-106999"
"Ekonom","Privat",20,0.160500762378621,"107000-107999"
"Ekonom","Privat",17,0.136425648021828,"108000-108999"
"Ekonom","Privat",12,0.096300457427173,"109000-109999"
"Ekonom","Privat",34,0.272851296043656,"110000-110999"
"Ekonom","Privat",17,0.136425648021828,"111000-111999"
"Ekonom","Privat",17,0.136425648021828,"112000-112999"
"Ekonom","Privat",19,0.15247572425969,"113000-113999"
"Ekonom","Privat",6,0.048150228713586,"114000-114999"
"Ekonom","Privat",19,0.15247572425969,"115000-115999"
"Ekonom","Privat",13,0.104325495546104,"116000-116999"
"Ekonom","Privat",15,0.120375571783966,"117000-117999"
"Ekonom","Privat",8,0.064200304951449,"118000-118999"
"Ekonom","Privat",6,0.048150228713586,"119000-119999"
"Ekonom","Privat",16,0.128400609902897,"120000-120999"
"Ekonom","Privat",12,0.096300457427173,"121000-121999"
