"Utbildning","Arbsektor","Percentile","Andel","Lon"
"Ekonom","Privat","Pct_3",3,28281
"Ekonom","Privat","Pct_4",4,29000
"Ekonom","Privat","Pct_5",5,30000
"Ekonom","Privat","Pct_6",6,31000
"Ekonom","Privat","Pct_7",7,32000
"Ekonom","Privat","Pct_8",8,32500
"Ekonom","Privat","Pct_9",9,33000
"Ekonom","Privat","Pct_10",10,33900
"Ekonom","Privat","Pct_11",11,34500
"Ekonom","Privat","Pct_12",12,35000
"Ekonom","Privat","Pct_13",13,35900
"Ekonom","Privat","Pct_14",14,36300
"Ekonom","Privat","Pct_15",15,37000
"Ekonom","Privat","Pct_16",16,37443
"Ekonom","Privat","Pct_17",17,38000
"Ekonom","Privat","Pct_18",18,38500
"Ekonom","Privat","Pct_19",19,39000
"Ekonom","Privat","Pct_20",20,39500
"Ekonom","Privat","Pct_21",21,40000
"Ekonom","Privat","Pct_22",22,40312
"Ekonom","Privat","Pct_23",23,41000
"Ekonom","Privat","Pct_24",24,41400
"Ekonom","Privat","Pct_25",25,42000
"Ekonom","Privat","Pct_26",26,42500
"Ekonom","Privat","Pct_27",27,43000
"Ekonom","Privat","Pct_28",28,43400
"Ekonom","Privat","Pct_29",29,44000
"Ekonom","Privat","Pct_30",30,44400
"Ekonom","Privat","Pct_31",31,45000
"Ekonom","Privat","Pct_32",32,45000
"Ekonom","Privat","Pct_33",33,45500
"Ekonom","Privat","Pct_34",34,46000
"Ekonom","Privat","Pct_35",35,46350
"Ekonom","Privat","Pct_36",36,46862
"Ekonom","Privat","Pct_37",37,47150
"Ekonom","Privat","Pct_38",38,47700
"Ekonom","Privat","Pct_39",39,48000
"Ekonom","Privat","Pct_40",40,48500
"Ekonom","Privat","Pct_41",41,49000
"Ekonom","Privat","Pct_42",42,49500
"Ekonom","Privat","Pct_43",43,50000
"Ekonom","Privat","Pct_44",44,50000
"Ekonom","Privat","Pct_45",45,50500
"Ekonom","Privat","Pct_46",46,51000
"Ekonom","Privat","Pct_47",47,51400
"Ekonom","Privat","Pct_48",48,52000
"Ekonom","Privat","Pct_49",49,52202
"Ekonom","Privat","Pct_50",50,52936
"Ekonom","Privat","Pct_51",51,53300
"Ekonom","Privat","Pct_52",52,53962
"Ekonom","Privat","Pct_53",53,54402
"Ekonom","Privat","Pct_54",54,55000
"Ekonom","Privat","Pct_55",55,55300
"Ekonom","Privat","Pct_56",56,55900
