"Utbildning","Arbsektor","COUNT","Andel","Lön"
"Civilekonomer ekonom","Privat",16,0.460431654676259,"< 25000"
"Civilekonomer ekonom","Privat",23,0.661870503597122,"25000-25999"
"Civilekonomer ekonom","Privat",26,0.748201438848921,"26000-26999"
"Civilekonomer ekonom","Privat",29,0.834532374100719,"27000-27999"
"Civilekonomer ekonom","Privat",38,1.09352517985612,"28000-28999"
"Civilekonomer ekonom","Privat",34,0.97841726618705,"29000-29999"
"Civilekonomer ekonom","Privat",59,1.69784172661871,"30000-30999"
"Civilekonomer ekonom","Privat",38,1.09352517985612,"31000-31999"
"Civilekonomer ekonom","Privat",62,1.7841726618705,"32000-32999"
"Civilekonomer ekonom","Privat",64,1.84172661870504,"33000-33999"
"Civilekonomer ekonom","Privat",48,1.38129496402878,"34000-34999"
"Civilekonomer ekonom","Privat",65,1.8705035971223,"35000-35999"
"Civilekonomer ekonom","Privat",72,2.07194244604317,"36000-36999"
"Civilekonomer ekonom","Privat",68,1.9568345323741,"37000-37999"
"Civilekonomer ekonom","Privat",82,2.35971223021583,"38000-38999"
"Civilekonomer ekonom","Privat",66,1.89928057553957,"39000-39999"
"Civilekonomer ekonom","Privat",99,2.84892086330935,"40000-40999"
"Civilekonomer ekonom","Privat",76,2.18705035971223,"41000-41999"
"Civilekonomer ekonom","Privat",86,2.47482014388489,"42000-42999"
"Civilekonomer ekonom","Privat",69,1.98561151079137,"43000-43999"
"Civilekonomer ekonom","Privat",76,2.18705035971223,"44000-44999"
"Civilekonomer ekonom","Privat",104,2.99280575539568,"45000-45999"
"Civilekonomer ekonom","Privat",67,1.92805755395683,"46000-46999"
"Civilekonomer ekonom","Privat",91,2.61870503597122,"47000-47999"
"Civilekonomer ekonom","Privat",95,2.73381294964029,"48000-48999"
"Civilekonomer ekonom","Privat",83,2.38848920863309,"49000-49999"
"Civilekonomer ekonom","Privat",112,3.22302158273381,"50000-50999"
"Civilekonomer ekonom","Privat",70,2.01438848920863,"51000-51999"
"Civilekonomer ekonom","Privat",69,1.98561151079137,"52000-52999"
"Civilekonomer ekonom","Privat",75,2.15827338129496,"53000-53999"
"Civilekonomer ekonom","Privat",69,1.98561151079137,"54000-54999"
"Civilekonomer ekonom","Privat",84,2.41726618705036,"55000-55999"
"Civilekonomer ekonom","Privat",78,2.24460431654676,"56000-56999"
"Civilekonomer ekonom","Privat",53,1.52517985611511,"57000-57999"
"Civilekonomer ekonom","Privat",49,1.41007194244604,"58000-58999"
"Civilekonomer ekonom","Privat",42,1.20863309352518,"59000-59999"
"Civilekonomer ekonom","Privat",72,2.07194244604317,"60000-60999"
"Civilekonomer ekonom","Privat",47,1.35251798561151,"61000-61999"
"Civilekonomer ekonom","Privat",50,1.43884892086331,"62000-62999"
"Civilekonomer ekonom","Privat",49,1.41007194244604,"63000-63999"
"Civilekonomer ekonom","Privat",38,1.09352517985612,"64000-64999"
"Civilekonomer ekonom","Privat",75,2.15827338129496,"65000-65999"
"Civilekonomer ekonom","Privat",42,1.20863309352518,"66000-66999"
"Civilekonomer ekonom","Privat",32,0.920863309352518,"67000-67999"
"Civilekonomer ekonom","Privat",37,1.06474820143885,"68000-68999"
"Civilekonomer ekonom","Privat",24,0.690647482014388,"69000-69999"
"Civilekonomer ekonom","Privat",42,1.20863309352518,"70000-70999"
"Civilekonomer ekonom","Privat",36,1.03597122302158,"71000-71999"
"Civilekonomer ekonom","Privat",40,1.15107913669065,"72000-72999"
"Civilekonomer ekonom","Privat",20,0.575539568345324,"73000-73999"
"Civilekonomer ekonom","Privat",24,0.690647482014388,"74000-74999"
"Civilekonomer ekonom","Privat",33,0.949640287769784,"75000-75999"
"Civilekonomer ekonom","Privat",18,0.517985611510791,"76000-76999"
"Civilekonomer ekonom","Privat",24,0.690647482014388,"77000-77999"
"Civilekonomer ekonom","Privat",19,0.546762589928058,"78000-78999"
"Civilekonomer ekonom","Privat",10,0.287769784172662,"79000-79999"
"Civilekonomer ekonom","Privat",28,0.805755395683453,"80000-80999"
"Civilekonomer ekonom","Privat",9,0.258992805755396,"81000-81999"
"Civilekonomer ekonom","Privat",28,0.805755395683453,"82000-82999"
"Civilekonomer ekonom","Privat",25,0.719424460431655,"83000-83999"
"Civilekonomer ekonom","Privat",13,0.37410071942446,"84000-84999"
"Civilekonomer ekonom","Privat",23,0.661870503597122,"85000-85999"
"Civilekonomer ekonom","Privat",13,0.37410071942446,"86000-86999"
"Civilekonomer ekonom","Privat",16,0.460431654676259,"87000-87999"
"Civilekonomer ekonom","Privat",7,0.201438848920863,"88000-88999"
"Civilekonomer ekonom","Privat",7,0.201438848920863,"89000-89999"
"Civilekonomer ekonom","Privat",13,0.37410071942446,"90000-90999"
"Civilekonomer ekonom","Privat",6,0.172661870503597,"91000-91999"
"Civilekonomer ekonom","Privat",8,0.230215827338129,"92000-92999"
"Civilekonomer ekonom","Privat",7,0.201438848920863,"93000-93999"
"Civilekonomer ekonom","Privat",6,0.172661870503597,"94000-94999"
"Civilekonomer ekonom","Privat",10,0.287769784172662,"95000-95999"
"Civilekonomer ekonom","Privat",2,0.057553956834532,"96000-96999"
"Civilekonomer ekonom","Privat",7,0.201438848920863,"97000-97999"
"Civilekonomer ekonom","Privat",5,0.143884892086331,"98000-98999"
"Civilekonomer ekonom","Privat",4,0.115107913669065,"99000-99999"
"Civilekonomer ekonom","Privat",9,0.258992805755396,"100000-100999"
"Civilekonomer ekonom","Privat",6,0.172661870503597,"101000-101999"
"Civilekonomer ekonom","Privat",5,0.143884892086331,"102000-102999"
"Civilekonomer ekonom","Privat",2,0.057553956834532,"103000-103999"
"Civilekonomer ekonom","Privat",4,0.115107913669065,"104000-104999"
"Civilekonomer ekonom","Privat",1,0.028776978417266,"105000-105999"
"Civilekonomer ekonom","Privat",4,0.115107913669065,"106000-106999"
"Civilekonomer ekonom","Privat",8,0.230215827338129,"107000-107999"
"Civilekonomer ekonom","Privat",4,0.115107913669065,"108000-108999"
"Civilekonomer ekonom","Privat",3,0.086330935251799,"109000-109999"
"Civilekonomer ekonom","Privat",7,0.201438848920863,"110000-110999"
"Civilekonomer ekonom","Privat",5,0.143884892086331,"111000-111999"
"Civilekonomer ekonom","Privat",2,0.057553956834532,"112000-112999"
"Civilekonomer ekonom","Privat",1,0.028776978417266,"113000-113999"
"Civilekonomer ekonom","Privat",1,0.028776978417266,"114000-114999"
"Civilekonomer ekonom","Privat",7,0.201438848920863,"115000-115999"
"Civilekonomer ekonom","Privat",4,0.115107913669065,"116000-116999"
"Civilekonomer ekonom","Privat",4,0.115107913669065,"117000-117999"
"Civilekonomer ekonom","Privat",3,0.086330935251799,"119000-119999"
"Civilekonomer ekonom","Privat",89,2.56115107913669,">=120000"
"Civilekonomer ekonom","Offentlig",10,0.360620266858997,"< 25000"
"Civilekonomer ekonom","Offentlig",7,0.252434186801298,"25000-25999"
"Civilekonomer ekonom","Offentlig",10,0.360620266858997,"26000-26999"
"Civilekonomer ekonom","Offentlig",29,1.04579877389109,"27000-27999"
"Civilekonomer ekonom","Offentlig",50,1.80310133429499,"28000-28999"
"Civilekonomer ekonom","Offentlig",37,1.33429498737829,"29000-29999"
"Civilekonomer ekonom","Offentlig",62,2.23584565452578,"30000-30999"
"Civilekonomer ekonom","Offentlig",70,2.52434186801298,"31000-31999"
"Civilekonomer ekonom","Offentlig",55,1.98341146772449,"32000-32999"
"Civilekonomer ekonom","Offentlig",72,2.59646592138478,"33000-33999"
"Civilekonomer ekonom","Offentlig",79,2.84890010818608,"34000-34999"
"Civilekonomer ekonom","Offentlig",98,3.53407861521818,"35000-35999"
"Civilekonomer ekonom","Offentlig",112,4.03894698882077,"36000-36999"
"Civilekonomer ekonom","Offentlig",86,3.10133429498738,"37000-37999"
"Civilekonomer ekonom","Offentlig",106,3.82257482870537,"38000-38999"
"Civilekonomer ekonom","Offentlig",105,3.78651280201947,"39000-39999"
"Civilekonomer ekonom","Offentlig",133,4.79624954922467,"40000-40999"
"Civilekonomer ekonom","Offentlig",125,4.50775333573747,"41000-41999"
"Civilekonomer ekonom","Offentlig",127,4.57987738910927,"42000-42999"
"Civilekonomer ekonom","Offentlig",107,3.85863685539127,"43000-43999"
"Civilekonomer ekonom","Offentlig",101,3.64226469527587,"44000-44999"
"Civilekonomer ekonom","Offentlig",124,4.47169130905157,"45000-45999"
"Civilekonomer ekonom","Offentlig",94,3.38983050847458,"46000-46999"
"Civilekonomer ekonom","Offentlig",74,2.66858997475658,"47000-47999"
"Civilekonomer ekonom","Offentlig",78,2.81283808150018,"48000-48999"
"Civilekonomer ekonom","Offentlig",61,2.19978362783988,"49000-49999"
"Civilekonomer ekonom","Offentlig",70,2.52434186801298,"50000-50999"
"Civilekonomer ekonom","Offentlig",53,1.91128741435269,"51000-51999"
"Civilekonomer ekonom","Offentlig",55,1.98341146772449,"52000-52999"
"Civilekonomer ekonom","Offentlig",60,2.16372160115398,"53000-53999"
"Civilekonomer ekonom","Offentlig",48,1.73097728092319,"54000-54999"
"Civilekonomer ekonom","Offentlig",46,1.65885322755139,"55000-55999"
"Civilekonomer ekonom","Offentlig",39,1.40641904075009,"56000-56999"
"Civilekonomer ekonom","Offentlig",27,0.973674720519293,"57000-57999"
"Civilekonomer ekonom","Offentlig",30,1.08186080057699,"58000-58999"
"Civilekonomer ekonom","Offentlig",18,0.649116480346196,"59000-59999"
"Civilekonomer ekonom","Offentlig",35,1.26217093400649,"60000-60999"
"Civilekonomer ekonom","Offentlig",25,0.901550667147494,"61000-61999"
"Civilekonomer ekonom","Offentlig",19,0.685178507032095,"62000-62999"
"Civilekonomer ekonom","Offentlig",18,0.649116480346196,"63000-63999"
"Civilekonomer ekonom","Offentlig",21,0.757302560403895,"64000-64999"
"Civilekonomer ekonom","Offentlig",19,0.685178507032095,"65000-65999"
"Civilekonomer ekonom","Offentlig",16,0.576992426974396,"66000-66999"
"Civilekonomer ekonom","Offentlig",13,0.468806346916697,"67000-67999"
"Civilekonomer ekonom","Offentlig",13,0.468806346916697,"68000-68999"
"Civilekonomer ekonom","Offentlig",7,0.252434186801298,"69000-69999"
"Civilekonomer ekonom","Offentlig",11,0.396682293544897,"70000-70999"
"Civilekonomer ekonom","Offentlig",9,0.324558240173098,"71000-71999"
"Civilekonomer ekonom","Offentlig",6,0.216372160115398,"72000-72999"
"Civilekonomer ekonom","Offentlig",9,0.324558240173098,"73000-73999"
"Civilekonomer ekonom","Offentlig",5,0.180310133429499,"74000-74999"
"Civilekonomer ekonom","Offentlig",12,0.432744320230797,"75000-75999"
"Civilekonomer ekonom","Offentlig",1,0.0360620266859,"76000-76999"
"Civilekonomer ekonom","Offentlig",5,0.180310133429499,"77000-77999"
"Civilekonomer ekonom","Offentlig",7,0.252434186801298,"78000-78999"
"Civilekonomer ekonom","Offentlig",3,0.108186080057699,"79000-79999"
"Civilekonomer ekonom","Offentlig",61,2.19978362783988,">=80000"
"Jurist","Privat",10,0.294117647058824,"< 25000"
"Jurist","Privat",7,0.205882352941176,"25000-25999"
"Jurist","Privat",20,0.588235294117647,"26000-26999"
"Jurist","Privat",29,0.852941176470588,"27000-27999"
"Jurist","Privat",39,1.14705882352941,"28000-28999"
"Jurist","Privat",46,1.35294117647059,"29000-29999"
"Jurist","Privat",80,2.35294117647059,"30000-30999"
"Jurist","Privat",75,2.20588235294118,"31000-31999"
"Jurist","Privat",59,1.73529411764706,"32000-32999"
"Jurist","Privat",66,1.94117647058824,"33000-33999"
"Jurist","Privat",55,1.61764705882353,"34000-34999"
"Jurist","Privat",92,2.70588235294118,"35000-35999"
"Jurist","Privat",82,2.41176470588235,"36000-36999"
"Jurist","Privat",84,2.47058823529412,"37000-37999"
"Jurist","Privat",75,2.20588235294118,"38000-38999"
"Jurist","Privat",57,1.67647058823529,"39000-39999"
"Jurist","Privat",94,2.76470588235294,"40000-40999"
"Jurist","Privat",65,1.91176470588235,"41000-41999"
"Jurist","Privat",80,2.35294117647059,"42000-42999"
"Jurist","Privat",57,1.67647058823529,"43000-43999"
