"Utbildning","Arbsektor","Percentile","Andel","Lon"
"ekonom","Privat","Pct_3",3,28000
"ekonom","Privat","Pct_4",4,29000
"ekonom","Privat","Pct_5",5,30000
"ekonom","Privat","Pct_6",6,30496
"ekonom","Privat","Pct_7",7,31200
"ekonom","Privat","Pct_8",8,32000
"ekonom","Privat","Pct_9",9,32600
"ekonom","Privat","Pct_10",10,33000
"ekonom","Privat","Pct_11",11,33700
"ekonom","Privat","Pct_12",12,34500
"ekonom","Privat","Pct_13",13,35000
"ekonom","Privat","Pct_14",14,35500
"ekonom","Privat","Pct_15",15,36000
"ekonom","Privat","Pct_16",16,36597
"ekonom","Privat","Pct_17",17,37000
"ekonom","Privat","Pct_18",18,37652
"ekonom","Privat","Pct_19",19,38000
"ekonom","Privat","Pct_20",20,38500
"ekonom","Privat","Pct_21",21,39000
"ekonom","Privat","Pct_22",22,39500
"ekonom","Privat","Pct_23",23,40000
"ekonom","Privat","Pct_24",24,40000
"ekonom","Privat","Pct_25",25,40577
"ekonom","Privat","Pct_26",26,41000
"ekonom","Privat","Pct_27",27,41500
"ekonom","Privat","Pct_28",28,42000
"ekonom","Privat","Pct_29",29,42209
"ekonom","Privat","Pct_30",30,42800
"ekonom","Privat","Pct_31",31,43200
"ekonom","Privat","Pct_32",32,43860
"ekonom","Privat","Pct_33",33,44200
"ekonom","Privat","Pct_34",34,44737
"ekonom","Privat","Pct_35",35,45000
"ekonom","Privat","Pct_36",36,45268
"ekonom","Privat","Pct_37",37,45852
"ekonom","Privat","Pct_38",38,46000
"ekonom","Privat","Pct_39",39,46700
"ekonom","Privat","Pct_40",40,47000
"ekonom","Privat","Pct_41",41,47500
"ekonom","Privat","Pct_42",42,48000
"ekonom","Privat","Pct_43",43,48000
"ekonom","Privat","Pct_44",44,48525
"ekonom","Privat","Pct_45",45,49000
"ekonom","Privat","Pct_46",46,49486
"ekonom","Privat","Pct_47",47,49900
"ekonom","Privat","Pct_48",48,50000
"ekonom","Privat","Pct_49",49,50395
"ekonom","Privat","Pct_50",50,50800
"ekonom","Privat","Pct_51",51,51000
"ekonom","Privat","Pct_52",52,51544
"ekonom","Privat","Pct_53",53,52000
"ekonom","Privat","Pct_54",54,52750
"ekonom","Privat","Pct_55",55,53000
"ekonom","Privat","Pct_56",56,53518
"ekonom","Privat","Pct_57",57,54000
"ekonom","Privat","Pct_58",58,54500
"ekonom","Privat","Pct_59",59,55000
"ekonom","Privat","Pct_60",60,55250
"ekonom","Privat","Pct_61",61,56000
"ekonom","Privat","Pct_62",62,56189
"ekonom","Privat","Pct_63",63,56900
"ekonom","Privat","Pct_64",64,57603
"ekonom","Privat","Pct_65",65,58000
"ekonom","Privat","Pct_66",66,58860
"ekonom","Privat","Pct_67",67,59728
"ekonom","Privat","Pct_68",68,60000
"ekonom","Privat","Pct_69",69,60800
"ekonom","Privat","Pct_70",70,61127
"ekonom","Privat","Pct_71",71,62000
"ekonom","Privat","Pct_72",72,62830
"ekonom","Privat","Pct_73",73,63200
"ekonom","Privat","Pct_74",74,64300
"ekonom","Privat","Pct_75",75,65000
"ekonom","Privat","Pct_76",76,65327
"ekonom","Privat","Pct_77",77,66000
"ekonom","Privat","Pct_78",78,67000
"ekonom","Privat","Pct_79",79,68000
"ekonom","Privat","Pct_80",80,69000
"ekonom","Privat","Pct_81",81,70000
"ekonom","Privat","Pct_82",82,71000
"ekonom","Privat","Pct_83",83,72000
"ekonom","Privat","Pct_84",84,72807
"ekonom","Privat","Pct_85",85,74329
"ekonom","Privat","Pct_86",86,75366
"ekonom","Privat","Pct_87",87,77040
"ekonom","Privat","Pct_88",88,78901
"ekonom","Privat","Pct_89",89,80800
"ekonom","Privat","Pct_90",90,82600
"ekonom","Privat","Pct_91",91,84000
"ekonom","Privat","Pct_92",92,86000
"ekonom","Privat","Pct_93",93,89000
"ekonom","Privat","Pct_94",94,93000
"ekonom","Privat","Pct_95",95,98500
"ekonom","Privat","Pct_96",96,106614
"ekonom","Privat","Pct_97",97,115000
"ekonom","Offentlig","Pct_3",3,28400
"ekonom","Offentlig","Pct_4",4,29000
"ekonom","Offentlig","Pct_5",5,29800
"ekonom","Offentlig","Pct_6",6,30200
"ekonom","Offentlig","Pct_7",7,30650
"ekonom","Offentlig","Pct_8",8,31000
"ekonom","Offentlig","Pct_9",9,31500
"ekonom","Offentlig","Pct_10",10,32000
"ekonom","Offentlig","Pct_11",11,32500
"ekonom","Offentlig","Pct_12",12,33000
"ekonom","Offentlig","Pct_13",13,33300
"ekonom","Offentlig","Pct_14",14,33750
"ekonom","Offentlig","Pct_15",15,34100
"ekonom","Offentlig","Pct_16",16,34500
"ekonom","Offentlig","Pct_17",17,34800
"ekonom","Offentlig","Pct_18",18,35000
"ekonom","Offentlig","Pct_19",19,35300
"ekonom","Offentlig","Pct_20",20,35600
"ekonom","Offentlig","Pct_21",21,36000
"ekonom","Offentlig","Pct_22",22,36100
"ekonom","Offentlig","Pct_23",23,36500
"ekonom","Offentlig","Pct_24",24,36750
"ekonom","Offentlig","Pct_25",25,37000
"ekonom","Offentlig","Pct_26",26,37200
"ekonom","Offentlig","Pct_27",27,37500
"ekonom","Offentlig","Pct_28",28,37975
"ekonom","Offentlig","Pct_29",29,38132
