"Utbildning","Arbsektor","Percentile","Andel","Lon"
"Agronom","Privat","Pct_3",3,28000
"Agronom","Privat","Pct_4",4,28525
"Agronom","Privat","Pct_5",5,29000
"Agronom","Privat","Pct_6",6,29827
"Agronom","Privat","Pct_7",7,30000
"Agronom","Privat","Pct_8",8,30300
"Agronom","Privat","Pct_9",9,30760
"Agronom","Privat","Pct_10",10,31000
"Agronom","Privat","Pct_11",11,31300
"Agronom","Privat","Pct_12",12,31500
"Agronom","Privat","Pct_13",13,32000
"Agronom","Privat","Pct_14",14,32000
"Agronom","Privat","Pct_15",15,32200
"Agronom","Privat","Pct_16",16,32700
"Agronom","Privat","Pct_17",17,33124
"Agronom","Privat","Pct_18",18,33553
"Agronom","Privat","Pct_19",19,34000
"Agronom","Privat","Pct_20",20,34090
"Agronom","Privat","Pct_21",21,34490
"Agronom","Privat","Pct_22",22,34950
"Agronom","Privat","Pct_23",23,35000
"Agronom","Privat","Pct_24",24,35400
"Agronom","Privat","Pct_25",25,35700
"Agronom","Privat","Pct_26",26,35930
"Agronom","Privat","Pct_27",27,36000
"Agronom","Privat","Pct_28",28,36300
"Agronom","Privat","Pct_29",29,36500
"Agronom","Privat","Pct_30",30,36900
"Agronom","Privat","Pct_31",31,37000
"Agronom","Privat","Pct_32",32,37274
"Agronom","Privat","Pct_33",33,38000
"Agronom","Privat","Pct_34",34,38000
"Agronom","Privat","Pct_35",35,38300
"Agronom","Privat","Pct_36",36,38500
"Agronom","Privat","Pct_37",37,38627
"Agronom","Privat","Pct_38",38,39000
"Agronom","Privat","Pct_39",39,39280
"Agronom","Privat","Pct_40",40,39500
"Agronom","Privat","Pct_41",41,39817
"Agronom","Privat","Pct_42",42,40000
"Agronom","Privat","Pct_43",43,40027
"Agronom","Privat","Pct_44",44,40300
"Agronom","Privat","Pct_45",45,40520
"Agronom","Privat","Pct_46",46,40800
"Agronom","Privat","Pct_47",47,41100
"Agronom","Privat","Pct_48",48,41300
"Agronom","Privat","Pct_49",49,41800
"Agronom","Privat","Pct_50",50,42000
"Agronom","Privat","Pct_51",51,42292
