"Utbildning","Arbsektor","COUNT","Andel","Lön"
"högsta chef, högre chef, mellanchef","Privat",193,2.33,"<40000"
"högsta chef, högre chef, mellanchef","Privat",60,0.725426187885383,"40000-40999"
"högsta chef, högre chef, mellanchef","Privat",45,0.544069640914037,"41000-41999"
"högsta chef, högre chef, mellanchef","Privat",45,0.544069640914037,"42000-42999"
"högsta chef, högre chef, mellanchef","Privat",39,0.471527022125499,"43000-43999"
"högsta chef, högre chef, mellanchef","Privat",42,0.507798331519768,"44000-44999"
"högsta chef, högre chef, mellanchef","Privat",80,0.96723491718051,"45000-45999"
"högsta chef, högre chef, mellanchef","Privat",62,0.749607060814895,"46000-46999"
"högsta chef, högre chef, mellanchef","Privat",74,0.894692298391972,"47000-47999"
"högsta chef, högre chef, mellanchef","Privat",84,1.01559666303954,"48000-48999"
"högsta chef, högre chef, mellanchef","Privat",70,0.846330552532946,"49000-49999"
"högsta chef, högre chef, mellanchef","Privat",133,1.6080280498126,"50000-50999"
"högsta chef, högre chef, mellanchef","Privat",94,1.1365010276871,"51000-51999"
"högsta chef, högre chef, mellanchef","Privat",98,1.18486277354613,"52000-52999"
"högsta chef, högre chef, mellanchef","Privat",96,1.16068190061661,"53000-53999"
"högsta chef, högre chef, mellanchef","Privat",100,1.20904364647564,"54000-54999"
"högsta chef, högre chef, mellanchef","Privat",165,1.9949220166848,"55000-55999"
"högsta chef, högre chef, mellanchef","Privat",127,1.53548543102406,"56000-56999"
"högsta chef, högre chef, mellanchef","Privat",113,1.36621932051747,"57000-57999"
"högsta chef, högre chef, mellanchef","Privat",124,1.49921412162979,"58000-58999"
"högsta chef, högre chef, mellanchef","Privat",112,1.35412888405271,"59000-59999"
"högsta chef, högre chef, mellanchef","Privat",203,2.45435860234554,"60000-60999"
"högsta chef, högre chef, mellanchef","Privat",140,1.69266110506589,"61000-61999"
"högsta chef, högre chef, mellanchef","Privat",130,1.57175674041833,"62000-62999"
"högsta chef, högre chef, mellanchef","Privat",141,1.70475154153065,"63000-63999"
"högsta chef, högre chef, mellanchef","Privat",115,1.39040019344698,"64000-64999"
"högsta chef, högre chef, mellanchef","Privat",203,2.45435860234554,"65000-65999"
"högsta chef, högre chef, mellanchef","Privat",117,1.4145810663765,"66000-66999"
"högsta chef, högre chef, mellanchef","Privat",132,1.59593761334784,"67000-67999"
"högsta chef, högre chef, mellanchef","Privat",146,1.76520372385443,"68000-68999"
"högsta chef, högre chef, mellanchef","Privat",108,1.30576713819369,"69000-69999"
"högsta chef, högre chef, mellanchef","Privat",235,2.84125256921775,"70000-70999"
"högsta chef, högre chef, mellanchef","Privat",133,1.6080280498126,"71000-71999"
"högsta chef, högre chef, mellanchef","Privat",145,1.75311328738967,"72000-72999"
"högsta chef, högre chef, mellanchef","Privat",123,1.48712368516503,"73000-73999"
"högsta chef, högre chef, mellanchef","Privat",119,1.43876193930601,"74000-74999"
"högsta chef, högre chef, mellanchef","Privat",166,2.00701245314956,"75000-75999"
"högsta chef, högre chef, mellanchef","Privat",129,1.55966630395357,"76000-76999"
"högsta chef, högre chef, mellanchef","Privat",119,1.43876193930601,"77000-77999"
"högsta chef, högre chef, mellanchef","Privat",132,1.59593761334784,"78000-78999"
"högsta chef, högre chef, mellanchef","Privat",98,1.18486277354613,"79000-79999"
"högsta chef, högre chef, mellanchef","Privat",186,2.24882118244469,"80000-80999"
