"Utbildning","Arbsektor","Percentile","Andel","Lon"
"högsta chef, högre chef, mellanchef","Privat","Pct_3",3,42000
"högsta chef, högre chef, mellanchef","Privat","Pct_4",4,43780
"högsta chef, högre chef, mellanchef","Privat","Pct_5",5,45000
"högsta chef, högre chef, mellanchef","Privat","Pct_6",6,46500
"högsta chef, högre chef, mellanchef","Privat","Pct_7",7,47890
"högsta chef, högre chef, mellanchef","Privat","Pct_8",8,49000
"högsta chef, högre chef, mellanchef","Privat","Pct_9",9,50000
"högsta chef, högre chef, mellanchef","Privat","Pct_10",10,51000
"högsta chef, högre chef, mellanchef","Privat","Pct_11",11,52000
"högsta chef, högre chef, mellanchef","Privat","Pct_12",12,53000
"högsta chef, högre chef, mellanchef","Privat","Pct_13",13,54000
"högsta chef, högre chef, mellanchef","Privat","Pct_14",14,55000
"högsta chef, högre chef, mellanchef","Privat","Pct_15",15,55600
"högsta chef, högre chef, mellanchef","Privat","Pct_16",16,56500
"högsta chef, högre chef, mellanchef","Privat","Pct_17",17,57000
"högsta chef, högre chef, mellanchef","Privat","Pct_18",18,58000
"högsta chef, högre chef, mellanchef","Privat","Pct_19",19,58750
"högsta chef, högre chef, mellanchef","Privat","Pct_20",20,59976
"högsta chef, högre chef, mellanchef","Privat","Pct_21",21,60000
"högsta chef, högre chef, mellanchef","Privat","Pct_22",22,60500
"högsta chef, högre chef, mellanchef","Privat","Pct_23",23,61000
"högsta chef, högre chef, mellanchef","Privat","Pct_24",24,61600
"högsta chef, högre chef, mellanchef","Privat","Pct_25",25,62000
"högsta chef, högre chef, mellanchef","Privat","Pct_26",26,62900
"högsta chef, högre chef, mellanchef","Privat","Pct_27",27,63500
"högsta chef, högre chef, mellanchef","Privat","Pct_28",28,64100
"högsta chef, högre chef, mellanchef","Privat","Pct_29",29,64890
"högsta chef, högre chef, mellanchef","Privat","Pct_30",30,65000
"högsta chef, högre chef, mellanchef","Privat","Pct_31",31,65750
"högsta chef, högre chef, mellanchef","Privat","Pct_32",32,66249
"högsta chef, högre chef, mellanchef","Privat","Pct_33",33,67000
"högsta chef, högre chef, mellanchef","Privat","Pct_34",34,67608
"högsta chef, högre chef, mellanchef","Privat","Pct_35",35,68050
"högsta chef, högre chef, mellanchef","Privat","Pct_36",36,69000
"högsta chef, högre chef, mellanchef","Privat","Pct_37",37,69783
"högsta chef, högre chef, mellanchef","Privat","Pct_38",38,70000
"högsta chef, högre chef, mellanchef","Privat","Pct_39",39,70500
"högsta chef, högre chef, mellanchef","Privat","Pct_40",40,71000
"högsta chef, högre chef, mellanchef","Privat","Pct_41",41,71800
"högsta chef, högre chef, mellanchef","Privat","Pct_42",42,72000
"högsta chef, högre chef, mellanchef","Privat","Pct_43",43,72900
"högsta chef, högre chef, mellanchef","Privat","Pct_44",44,73462
"högsta chef, högre chef, mellanchef","Privat","Pct_45",45,74000
"högsta chef, högre chef, mellanchef","Privat","Pct_46",46,74800
"högsta chef, högre chef, mellanchef","Privat","Pct_47",47,75000
"högsta chef, högre chef, mellanchef","Privat","Pct_48",48,75400
"högsta chef, högre chef, mellanchef","Privat","Pct_49",49,76000
"högsta chef, högre chef, mellanchef","Privat","Pct_50",50,76747
"högsta chef, högre chef, mellanchef","Privat","Pct_51",51,77500
"högsta chef, högre chef, mellanchef","Privat","Pct_52",52,78000
"högsta chef, högre chef, mellanchef","Privat","Pct_53",53,78862
"högsta chef, högre chef, mellanchef","Privat","Pct_54",54,79500
"högsta chef, högre chef, mellanchef","Privat","Pct_55",55,80000
"högsta chef, högre chef, mellanchef","Privat","Pct_56",56,80500
"högsta chef, högre chef, mellanchef","Privat","Pct_57",57,81200
"högsta chef, högre chef, mellanchef","Privat","Pct_58",58,82000
"högsta chef, högre chef, mellanchef","Privat","Pct_59",59,82800
"högsta chef, högre chef, mellanchef","Privat","Pct_60",60,83500
"högsta chef, högre chef, mellanchef","Privat","Pct_61",61,84200
"högsta chef, högre chef, mellanchef","Privat","Pct_62",62,85000
"högsta chef, högre chef, mellanchef","Privat","Pct_63",63,85975
"högsta chef, högre chef, mellanchef","Privat","Pct_64",64,87000
"högsta chef, högre chef, mellanchef","Privat","Pct_65",65,87686
"högsta chef, högre chef, mellanchef","Privat","Pct_66",66,88800
"högsta chef, högre chef, mellanchef","Privat","Pct_67",67,89926
"högsta chef, högre chef, mellanchef","Privat","Pct_68",68,90100
"högsta chef, högre chef, mellanchef","Privat","Pct_69",69,91496
"högsta chef, högre chef, mellanchef","Privat","Pct_70",70,92500
"högsta chef, högre chef, mellanchef","Privat","Pct_71",71,94000
"högsta chef, högre chef, mellanchef","Privat","Pct_72",72,95000
"högsta chef, högre chef, mellanchef","Privat","Pct_73",73,96000
"högsta chef, högre chef, mellanchef","Privat","Pct_74",74,97000
"högsta chef, högre chef, mellanchef","Privat","Pct_75",75,98243
"högsta chef, högre chef, mellanchef","Privat","Pct_76",76,99637
"högsta chef, högre chef, mellanchef","Privat","Pct_77",77,100332
"högsta chef, högre chef, mellanchef","Privat","Pct_78",78,102000
"högsta chef, högre chef, mellanchef","Privat","Pct_79",79,103500
"högsta chef, högre chef, mellanchef","Privat","Pct_80",80,105000
"högsta chef, högre chef, mellanchef","Privat","Pct_81",81,106250
"högsta chef, högre chef, mellanchef","Privat","Pct_82",82,107976
"högsta chef, högre chef, mellanchef","Privat","Pct_83",83,110000
"högsta chef, högre chef, mellanchef","Privat","Pct_84",84,111200
"högsta chef, högre chef, mellanchef","Privat","Pct_85",85,114000
"högsta chef, högre chef, mellanchef","Privat","Pct_86",86,116500
"högsta chef, högre chef, mellanchef","Privat","Pct_87",87,119500
"högsta chef, högre chef, mellanchef","Privat","Pct_88",88,122000
"högsta chef, högre chef, mellanchef","Privat","Pct_89",89,125000
"högsta chef, högre chef, mellanchef","Privat","Pct_90",90,128600
"högsta chef, högre chef, mellanchef","Privat","Pct_91",91,132900
"högsta chef, högre chef, mellanchef","Privat","Pct_92",92,137200
"högsta chef, högre chef, mellanchef","Privat","Pct_93",93,142000
"högsta chef, högre chef, mellanchef","Privat","Pct_94",94,148000
"högsta chef, högre chef, mellanchef","Privat","Pct_95",95,154500
"högsta chef, högre chef, mellanchef","Privat","Pct_96",96,165000
"högsta chef, högre chef, mellanchef","Privat","Pct_97",97,178500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_3",3,45300
"högsta chef, högre chef, mellanchef","Offentlig","Pct_4",4,46650
"högsta chef, högre chef, mellanchef","Offentlig","Pct_5",5,48000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_6",6,48500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_7",7,49500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_8",8,50000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_9",9,50700
"högsta chef, högre chef, mellanchef","Offentlig","Pct_10",10,51200
"högsta chef, högre chef, mellanchef","Offentlig","Pct_11",11,52000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_12",12,52700
"högsta chef, högre chef, mellanchef","Offentlig","Pct_13",13,53100
"högsta chef, högre chef, mellanchef","Offentlig","Pct_14",14,53500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_15",15,54000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_16",16,54500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_17",17,55000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_18",18,55350
"högsta chef, högre chef, mellanchef","Offentlig","Pct_19",19,55800
"högsta chef, högre chef, mellanchef","Offentlig","Pct_20",20,56000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_21",21,56550
"högsta chef, högre chef, mellanchef","Offentlig","Pct_22",22,57000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_23",23,57100
"högsta chef, högre chef, mellanchef","Offentlig","Pct_24",24,57650
"högsta chef, högre chef, mellanchef","Offentlig","Pct_25",25,58000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_26",26,58200
"högsta chef, högre chef, mellanchef","Offentlig","Pct_27",27,58700
"högsta chef, högre chef, mellanchef","Offentlig","Pct_28",28,59000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_29",29,59600
"högsta chef, högre chef, mellanchef","Offentlig","Pct_30",30,60000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_31",31,60000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_32",32,60500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_33",33,61000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_34",34,61100
"högsta chef, högre chef, mellanchef","Offentlig","Pct_35",35,61500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_36",36,62000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_37",37,62000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_38",38,62500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_39",39,62900
"högsta chef, högre chef, mellanchef","Offentlig","Pct_40",40,63000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_41",41,63400
"högsta chef, högre chef, mellanchef","Offentlig","Pct_42",42,63700
"högsta chef, högre chef, mellanchef","Offentlig","Pct_43",43,64000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_44",44,64270
"högsta chef, högre chef, mellanchef","Offentlig","Pct_45",45,64600
"högsta chef, högre chef, mellanchef","Offentlig","Pct_46",46,65000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_47",47,65000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_48",48,65500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_49",49,66000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_50",50,66475
"högsta chef, högre chef, mellanchef","Offentlig","Pct_51",51,67000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_52",52,67100
"högsta chef, högre chef, mellanchef","Offentlig","Pct_53",53,67600
"högsta chef, högre chef, mellanchef","Offentlig","Pct_54",54,68000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_55",55,68500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_56",56,69000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_57",57,69400
"högsta chef, högre chef, mellanchef","Offentlig","Pct_58",58,70000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_59",59,70000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_60",60,70500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_61",61,71000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_62",62,71300
"högsta chef, högre chef, mellanchef","Offentlig","Pct_63",63,71800
"högsta chef, högre chef, mellanchef","Offentlig","Pct_64",64,72000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_65",65,72400
"högsta chef, högre chef, mellanchef","Offentlig","Pct_66",66,73000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_67",67,73500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_68",68,74000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_69",69,75000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_70",70,75000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_71",71,76000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_72",72,76500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_73",73,77000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_74",74,77600
"högsta chef, högre chef, mellanchef","Offentlig","Pct_75",75,78000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_76",76,78300
"högsta chef, högre chef, mellanchef","Offentlig","Pct_77",77,79000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_78",78,79800
"högsta chef, högre chef, mellanchef","Offentlig","Pct_79",79,80000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_80",80,80400
"högsta chef, högre chef, mellanchef","Offentlig","Pct_81",81,81100
"högsta chef, högre chef, mellanchef","Offentlig","Pct_82",82,82000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_83",83,82800
"högsta chef, högre chef, mellanchef","Offentlig","Pct_84",84,83500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_85",85,84500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_86",86,85000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_87",87,86000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_88",88,87000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_89",89,88600
"högsta chef, högre chef, mellanchef","Offentlig","Pct_90",90,90000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_91",91,91500
"högsta chef, högre chef, mellanchef","Offentlig","Pct_92",92,92900
"högsta chef, högre chef, mellanchef","Offentlig","Pct_93",93,94850
"högsta chef, högre chef, mellanchef","Offentlig","Pct_94",94,97000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_95",95,100000
"högsta chef, högre chef, mellanchef","Offentlig","Pct_96",96,103400
"högsta chef, högre chef, mellanchef","Offentlig","Pct_97",97,107100
"enhetschef, gruppchef, första linjens chef","Privat","Pct_3",3,36938
"enhetschef, gruppchef, första linjens chef","Privat","Pct_4",4,38000
"enhetschef, gruppchef, första linjens chef","Privat","Pct_5",5,39400
"enhetschef, gruppchef, första linjens chef","Privat","Pct_6",6,40000
"enhetschef, gruppchef, första linjens chef","Privat","Pct_7",7,40880
"enhetschef, gruppchef, första linjens chef","Privat","Pct_8",8,41500
"enhetschef, gruppchef, första linjens chef","Privat","Pct_9",9,42000
"enhetschef, gruppchef, första linjens chef","Privat","Pct_10",10,42718
"enhetschef, gruppchef, första linjens chef","Privat","Pct_11",11,43300
"enhetschef, gruppchef, första linjens chef","Privat","Pct_12",12,44000
"enhetschef, gruppchef, första linjens chef","Privat","Pct_13",13,44500
