Utbildning,Arbsektor,Percentile,Andel,Lon
Agronom,Privat,Pct_3,3,26300
Agronom,Privat,Pct_4,4,27500
Agronom,Privat,Pct_5,5,27600
Agronom,Privat,Pct_6,6,28057
Agronom,Privat,Pct_7,7,28500
Agronom,Privat,Pct_8,8,29000
Agronom,Privat,Pct_9,9,29645
Agronom,Privat,Pct_10,10,30000
Agronom,Privat,Pct_11,11,30000
Agronom,Privat,Pct_12,12,30195
Agronom,Privat,Pct_13,13,30757
Agronom,Privat,Pct_14,14,31000
Agronom,Privat,Pct_15,15,31058
Agronom,Privat,Pct_16,16,31700
Agronom,Privat,Pct_17,17,32000
Agronom,Privat,Pct_18,18,32100
Agronom,Privat,Pct_19,19,32360
Agronom,Privat,Pct_20,20,32900
Agronom,Privat,Pct_21,21,33000
Agronom,Privat,Pct_22,22,33475
Agronom,Privat,Pct_23,23,33669
Agronom,Privat,Pct_24,24,33938
Agronom,Privat,Pct_25,25,34050
Agronom,Privat,Pct_26,26,34500
Agronom,Privat,Pct_27,27,34700
Agronom,Privat,Pct_28,28,35000
Agronom,Privat,Pct_29,29,35000
Agronom,Privat,Pct_30,30,35092
Agronom,Privat,Pct_31,31,35300
Agronom,Privat,Pct_32,32,35650
Agronom,Privat,Pct_33,33,36000
Agronom,Privat,Pct_34,34,36000
Agronom,Privat,Pct_35,35,36300
Agronom,Privat,Pct_36,36,36560
Agronom,Privat,Pct_37,37,36900
Agronom,Privat,Pct_38,38,37000
Agronom,Privat,Pct_39,39,37325
Agronom,Privat,Pct_40,40,37600
Agronom,Privat,Pct_41,41,37800
Agronom,Privat,Pct_42,42,38000
Agronom,Privat,Pct_43,43,38070
Agronom,Privat,Pct_44,44,38300
Agronom,Privat,Pct_45,45,38500
Agronom,Privat,Pct_46,46,38781
Agronom,Privat,Pct_47,47,39000
Agronom,Privat,Pct_48,48,39100
Agronom,Privat,Pct_49,49,39424
Agronom,Privat,Pct_50,50,39555
Agronom,Privat,Pct_51,51,39720
Agronom,Privat,Pct_52,52,40000
Agronom,Privat,Pct_53,53,40000
Agronom,Privat,Pct_54,54,40027
Agronom,Privat,Pct_55,55,40500
Agronom,Privat,Pct_56,56,40757
Agronom,Privat,Pct_57,57,41000
Agronom,Privat,Pct_58,58,41225
Agronom,Privat,Pct_59,59,41600
Agronom,Privat,Pct_60,60,42000
Agronom,Privat,Pct_61,61,42000
Agronom,Privat,Pct_62,62,42500
Agronom,Privat,Pct_63,63,42821
Agronom,Privat,Pct_64,64,43000
Agronom,Privat,Pct_65,65,43400
Agronom,Privat,Pct_66,66,43680
Agronom,Privat,Pct_67,67,44000
Agronom,Privat,Pct_68,68,44500
Agronom,Privat,Pct_69,69,45000
Agronom,Privat,Pct_70,70,45350
Agronom,Privat,Pct_71,71,46000
Agronom,Privat,Pct_72,72,46557
Agronom,Privat,Pct_73,73,47205
Agronom,Privat,Pct_74,74,47656
Agronom,Privat,Pct_75,75,48058
Agronom,Privat,Pct_76,76,48554
Agronom,Privat,Pct_77,77,49145
Agronom,Privat,Pct_78,78,50000
Agronom,Privat,Pct_79,79,50500
Agronom,Privat,Pct_80,80,51000
Agronom,Privat,Pct_81,81,51500
Agronom,Privat,Pct_82,82,51700
Agronom,Privat,Pct_83,83,52500
Agronom,Privat,Pct_84,84,53000
Agronom,Privat,Pct_85,85,54000
Agronom,Privat,Pct_86,86,55000
Agronom,Privat,Pct_87,87,56000
Agronom,Privat,Pct_88,88,57300
Agronom,Privat,Pct_89,89,58200
Agronom,Privat,Pct_90,90,59940
Agronom,Privat,Pct_91,91,61000
Agronom,Privat,Pct_92,92,63000
Agronom,Privat,Pct_93,93,65300
Agronom,Privat,Pct_94,94,69000
Agronom,Privat,Pct_95,95,71757
Agronom,Privat,Pct_96,96,79500
Agronom,Privat,Pct_97,97,85000
Agronom,Offentlig,Pct_3,3,26000
Agronom,Offentlig,Pct_4,4,26500
Agronom,Offentlig,Pct_5,5,27000
Agronom,Offentlig,Pct_6,6,27500
Agronom,Offentlig,Pct_7,7,27500
Agronom,Offentlig,Pct_8,8,27650
Agronom,Offentlig,Pct_9,9,27850
Agronom,Offentlig,Pct_10,10,28000
Agronom,Offentlig,Pct_11,11,28100
Agronom,Offentlig,Pct_12,12,28500
Agronom,Offentlig,Pct_13,13,28700
Agronom,Offentlig,Pct_14,14,29000
Agronom,Offentlig,Pct_15,15,29000
Agronom,Offentlig,Pct_16,16,29300
Agronom,Offentlig,Pct_17,17,29600
Agronom,Offentlig,Pct_18,18,29850
Agronom,Offentlig,Pct_19,19,30000
Agronom,Offentlig,Pct_20,20,30190
Agronom,Offentlig,Pct_21,21,30400
Agronom,Offentlig,Pct_22,22,30500
Agronom,Offentlig,Pct_23,23,30700
Agronom,Offentlig,Pct_24,24,30900
Agronom,Offentlig,Pct_25,25,31000
Agronom,Offentlig,Pct_26,26,31100
Agronom,Offentlig,Pct_27,27,31300
Agronom,Offentlig,Pct_28,28,31600
Agronom,Offentlig,Pct_29,29,31700
Agronom,Offentlig,Pct_30,30,31800
Agronom,Offentlig,Pct_31,31,31900
Agronom,Offentlig,Pct_32,32,32000
Agronom,Offentlig,Pct_33,33,32050
Agronom,Offentlig,Pct_34,34,32200
Agronom,Offentlig,Pct_35,35,32300
Agronom,Offentlig,Pct_36,36,32500
Agronom,Offentlig,Pct_37,37,32700
Agronom,Offentlig,Pct_38,38,32800
Agronom,Offentlig,Pct_39,39,33000
Agronom,Offentlig,Pct_40,40,33100
Agronom,Offentlig,Pct_41,41,33300
Agronom,Offentlig,Pct_42,42,33400
Agronom,Offentlig,Pct_43,43,33500
Agronom,Offentlig,Pct_44,44,33800
Agronom,Offentlig,Pct_45,45,33850
Agronom,Offentlig,Pct_46,46,34000
Agronom,Offentlig,Pct_47,47,34150
Agronom,Offentlig,Pct_48,48,34400
Agronom,Offentlig,Pct_49,49,34500
Agronom,Offentlig,Pct_50,50,34750
Agronom,Offentlig,Pct_51,51,35000
Agronom,Offentlig,Pct_52,52,35200
Agronom,Offentlig,Pct_53,53,35500
Agronom,Offentlig,Pct_54,54,35800
Agronom,Offentlig,Pct_55,55,36000
Agronom,Offentlig,Pct_56,56,36100
Agronom,Offentlig,Pct_57,57,36500
Agronom,Offentlig,Pct_58,58,36700
Agronom,Offentlig,Pct_59,59,36900
Agronom,Offentlig,Pct_60,60,37300
Agronom,Offentlig,Pct_61,61,37600
Agronom,Offentlig,Pct_62,62,37900
Agronom,Offentlig,Pct_63,63,38000
Agronom,Offentlig,Pct_64,64,38200
Agronom,Offentlig,Pct_65,65,38400
Agronom,Offentlig,Pct_66,66,38800
Agronom,Offentlig,Pct_67,67,39000
Agronom,Offentlig,Pct_68,68,39200
Agronom,Offentlig,Pct_69,69,39500
Agronom,Offentlig,Pct_70,70,39773
Agronom,Offentlig,Pct_71,71,40250
Agronom,Offentlig,Pct_72,72,40750
Agronom,Offentlig,Pct_73,73,41000
Agronom,Offentlig,Pct_74,74,41200
Agronom,Offentlig,Pct_75,75,41400
Agronom,Offentlig,Pct_76,76,41900
Agronom,Offentlig,Pct_77,77,42000
Agronom,Offentlig,Pct_78,78,42100
Agronom,Offentlig,Pct_79,79,42500
Agronom,Offentlig,Pct_80,80,43150
Agronom,Offentlig,Pct_81,81,43500
Agronom,Offentlig,Pct_82,82,44000
Agronom,Offentlig,Pct_83,83,44500
Agronom,Offentlig,Pct_84,84,44700
Agronom,Offentlig,Pct_85,85,45200
Agronom,Offentlig,Pct_86,86,46000
Agronom,Offentlig,Pct_87,87,46600
Agronom,Offentlig,Pct_88,88,47400
Agronom,Offentlig,Pct_89,89,47900
Agronom,Offentlig,Pct_90,90,48500
Agronom,Offentlig,Pct_91,91,49000
Agronom,Offentlig,Pct_92,92,50200
Agronom,Offentlig,Pct_93,93,51300
Agronom,Offentlig,Pct_94,94,52500
Agronom,Offentlig,Pct_95,95,53350
Agronom,Offentlig,Pct_96,96,55000
Agronom,Offentlig,Pct_97,97,56200
Farmaceut,Privat,Pct_3,3,27000
Farmaceut,Privat,Pct_4,4,27400
Farmaceut,Privat,Pct_5,5,27600
Farmaceut,Privat,Pct_6,6,28000
Farmaceut,Privat,Pct_7,7,28100
Farmaceut,Privat,Pct_8,8,28440
Farmaceut,Privat,Pct_9,9,28561
Farmaceut,Privat,Pct_10,10,28800
Farmaceut,Privat,Pct_11,11,29000
Farmaceut,Privat,Pct_12,12,29000
Farmaceut,Privat,Pct_13,13,29125
Farmaceut,Privat,Pct_14,14,29386
Farmaceut,Privat,Pct_15,15,29546
Farmaceut,Privat,Pct_16,16,29750
Farmaceut,Privat,Pct_17,17,29950
Farmaceut,Privat,Pct_18,18,30000
Farmaceut,Privat,Pct_19,19,30051
Farmaceut,Privat,Pct_20,20,30200
Farmaceut,Privat,Pct_21,21,30300
Farmaceut,Privat,Pct_22,22,30500
Farmaceut,Privat,Pct_23,23,30600
Farmaceut,Privat,Pct_24,24,30773
Farmaceut,Privat,Pct_25,25,30920
Farmaceut,Privat,Pct_26,26,31000
Farmaceut,Privat,Pct_27,27,31000
Farmaceut,Privat,Pct_28,28,31104
Farmaceut,Privat,Pct_29,29,31400
Farmaceut,Privat,Pct_30,30,31500
Farmaceut,Privat,Pct_31,31,31600
Farmaceut,Privat,Pct_32,32,31786
Farmaceut,Privat,Pct_33,33,32000
Farmaceut,Privat,Pct_34,34,32000
Farmaceut,Privat,Pct_35,35,32000
Farmaceut,Privat,Pct_36,36,32200
Farmaceut,Privat,Pct_37,37,32309
Farmaceut,Privat,Pct_38,38,32500
Farmaceut,Privat,Pct_39,39,32597
Farmaceut,Privat,Pct_40,40,32750
Farmaceut,Privat,Pct_41,41,32915
Farmaceut,Privat,Pct_42,42,33000
Farmaceut,Privat,Pct_43,43,33000
Farmaceut,Privat,Pct_44,44,33066
Farmaceut,Privat,Pct_45,45,33290
Farmaceut,Privat,Pct_46,46,33500
Farmaceut,Privat,Pct_47,47,33600
Farmaceut,Privat,Pct_48,48,33759
Farmaceut,Privat,Pct_49,49,33973
Farmaceut,Privat,Pct_50,50,34000
Farmaceut,Privat,Pct_51,51,34100
Farmaceut,Privat,Pct_52,52,34150
Farmaceut,Privat,Pct_53,53,34400
Farmaceut,Privat,Pct_54,54,34600
Farmaceut,Privat,Pct_55,55,34800
Farmaceut,Privat,Pct_56,56,35000
Farmaceut,Privat,Pct_57,57,35134
Farmaceut,Privat,Pct_58,58,35300
Farmaceut,Privat,Pct_59,59,35500
Farmaceut,Privat,Pct_60,60,35722
Farmaceut,Privat,Pct_61,61,35909
Farmaceut,Privat,Pct_62,62,36053
Farmaceut,Privat,Pct_63,63,36350
Farmaceut,Privat,Pct_64,64,36733
Farmaceut,Privat,Pct_65,65,37000
Farmaceut,Privat,Pct_66,66,37400
Farmaceut,Privat,Pct_67,67,37850
Farmaceut,Privat,Pct_68,68,38150
Farmaceut,Privat,Pct_69,69,38400
Farmaceut,Privat,Pct_70,70,38700
Farmaceut,Privat,Pct_71,71,39146
Farmaceut,Privat,Pct_72,72,39744
Farmaceut,Privat,Pct_73,73,40000
Farmaceut,Privat,Pct_74,74,40500
Farmaceut,Privat,Pct_75,75,41000
Farmaceut,Privat,Pct_76,76,41300
Farmaceut,Privat,Pct_77,77,41854
Farmaceut,Privat,Pct_78,78,42370
Farmaceut,Privat,Pct_79,79,43000
Farmaceut,Privat,Pct_80,80,43900
Farmaceut,Privat,Pct_81,81,44500
Farmaceut,Privat,Pct_82,82,44959
Farmaceut,Privat,Pct_83,83,45450
Farmaceut,Privat,Pct_84,84,46000
Farmaceut,Privat,Pct_85,85,46600
Farmaceut,Privat,Pct_86,86,47909
Farmaceut,Privat,Pct_87,87,48600
Farmaceut,Privat,Pct_88,88,50000
Farmaceut,Privat,Pct_89,89,51200
Farmaceut,Privat,Pct_90,90,52600
Farmaceut,Privat,Pct_91,91,54506
Farmaceut,Privat,Pct_92,92,56100
Farmaceut,Privat,Pct_93,93,60000
Farmaceut,Privat,Pct_94,94,63000
Farmaceut,Privat,Pct_95,95,67000
Farmaceut,Privat,Pct_96,96,70167
Farmaceut,Privat,Pct_97,97,75757
Farmaceut,Offentlig,Pct_3,3,29000
Farmaceut,Offentlig,Pct_4,4,29700
Farmaceut,Offentlig,Pct_5,5,29850
Farmaceut,Offentlig,Pct_6,6,30500
Farmaceut,Offentlig,Pct_7,7,30700
Farmaceut,Offentlig,Pct_8,8,31000
Farmaceut,Offentlig,Pct_9,9,31000
Farmaceut,Offentlig,Pct_10,10,31100
Farmaceut,Offentlig,Pct_11,11,31301
Farmaceut,Offentlig,Pct_12,12,31600
Farmaceut,Offentlig,Pct_13,13,32000
Farmaceut,Offentlig,Pct_14,14,32000
Farmaceut,Offentlig,Pct_15,15,32100
Farmaceut,Offentlig,Pct_16,16,32300
Farmaceut,Offentlig,Pct_17,17,32500
Farmaceut,Offentlig,Pct_18,18,32950
Farmaceut,Offentlig,Pct_19,19,33000
Farmaceut,Offentlig,Pct_20,20,33150
Farmaceut,Offentlig,Pct_21,21,33457
Farmaceut,Offentlig,Pct_22,22,33670
Farmaceut,Offentlig,Pct_23,23,33800
Farmaceut,Offentlig,Pct_24,24,34000
Farmaceut,Offentlig,Pct_25,25,34000
Farmaceut,Offentlig,Pct_26,26,34050
Farmaceut,Offentlig,Pct_27,27,34300
Farmaceut,Offentlig,Pct_28,28,34500
Farmaceut,Offentlig,Pct_29,29,34800
Farmaceut,Offentlig,Pct_30,30,34900
Farmaceut,Offentlig,Pct_31,31,35000
Farmaceut,Offentlig,Pct_32,32,35350
Farmaceut,Offentlig,Pct_33,33,35600
Farmaceut,Offentlig,Pct_34,34,35700
Farmaceut,Offentlig,Pct_35,35,35857
Farmaceut,Offentlig,Pct_36,36,36000
Farmaceut,Offentlig,Pct_37,37,36100
Farmaceut,Offentlig,Pct_38,38,36300
Farmaceut,Offentlig,Pct_39,39,36500
Farmaceut,Offentlig,Pct_40,40,36600
Farmaceut,Offentlig,Pct_41,41,37000
Farmaceut,Offentlig,Pct_42,42,37400
Farmaceut,Offentlig,Pct_43,43,37500
Farmaceut,Offentlig,Pct_44,44,37550
Farmaceut,Offentlig,Pct_45,45,37750
Farmaceut,Offentlig,Pct_46,46,37950
Farmaceut,Offentlig,Pct_47,47,38000
Farmaceut,Offentlig,Pct_48,48,38300
Farmaceut,Offentlig,Pct_49,49,38500
Farmaceut,Offentlig,Pct_50,50,38800
Farmaceut,Offentlig,Pct_51,51,39000
Farmaceut,Offentlig,Pct_52,52,39000
Farmaceut,Offentlig,Pct_53,53,39486
Farmaceut,Offentlig,Pct_54,54,39605
Farmaceut,Offentlig,Pct_55,55,39800
Farmaceut,Offentlig,Pct_56,56,39800
Farmaceut,Offentlig,Pct_57,57,40000
Farmaceut,Offentlig,Pct_58,58,40150
Farmaceut,Offentlig,Pct_59,59,40600
Farmaceut,Offentlig,Pct_60,60,41000
Farmaceut,Offentlig,Pct_61,61,41157
Farmaceut,Offentlig,Pct_62,62,41200
Farmaceut,Offentlig,Pct_63,63,41250
Farmaceut,Offentlig,Pct_64,64,41900
Farmaceut,Offentlig,Pct_65,65,42000
Farmaceut,Offentlig,Pct_66,66,42100
Farmaceut,Offentlig,Pct_67,67,42500
Farmaceut,Offentlig,Pct_68,68,42700
Farmaceut,Offentlig,Pct_69,69,42807
Farmaceut,Offentlig,Pct_70,70,43000
Farmaceut,Offentlig,Pct_71,71,43400
Farmaceut,Offentlig,Pct_72,72,43800
Farmaceut,Offentlig,Pct_73,73,44100
Farmaceut,Offentlig,Pct_74,74,44600
Farmaceut,Offentlig,Pct_75,75,45000
Farmaceut,Offentlig,Pct_76,76,45107
Farmaceut,Offentlig,Pct_77,77,45550
Farmaceut,Offentlig,Pct_78,78,46000
Farmaceut,Offentlig,Pct_79,79,46200
Farmaceut,Offentlig,Pct_80,80,46525
Farmaceut,Offentlig,Pct_81,81,47200
Farmaceut,Offentlig,Pct_82,82,47657
Farmaceut,Offentlig,Pct_83,83,48000
Farmaceut,Offentlig,Pct_84,84,48200
Farmaceut,Offentlig,Pct_85,85,48500
Farmaceut,Offentlig,Pct_86,86,49300
Farmaceut,Offentlig,Pct_87,87,50000
Farmaceut,Offentlig,Pct_88,88,50800
Farmaceut,Offentlig,Pct_89,89,51000
Farmaceut,Offentlig,Pct_90,90,52200
Farmaceut,Offentlig,Pct_91,91,53150
Farmaceut,Offentlig,Pct_92,92,54000
Farmaceut,Offentlig,Pct_93,93,54800
Farmaceut,Offentlig,Pct_94,94,56857
Farmaceut,Offentlig,Pct_95,95,58300
Farmaceut,Offentlig,Pct_96,96,58710
Farmaceut,Offentlig,Pct_97,97,62000
Arkitekt,Privat,Pct_3,3,29500
Arkitekt,Privat,Pct_4,4,30000
Arkitekt,Privat,Pct_5,5,30100
Arkitekt,Privat,Pct_6,6,30100
Arkitekt,Privat,Pct_7,7,30293
Arkitekt,Privat,Pct_8,8,30600
Arkitekt,Privat,Pct_9,9,31000
Arkitekt,Privat,Pct_10,10,31000
Arkitekt,Privat,Pct_11,11,31300
Arkitekt,Privat,Pct_12,12,31500
Arkitekt,Privat,Pct_13,13,32000
Arkitekt,Privat,Pct_14,14,32000
Arkitekt,Privat,Pct_15,15,32000
Arkitekt,Privat,Pct_16,16,32300
Arkitekt,Privat,Pct_17,17,32600
Arkitekt,Privat,Pct_18,18,32850
Arkitekt,Privat,Pct_19,19,33000
Arkitekt,Privat,Pct_20,20,33400
Arkitekt,Privat,Pct_21,21,33500
Arkitekt,Privat,Pct_22,22,33750
Arkitekt,Privat,Pct_23,23,34000
Arkitekt,Privat,Pct_24,24,34000
Arkitekt,Privat,Pct_25,25,34400
Arkitekt,Privat,Pct_26,26,34515
Arkitekt,Privat,Pct_27,27,34900
Arkitekt,Privat,Pct_28,28,35000
Arkitekt,Privat,Pct_29,29,35000
Arkitekt,Privat,Pct_30,30,35250
Arkitekt,Privat,Pct_31,31,35500
Arkitekt,Privat,Pct_32,32,35800
Arkitekt,Privat,Pct_33,33,36000
Arkitekt,Privat,Pct_34,34,36000
Arkitekt,Privat,Pct_35,35,36450
Arkitekt,Privat,Pct_36,36,36610
Arkitekt,Privat,Pct_37,37,37000
Arkitekt,Privat,Pct_38,38,37000
Arkitekt,Privat,Pct_39,39,37100
Arkitekt,Privat,Pct_40,40,37500
Arkitekt,Privat,Pct_41,41,37500
Arkitekt,Privat,Pct_42,42,37860
Arkitekt,Privat,Pct_43,43,38000
Arkitekt,Privat,Pct_44,44,38050
Arkitekt,Privat,Pct_45,45,38370
Arkitekt,Privat,Pct_46,46,38500
Arkitekt,Privat,Pct_47,47,38750
Arkitekt,Privat,Pct_48,48,38900
Arkitekt,Privat,Pct_49,49,39000
Arkitekt,Privat,Pct_50,50,39066
Arkitekt,Privat,Pct_51,51,39500
Arkitekt,Privat,Pct_52,52,39700
Arkitekt,Privat,Pct_53,53,40000
Arkitekt,Privat,Pct_54,54,40000
Arkitekt,Privat,Pct_55,55,40000
Arkitekt,Privat,Pct_56,56,40500
Arkitekt,Privat,Pct_57,57,40700
Arkitekt,Privat,Pct_58,58,41000
Arkitekt,Privat,Pct_59,59,41100
Arkitekt,Privat,Pct_60,60,41500
Arkitekt,Privat,Pct_61,61,41700
Arkitekt,Privat,Pct_62,62,42000
Arkitekt,Privat,Pct_63,63,42000
Arkitekt,Privat,Pct_64,64,42500
