Befattning,Arbsektor,Tot_antal,Percentile,Andel,Lon
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_3,3,37000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_4,4,38800
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_5,5,40000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_6,6,41000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_7,7,42000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_8,8,43000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_9,9,44300
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_10,10,45000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_11,11,46000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_12,12,46808
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_13,13,47500
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_14,14,48000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_15,15,48500
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_16,16,49200
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_17,17,49950
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_18,18,50000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_19,19,50500
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_20,20,51000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_21,21,51610
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_22,22,52000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_23,23,52750
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_24,24,53200
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_25,25,53990
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_26,26,54400
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_27,27,55000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_28,28,55150
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_29,29,55800
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_30,30,56250
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_31,31,57000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_32,32,57500
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_33,33,58000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_34,34,58738
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_35,35,59250
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_36,36,59900
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_37,37,60000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_38,38,60500
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_39,39,61055
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_40,40,61870
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_41,41,62300
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_42,42,63000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_43,43,63500
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_44,44,64000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_45,45,64640
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_46,46,65000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_47,47,65300
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_48,48,66000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_49,49,66600
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_50,50,67100
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_51,51,68000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_52,52,68500
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_53,53,69025
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_54,54,70000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_55,55,70200
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_56,56,71000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_57,57,71500
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_58,58,72000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_59,59,72750
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_60,60,73500
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_61,61,74157
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_62,62,75000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_63,63,75043
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_64,64,76000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_65,65,77000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_66,66,78000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_67,67,78833
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,8282,Pct_68,68,79800
