Befattning,Arbsektor,Percentile,Andel,Lon,Tickvalue
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_3,3,39750,40000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_4,4,41000,41000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_5,5,42500,43000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_6,6,44000,44000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_7,7,45000,45000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_8,8,45900,46000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_9,9,46900,47000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_10,10,47500,48000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_11,11,48000,48000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_12,12,49000,49000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_13,13,49500,50000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_14,14,50000,50000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_15,15,50000,50000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_16,16,50600,51000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_17,17,51200,52000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_18,18,52000,52000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_19,19,52500,53000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_20,20,53000,53000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_21,21,53700,54000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_22,22,54100,55000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_23,23,54974,55000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_24,24,55000,55000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_25,25,55200,56000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_26,26,56000,56000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_27,27,56350,57000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_28,28,56894,57000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_29,29,57278,58000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_30,30,58000,58000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_31,31,58500,59000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_32,32,59000,59000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_33,33,59500,60000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_34,34,60000,60000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_35,35,60074,61000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,Pct_36,36,61000,61000
