Befattning,Arbsektor,Andel,Lön
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"2,535377358",<39000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,589622642",39000-39999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,786163522",40000-40999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,60927673",41000-41999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,70754717",42000-42999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,628930818",43000-43999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,825471698",44000-44999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,356132075",45000-45999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"0,963050314",46000-46999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,356132075",47000-47999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,552672956",48000-48999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,434748428",49000-49999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"2,987421384",50000-50999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,356132075",51000-51999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,827830189",52000-52999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,886792453",53000-53999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,631289308",54000-54999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"2,849842767",55000-55999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"2,22091195",56000-56999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,70990566",57000-57999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,768867925",58000-58999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,768867925",59000-59999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"2,594339623",60000-60999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,434748428",61000-61999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,70990566",62000-62999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,552672956",63000-63999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,61163522",64000-64999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"2,142295597",65000-65999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,533018868",66000-66999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,61163522",67000-67999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,51336478",68000-68999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,395440252",69000-69999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"2,594339623",70000-70999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,434748428",71000-71999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,768867925",72000-72999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,493710692",73000-73999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,218553459",74000-74999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"2,024371069",75000-75999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,080974843",76000-76999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat,"1,336477987",77000-77999
