Utbildning,Arbsektor,Andel,Lön
Agronom,Privat,2.303262956,<27000
Agronom,Privat,1.535508637,27000-27999
Agronom,Privat,2.879078695,28000-28999
Agronom,Privat,1.535508637,29000-29999
Agronom,Privat,2.687140115,30000-30999
Agronom,Privat,3.454894434,31000-31999
Agronom,Privat,3.454894434,32000-32999
Agronom,Privat,3.071017274,33000-33999
Agronom,Privat,5.950095969,34000-34999
Agronom,Privat,3.454894434,35000-35999
Agronom,Privat,3.838771593,36000-36999
Agronom,Privat,3.838771593,37000-37999
Agronom,Privat,4.222648752,38000-38999
Agronom,Privat,3.454894434,39000-39999
Agronom,Privat,3.454894434,40000-40999
Agronom,Privat,4.030710173,41000-41999
Agronom,Privat,4.030710173,42000-42999
Agronom,Privat,4.606525912,43000-43999
Agronom,Privat,2.879078695,44000-44999
Agronom,Privat,3.262955854,45000-45999
Agronom,Privat,2.495201536,46000-46999
Agronom,Privat,2.303262956,47000-47999
Agronom,Privat,2.303262956,48000-48999
Agronom,Privat,1.535508637,49000-49999
Agronom,Privat,2.303262956,50000-50999
Agronom,Privat,1.727447217,51000-51999
Agronom,Privat,1.535508637,52000-52999
Agronom,Privat,1.919385797,53000-53999
Agronom,Privat,0.959692898,54000-54999
Agronom,Privat,1.343570058,55000-55999
Agronom,Privat,0.383877159,56000-56999
Agronom,Privat,0.383877159,57000-57999
Agronom,Privat,1.343570058,58000-58999
Agronom,Privat,0.575815739,59000-59999
Agronom,Privat,0.767754319,60000-60999
Agronom,Privat,0.383877159,61000-61999
Agronom,Privat,1.151631478,62000-62999
Agronom,Privat,0.767754319,63000-63999
Agronom,Privat,0.19193858,64000-64999
Agronom,Privat,0.383877159,65000-65999
Agronom,Privat,0.383877159,66000-66999
Agronom,Privat,0.19193858,67000-67999
Agronom,Privat,0.383877159,68000-68999
Agronom,Privat,0.19193858,69000-69999
Agronom,Privat,0.575815739,70000-70999
Agronom,Privat,0.19193858,71000-71999
Agronom,Privat,0.383877159,72000-72999
Agronom,Privat,0.383877159,74000-74999
Agronom,Privat,0.19193858,75000-75999
Agronom,Privat,0.383877159,76000-76999
Agronom,Privat,0.19193858,78000-78999
Agronom,Privat,0.19193858,79000-79999
Agronom,Privat,3.646833013,>=80000
Agronom,Offentlig,2.977232925,<26000
Agronom,Offentlig,1.751313485,26000-26999
Agronom,Offentlig,3.50262697,27000-27999
Agronom,Offentlig,4.378283713,28000-28999
Agronom,Offentlig,4.553415061,29000-29999
Agronom,Offentlig,3.152364273,30000-30999
Agronom,Offentlig,4.903677758,31000-31999
Agronom,Offentlig,6.304728546,32000-32999
Agronom,Offentlig,5.954465849,33000-33999
Agronom,Offentlig,7.355516637,34000-34999
Agronom,Offentlig,3.852889667,35000-35999
Agronom,Offentlig,5.253940455,36000-36999
Agronom,Offentlig,4.028021016,37000-37999
Agronom,Offentlig,3.327495622,38000-38999
Agronom,Offentlig,2.626970228,39000-39999
Agronom,Offentlig,4.028021016,40000-40999
Agronom,Offentlig,3.50262697,41000-41999
Agronom,Offentlig,4.028021016,42000-42999
Agronom,Offentlig,3.852889667,43000-43999
Agronom,Offentlig,2.101576182,44000-44999
Agronom,Offentlig,2.626970228,45000-45999
Agronom,Offentlig,1.751313485,46000-46999
Agronom,Offentlig,1.401050788,47000-47999
Agronom,Offentlig,1.576182137,48000-48999
Agronom,Offentlig,0.875656743,49000-49999
Agronom,Offentlig,1.576182137,50000-50999
Agronom,Offentlig,1.050788091,51000-51999
Agronom,Offentlig,0.700525394,52000-52999
Agronom,Offentlig,0.700525394,53000-53999
Agronom,Offentlig,0.875656743,54000-54999
Agronom,Offentlig,0.525394046,55000-55999
Agronom,Offentlig,0.700525394,56000-56999
