profession,publicprivate,value,income
Ekonom,public,0.00269496378642,-24999
Ekonom,public,0.00218965807647,25000-25999
Ekonom,public,0.00269496378642,26000-26999
Ekonom,public,0.00505305709955,27000-27999
Ekonom,public,0.00993767896244,28000-28999
Ekonom,public,0.0136432541688,29000-29999
Ekonom,public,0.0175172646118,30000-30999
Ekonom,public,0.0163382179552,31000-31999
Ekonom,public,0.0202122283982,32000-32999
Ekonom,public,0.0210544045814,33000-33999
Ekonom,public,0.0282971197575,34000-34999
Ekonom,public,0.0313289540172,35000-35999
Ekonom,public,0.029476166414,36000-36999
Ekonom,public,0.0303183425973,37000-37999
Ekonom,public,0.0402560215597,38000-38999
Ekonom,public,0.0345292235136,39000-39999
Ekonom,public,0.0412666329796,40000-40999
Ekonom,public,0.0360451406434,41000-41999
Ekonom,public,0.041098197743,42000-42999
Ekonom,public,0.0402560215597,43000-43999
Ekonom,public,0.0345292235136,44000-44999
Ekonom,public,0.0387401044298,45000-45999
Ekonom,public,0.0343607882769,46000-46999
Ekonom,public,0.0335186120937,47000-47999
Ekonom,public,0.0289708607041,48000-48999
Ekonom,public,0.0264443321543,49000-49999
Ekonom,public,0.0314973892538,50000-50999
Ekonom,public,0.0232440626579,51000-51999
Ekonom,public,0.0218965807647,52000-52999
Ekonom,public,0.0220650160013,53000-53999
Ekonom,public,0.0207175341081,54000-54999
Ekonom,public,0.0171803941385,55000-55999
Ekonom,public,0.0153276065353,56000-56999
Ekonom,public,0.0148223008253,57000-57999
Ekonom,public,0.0119589018023,58000-58999
Ekonom,public,0.00993767896244,59000-59999
Ekonom,public,0.014485430352,60000-60999
Ekonom,public,0.00859019706923,61000-61999
Ekonom,public,0.00892706754253,62000-62999
Ekonom,public,0.00960080848914,63000-63999
Ekonom,public,0.00960080848914,64000-64999
Ekonom,public,0.00673740946606,65000-65999
Ekonom,public,0.00808489135927,66000-66999
Ekonom,public,0.00572679804615,67000-67999
Ekonom,public,0.0055583628095,68000-68999
Ekonom,public,0.00488462186289,69000-69999
Ekonom,public,0.0058952332828,70000-70999
Ekonom,public,0.00269496378642,71000-71999
Ekonom,public,0.00437931615294,72000-72999
Ekonom,public,0.00370557520633,73000-73999
Ekonom,public,0.00286339902308,74000-74999
Ekonom,public,0.00320026949638,75000-75999
Ekonom,public,0.00404244567964,76000-76999
Ekonom,public,0.00269496378642,77000-77999
Ekonom,public,0.00269496378642,78000-78999
Ekonom,public,0.00218965807647,79000-79999
Ekonom,public,0.00320026949638,80000-80999
Ekonom,public,0.00286339902308,81000-81999
Ekonom,public,0.00168435236652,82000-82999
Ekonom,public,0.00117904665656,83000-83999
Ekonom,public,0.00185278760317,84000-84999
Ekonom,public,0.0232440626579,85000-
