profession,publicprivate,value,income
Jurist,public,0.00287016714503,-24999
Jurist,public,0.000675333445889,25000-25999
Jurist,public,0.00388316731386,26000-26999
Jurist,public,0.0178963363161,27000-27999
Jurist,public,0.0135066689178,28000-28999
Jurist,public,0.0344420057403,29000-29999
Jurist,public,0.0216106702684,30000-30999
Jurist,public,0.0172210028702,31000-31999
Jurist,public,0.0197535032923,32000-32999
Jurist,public,0.0258315043053,33000-33999
Jurist,public,0.0280263380044,34000-34999
Jurist,public,0.0302211717035,35000-35999
Jurist,public,0.0293770048962,36000-36999
Jurist,public,0.0379875063313,37000-37999
Jurist,public,0.0344420057403,38000-38999
Jurist,public,0.0315718385953,39000-39999
Jurist,public,0.0334290055715,40000-40999
Jurist,public,0.0315718385953,41000-41999
Jurist,public,0.0314030052338,42000-42999
Jurist,public,0.0276886712814,43000-43999
Jurist,public,0.0300523383421,44000-44999
Jurist,public,0.0295458382576,45000-45999
Jurist,public,0.0263380043897,46000-46999
Jurist,public,0.0285328380888,47000-47999
Jurist,public,0.0307276717879,48000-48999
Jurist,public,0.0231301705217,49000-49999
Jurist,public,0.0281951713659,50000-50999
Jurist,public,0.0216106702684,51000-51999
Jurist,public,0.0189093364849,52000-52999
Jurist,public,0.0135066689178,53000-53999
Jurist,public,0.0168833361472,54000-54999
Jurist,public,0.0180651696775,55000-55999
Jurist,public,0.00996116832686,56000-56999
Jurist,public,0.0130001688334,57000-57999
Jurist,public,0.0126625021104,58000-58999
Jurist,public,0.0106365017728,59000-59999
Jurist,public,0.0123248353875,60000-60999
Jurist,public,0.00675333445889,61000-61999
Jurist,public,0.00996116832686,62000-62999
Jurist,public,0.012156002026,63000-63999
Jurist,public,0.0123248353875,64000-64999
Jurist,public,0.0130001688334,65000-65999
Jurist,public,0.0114806685801,66000-66999
Jurist,public,0.0131690021948,67000-67999
Jurist,public,0.0108053351342,68000-68999
Jurist,public,0.00759750126625,69000-69999
Jurist,public,0.0113118352186,70000-70999
Jurist,public,0.00624683437447,71000-71999
Jurist,public,0.00506500084417,72000-72999
Jurist,public,0.00337666722944,73000-73999
Jurist,public,0.00337666722944,74000-74999
Jurist,public,0.00354550059092,75000-75999
Jurist,public,0.00388316731386,76000-76999
Jurist,public,0.00320783386797,77000-77999
Jurist,public,0.00540266756711,78000-78999
Jurist,public,0.00236366706061,79000-79999
Jurist,public,0.00337666722944,80000-80999
Jurist,public,0.00270133378356,81000-81999
Jurist,public,0.00253250042208,82000-82999
Jurist,public,0.00270133378356,83000-83999
Jurist,public,0.00185716697619,84000-84999
Jurist,public,0.024312004052,85000-
