profession,publicprivate,value,income
Personalvetare,public,0.0016835016835,-24999
Personalvetare,public,0.00420875420875,25000-25999
Personalvetare,public,0.00252525252525,26000-26999
Personalvetare,public,0.00841750841751,27000-27999
Personalvetare,public,0.0126262626263,28000-28999
Personalvetare,public,0.0227272727273,29000-29999
Personalvetare,public,0.0277777777778,30000-30999
Personalvetare,public,0.0319865319865,31000-31999
Personalvetare,public,0.0378787878788,32000-32999
Personalvetare,public,0.0319865319865,33000-33999
Personalvetare,public,0.037037037037,34000-34999
Personalvetare,public,0.0505050505051,35000-35999
Personalvetare,public,0.043771043771,36000-36999
Personalvetare,public,0.0429292929293,37000-37999
Personalvetare,public,0.0547138047138,38000-38999
Personalvetare,public,0.043771043771,39000-39999
Personalvetare,public,0.0589225589226,40000-40999
Personalvetare,public,0.0488215488215,41000-41999
Personalvetare,public,0.0353535353535,42000-42999
Personalvetare,public,0.0328282828283,43000-43999
Personalvetare,public,0.0462962962963,44000-44999
Personalvetare,public,0.0244107744108,45000-45999
Personalvetare,public,0.0294612794613,46000-46999
Personalvetare,public,0.0311447811448,47000-47999
Personalvetare,public,0.0176767676768,48000-48999
Personalvetare,public,0.020202020202,49000-49999
Personalvetare,public,0.0260942760943,50000-50999
Personalvetare,public,0.0143097643098,51000-51999
Personalvetare,public,0.0143097643098,52000-52999
Personalvetare,public,0.0117845117845,53000-53999
Personalvetare,public,0.00925925925926,54000-54999
Personalvetare,public,0.0117845117845,55000-55999
Personalvetare,public,0.0117845117845,56000-56999
Personalvetare,public,0.00841750841751,57000-57999
Personalvetare,public,0.00673400673401,58000-58999
Personalvetare,public,0.00841750841751,59000-59999
Personalvetare,public,0.00252525252525,60000-60999
Personalvetare,public,0.00589225589226,61000-61999
Personalvetare,public,0.010101010101,62000-62999
Personalvetare,public,0.003367003367,63000-63999
Personalvetare,public,0.00589225589226,64000-64999
Personalvetare,public,0.0016835016835,65000-65999
Personalvetare,public,0.00505050505051,66000-66999
Personalvetare,public,0.00589225589226,67000-67999
Personalvetare,public,0.003367003367,68000-68999
Personalvetare,public,0.00252525252525,69000-69999
Personalvetare,public,0.00420875420875,70000-70999
Personalvetare,public,0.00252525252525,71000-71999
Personalvetare,public,0.0016835016835,72000-72999
Personalvetare,public,0.003367003367,73000-73999
Personalvetare,public,0.0193602693603,75000-
Personalvetare,public,0.0,74000-74999
