profession,publicprivate,value,income
Samhällsvetare,public,0.00353278869508,-24999
Samhällsvetare,public,0.00198719364098,25000-25999
Samhällsvetare,public,0.00463678516229,26000-26999
Samhällsvetare,public,0.0105983660852,27000-27999
Samhällsvetare,public,0.0150143519541,28000-28999
Samhällsvetare,public,0.0240671229852,29000-29999
Samhällsvetare,public,0.0203135349967,30000-30999
Samhällsvetare,public,0.0280415102672,31000-31999
Samhällsvetare,public,0.0275999116803,32000-32999
Samhällsvetare,public,0.0282623095606,33000-33999
Samhällsvetare,public,0.034444689777,34000-34999
Samhällsvetare,public,0.0337822918967,35000-35999
Samhällsvetare,public,0.0381982777655,36000-36999
Samhällsvetare,public,0.0337822918967,37000-37999
Samhällsvetare,public,0.0390814749393,38000-38999
Samhällsvetare,public,0.0393022742327,39000-39999
Samhällsvetare,public,0.0468094502098,40000-40999
Samhällsvetare,public,0.0375358798852,41000-41999
Samhällsvetare,public,0.0415102671671,42000-42999
Samhällsvetare,public,0.0397438728196,43000-43999
Samhällsvetare,public,0.0393022742327,44000-44999
Samhällsvetare,public,0.0412894678737,45000-45999
Samhällsvetare,public,0.0381982777655,46000-46999
Samhällsvetare,public,0.0351070876573,47000-47999
Samhällsvetare,public,0.0331198940163,48000-48999
Samhällsvetare,public,0.0280415102672,49000-49999
Samhällsvetare,public,0.0260543166262,50000-50999
Samhällsvetare,public,0.0161183484213,51000-51999
Samhällsvetare,public,0.0165599470082,52000-52999
Samhällsvetare,public,0.0178847427688,53000-53999
Samhällsvetare,public,0.0141311547803,54000-54999
Samhällsvetare,public,0.0156767498344,55000-55999
Samhällsvetare,public,0.011481563259,56000-56999
Samhällsvetare,public,0.0101567674983,57000-57999
Samhällsvetare,public,0.00772797527048,58000-58999
Samhällsvetare,public,0.00794877456392,59000-59999
Samhällsvetare,public,0.00772797527048,60000-60999
Samhällsvetare,public,0.00684477809671,61000-61999
Samhällsvetare,public,0.00772797527048,62000-62999
Samhällsvetare,public,0.00596158092294,63000-63999
Samhällsvetare,public,0.00750717597704,64000-64999
Samhällsvetare,public,0.0057407816295,65000-65999
Samhällsvetare,public,0.00331198940163,66000-66999
Samhällsvetare,public,0.00485758445573,67000-67999
Samhällsvetare,public,0.00397438728196,68000-68999
Samhällsvetare,public,0.00220799293442,69000-69999
Samhällsvetare,public,0.00441598586885,70000-70999
Samhällsvetare,public,0.0015455950541,71000-71999
Samhällsvetare,public,0.00331198940163,72000-72999
Samhällsvetare,public,0.00176639434754,73000-73999
Samhällsvetare,public,0.0015455950541,74000-74999
Samhällsvetare,public,0.0245087215721,75000-
