profession,publicprivate,value,income
Systemvetare,private,0.00151148730351,-24999
Systemvetare,private,0.00211608222491,25000-25999
Systemvetare,private,0.000906892382104,26000-26999
Systemvetare,private,0.00272067714631,27000-27999
Systemvetare,private,0.00604594921403,28000-28999
Systemvetare,private,0.00725513905683,29000-29999
Systemvetare,private,0.0102781136638,30000-30999
Systemvetare,private,0.00725513905683,31000-31999
Systemvetare,private,0.0136033857316,32000-32999
Systemvetare,private,0.0163240628779,33000-33999
Systemvetare,private,0.0123941958888,34000-34999
Systemvetare,private,0.0166263603386,35000-35999
Systemvetare,private,0.0169286577993,36000-36999
Systemvetare,private,0.0160217654172,37000-37999
Systemvetare,private,0.0117896009674,38000-38999
Systemvetare,private,0.0199516324063,39000-39999
Systemvetare,private,0.0305320435308,40000-40999
Systemvetare,private,0.0205562273277,41000-41999
Systemvetare,private,0.026299879081,42000-42999
Systemvetare,private,0.0296251511487,43000-43999
Systemvetare,private,0.0284159613059,44000-44999
Systemvetare,private,0.0389963724305,45000-45999
Systemvetare,private,0.0281136638452,46000-46999
Systemvetare,private,0.0365779927449,47000-47999
Systemvetare,private,0.0338573155985,48000-48999
Systemvetare,private,0.0326481257557,49000-49999
Systemvetare,private,0.0399032648126,50000-50999
Systemvetare,private,0.0371825876663,51000-51999
Systemvetare,private,0.0308343409915,52000-52999
Systemvetare,private,0.0290205562273,53000-53999
Systemvetare,private,0.0314389359129,54000-54999
Systemvetare,private,0.0275090689238,55000-55999
Systemvetare,private,0.0253929866989,56000-56999
Systemvetare,private,0.0211608222491,57000-57999
Systemvetare,private,0.0196493349456,58000-58999
Systemvetare,private,0.0184401451028,59000-59999
Systemvetare,private,0.0259975816203,60000-60999
Systemvetare,private,0.0163240628779,61000-61999
Systemvetare,private,0.0163240628779,62000-62999
Systemvetare,private,0.0160217654172,63000-63999
Systemvetare,private,0.0114873035067,64000-64999
Systemvetare,private,0.0160217654172,65000-65999
Systemvetare,private,0.0129987908102,66000-66999
Systemvetare,private,0.00997581620314,67000-67999
Systemvetare,private,0.0105804111245,68000-68999
Systemvetare,private,0.00785973397823,69000-69999
Systemvetare,private,0.00967351874244,70000-70999
Systemvetare,private,0.00816203143894,71000-71999
Systemvetare,private,0.00695284159613,72000-72999
Systemvetare,private,0.00665054413543,73000-73999
Systemvetare,private,0.00423216444982,74000-74999
Systemvetare,private,0.00453446191052,75000-75999
Systemvetare,private,0.00241837968561,76000-76999
Systemvetare,private,0.00302297460701,77000-77999
Systemvetare,private,0.00453446191052,78000-78999
Systemvetare,private,0.00272067714631,79000-79999
Systemvetare,private,0.00513905683192,80000-80999
Systemvetare,private,0.00120918984281,81000-81999
Systemvetare,private,0.00151148730351,82000-82999
Systemvetare,private,0.00362756952842,83000-83999
Systemvetare,private,0.00181378476421,84000-84999
Systemvetare,private,0.00332527206771,85000-85999
Systemvetare,private,0.00302297460701,86000-86999
Systemvetare,private,0.00151148730351,87000-87999
Systemvetare,private,0.00151148730351,88000-88999
Systemvetare,private,0.000906892382104,89000-89999
Systemvetare,private,0.00302297460701,90000-90999
Systemvetare,private,0.000906892382104,91000-91999
Systemvetare,private,0.00120918984281,92000-92999
Systemvetare,private,0.000604594921403,94000-94999
Systemvetare,private,0.026299879081,95000-
Systemvetare,private,0.0,93000-93999
