profession,publicprivate,value,income
Systemvetare,public,0.000615006150061,-24999
Systemvetare,public,0.000615006150061,26000-26999
Systemvetare,public,0.00184501845018,27000-27999
Systemvetare,public,0.00676506765068,28000-28999
Systemvetare,public,0.00922509225092,29000-29999
Systemvetare,public,0.0116851168512,30000-30999
Systemvetare,public,0.0135301353014,31000-31999
Systemvetare,public,0.0209102091021,32000-32999
Systemvetare,public,0.0159901599016,33000-33999
Systemvetare,public,0.0215252152522,34000-34999
Systemvetare,public,0.0215252152522,35000-35999
Systemvetare,public,0.0313653136531,36000-36999
Systemvetare,public,0.0289052890529,37000-37999
Systemvetare,public,0.0338253382534,38000-38999
Systemvetare,public,0.0430504305043,39000-39999
Systemvetare,public,0.0436654366544,40000-40999
Systemvetare,public,0.0387453874539,41000-41999
Systemvetare,public,0.0381303813038,42000-42999
Systemvetare,public,0.0418204182042,43000-43999
Systemvetare,public,0.0430504305043,44000-44999
Systemvetare,public,0.0547355473555,45000-45999
Systemvetare,public,0.0535055350554,46000-46999
Systemvetare,public,0.0405904059041,47000-47999
Systemvetare,public,0.0436654366544,48000-48999
Systemvetare,public,0.0418204182042,49000-49999
Systemvetare,public,0.0405904059041,50000-50999
Systemvetare,public,0.0319803198032,51000-51999
Systemvetare,public,0.0172201722017,52000-52999
Systemvetare,public,0.0307503075031,53000-53999
Systemvetare,public,0.0215252152522,54000-54999
Systemvetare,public,0.0209102091021,55000-55999
Systemvetare,public,0.0190651906519,56000-56999
Systemvetare,public,0.0147601476015,57000-57999
Systemvetare,public,0.00922509225092,58000-58999
Systemvetare,public,0.00861008610086,59000-59999
Systemvetare,public,0.0116851168512,60000-60999
Systemvetare,public,0.00984009840098,61000-61999
Systemvetare,public,0.00861008610086,62000-62999
Systemvetare,public,0.00430504305043,63000-63999
Systemvetare,public,0.00676506765068,64000-64999
Systemvetare,public,0.00492004920049,65000-65999
Systemvetare,public,0.00184501845018,66000-66999
Systemvetare,public,0.00492004920049,67000-67999
Systemvetare,public,0.00246002460025,68000-68999
Systemvetare,public,0.00184501845018,69000-69999
Systemvetare,public,0.0270602706027,70000-
