profession,publicprivate,value,income
Arbetsterapeut,public,0.02351238922,-24999
Arbetsterapeut,public,0.0484716947,25000-25999
Arbetsterapeut,public,0.06167480557,26000-26999
Arbetsterapeut,public,0.09133658889,27000-27999
Arbetsterapeut,public,0.1152107072,28000-28999
Arbetsterapeut,public,0.1309459215,29000-29999
Arbetsterapeut,public,0.1403508772,30000-30999
Arbetsterapeut,public,0.1054440224,31000-31999
Arbetsterapeut,public,0.08102731054,32000-32999
Arbetsterapeut,public,0.05661059866,33000-33999
Arbetsterapeut,public,0.03201302225,34000-34999
Arbetsterapeut,public,0.02043769217,35000-35999
Arbetsterapeut,public,0.01483089166,36000-36999
Arbetsterapeut,public,0.01175619461,37000-37999
Arbetsterapeut,public,0.00868149756,38000-38999
Arbetsterapeut,public,0.00868149756,39000-39999
Arbetsterapeut,public,0.00705371677,40000-40999
Arbetsterapeut,public,0.00560680051,41000-41999
Arbetsterapeut,public,0.03635377103,42000-
