profession,publicprivate,value,income
Beteendevetare,private,0.050602409639,-24999
Beteendevetare,private,0.009638554217,25000-25999
Beteendevetare,private,0.048192771084,26000-26999
Beteendevetare,private,0.043373493976,27000-27999
Beteendevetare,private,0.067469879518,28000-28999
Beteendevetare,private,0.069879518072,29000-29999
Beteendevetare,private,0.057831325301,30000-30999
Beteendevetare,private,0.038554216867,31000-31999
Beteendevetare,private,0.069879518072,32000-32999
Beteendevetare,private,0.048192771084,33000-33999
Beteendevetare,private,0.040963855422,34000-34999
Beteendevetare,private,0.043373493976,35000-35999
Beteendevetare,private,0.048192771084,36000-36999
Beteendevetare,private,0.033734939759,37000-37999
Beteendevetare,private,0.028915662651,38000-38999
Beteendevetare,private,0.038554216867,39000-39999
Beteendevetare,private,0.050602409639,40000-40999
Beteendevetare,private,0.028915662651,41000-41999
Beteendevetare,private,0.01686746988,42000-42999
Beteendevetare,private,0.009638554217,43000-43999
Beteendevetare,private,0.021686746988,44000-44999
Beteendevetare,private,0.024096385542,45000-45999
Beteendevetare,private,0.01686746988,46000-46999
Beteendevetare,private,0.002409638554,47000-47999
Beteendevetare,private,0.007228915663,48000-48999
Beteendevetare,private,0.002409638554,49000-49999
Beteendevetare,private,0.007228915663,50000-50999
Beteendevetare,private,0.002409638554,51000-51999
Beteendevetare,private,0.014457831325,52000-52999
Beteendevetare,private,0.0,53000-53999
Beteendevetare,private,0.007228915663,54000-54999
Beteendevetare,private,0.004819277108,55000-55999
Beteendevetare,private,0.007228915663,56000-56999
Beteendevetare,private,0.002409638554,57000-57999
Beteendevetare,private,0.004819277108,58000-58999
Beteendevetare,private,0.031325301205,59000-
