profession,publicprivate,value,income
Civilekonom/ekonom,public,0.02507565932,-26999
Civilekonom/ekonom,public,0.01707738867,27000-27999
Civilekonom/ekonom,public,0.0205361003,28000-28999
Civilekonom/ekonom,public,0.02161694769,29000-29999
Civilekonom/ekonom,public,0.02226545612,30000-30999
Civilekonom/ekonom,public,0.02788586252,31000-31999
Civilekonom/ekonom,public,0.03350626891,32000-32999
Civilekonom/ekonom,public,0.03718115002,33000-33999
Civilekonom/ekonom,public,0.03674881107,34000-34999
Civilekonom/ekonom,public,0.04172070904,35000-35999
Civilekonom/ekonom,public,0.03955901427,36000-36999
Civilekonom/ekonom,public,0.04150453956,37000-37999
Civilekonom/ekonom,public,0.04712494596,38000-38999
Civilekonom/ekonom,public,0.04690877648,39000-39999
Civilekonom/ekonom,public,0.04236921747,40000-40999
Civilekonom/ekonom,public,0.03934284479,41000-41999
Civilekonom/ekonom,public,0.03523562473,42000-42999
Civilekonom/ekonom,public,0.03523562473,43000-43999
Civilekonom/ekonom,public,0.03415477735,44000-44999
Civilekonom/ekonom,public,0.0317769131,45000-45999
Civilekonom/ekonom,public,0.02745352356,46000-46999
Civilekonom/ekonom,public,0.02464332036,47000-47999
Civilekonom/ekonom,public,0.02096843926,48000-48999
Civilekonom/ekonom,public,0.02269779507,49000-49999
Civilekonom/ekonom,public,0.02658884565,50000-50999
Civilekonom/ekonom,public,0.01664504972,51000-51999
Civilekonom/ekonom,public,0.01902291396,52000-52999
Civilekonom/ekonom,public,0.01534803286,53000-53999
Civilekonom/ekonom,public,0.01469952443,54000-54999
Civilekonom/ekonom,public,0.0121054907,55000-55999
Civilekonom/ekonom,public,0.01080847384,56000-56999
Civilekonom/ekonom,public,0.00929528751,57000-57999
Civilekonom/ekonom,public,0.00972762646,58000-58999
Civilekonom/ekonom,public,0.00648508431,59000-59999
Civilekonom/ekonom,public,0.00886294855,60000-60999
Civilekonom/ekonom,public,0.00821444012,61000-61999
Civilekonom/ekonom,public,0.00605274535,62000-62999
Civilekonom/ekonom,public,0.00626891483,63000-63999
Civilekonom/ekonom,public,0.00389105058,64000-64999
Civilekonom/ekonom,public,0.00302637268,65000-65999
Civilekonom/ekonom,public,0.00324254215,66000-66999
Civilekonom/ekonom,public,0.00432338954,67000-67999
Civilekonom/ekonom,public,0.00324254215,68000-68999
Civilekonom/ekonom,public,0.00345871163,69000-69999
Civilekonom/ekonom,public,0.00302637268,70000-70999
Civilekonom/ekonom,public,0.00237786425,71000-71999
Civilekonom/ekonom,public,0.03069606572,72000-
