profession,publicprivate,value,income
Civilingenjör,public,0.02619437416,-27999
Civilingenjör,public,0.02783152255,28000-28999
Civilingenjör,public,0.01860395892,29000-29999
Civilingenjör,public,0.02217591904,30000-30999
Civilingenjör,public,0.01994344396,31000-31999
Civilingenjör,public,0.03333829439,32000-32999
Civilingenjör,public,0.02708736419,33000-33999
Civilingenjör,public,0.02425956243,34000-34999
Civilingenjör,public,0.03184997768,35000-35999
Civilingenjör,public,0.03244530436,36000-36999
Civilingenjör,public,0.02738502753,37000-37999
Civilingenjör,public,0.0379520762,38000-38999
Civilingenjör,public,0.04152403631,39000-39999
Civilingenjör,public,0.04063104629,40000-40999
Civilingenjör,public,0.03646375949,41000-41999
Civilingenjör,public,0.03750558119,42000-42999
Civilingenjör,public,0.03289179937,43000-43999
Civilingenjör,public,0.0337847894,44000-44999
Civilingenjör,public,0.03557076946,45000-45999
Civilingenjör,public,0.0358684328,46000-46999
Civilingenjör,public,0.02917100759,47000-47999
Civilingenjör,public,0.02634320583,48000-48999
Civilingenjör,public,0.02842684923,49000-49999
Civilingenjör,public,0.02783152255,50000-50999
Civilingenjör,public,0.02574787915,51000-51999
Civilingenjör,public,0.02098526566,52000-52999
Civilingenjör,public,0.01875279059,53000-53999
Civilingenjör,public,0.01771096889,54000-54999
Civilingenjör,public,0.01681797887,55000-55999
Civilingenjör,public,0.01324601875,56000-56999
Civilingenjör,public,0.01473433547,57000-57999
Civilingenjör,public,0.01101354368,58000-58999
Civilingenjör,public,0.00892990028,59000-59999
Civilingenjör,public,0.01101354368,60000-60999
Civilingenjör,public,0.00818574193,61000-61999
Civilingenjör,public,0.00669742521,62000-62999
Civilingenjör,public,0.00878106861,63000-63999
Civilingenjör,public,0.00848340527,64000-64999
Civilingenjör,public,0.00759041524,65000-65999
Civilingenjör,public,0.00491144516,66000-66999
Civilingenjör,public,0.00550677184,67000-67999
Civilingenjör,public,0.00535794017,68000-68999
Civilingenjör,public,0.00535794017,69000-69999
Civilingenjör,public,0.00565560351,70000-70999
Civilingenjör,public,0.00267897008,71000-71999
Civilingenjör,public,0.00401845513,72000-72999
Civilingenjör,public,0.0327429677,73000-
