profession,publicprivate,value,income
Ekonom,private,0.030581039755,-24999
Ekonom,private,0.021406727829,25000-25999
Ekonom,private,0.036697247706,26000-26999
Ekonom,private,0.02752293578,27000-27999
Ekonom,private,0.048929663609,28000-28999
Ekonom,private,0.021406727829,29000-29999
Ekonom,private,0.033639143731,30000-30999
Ekonom,private,0.030581039755,31000-31999
Ekonom,private,0.030581039755,32000-32999
Ekonom,private,0.033639143731,33000-33999
Ekonom,private,0.030581039755,34000-34999
Ekonom,private,0.048929663609,35000-35999
Ekonom,private,0.039755351682,36000-36999
Ekonom,private,0.036697247706,37000-37999
Ekonom,private,0.030581039755,38000-38999
Ekonom,private,0.018348623853,39000-39999
Ekonom,private,0.021406727829,40000-40999
Ekonom,private,0.02752293578,41000-41999
Ekonom,private,0.030581039755,42000-42999
Ekonom,private,0.030581039755,43000-43999
Ekonom,private,0.015290519878,44000-44999
Ekonom,private,0.018348623853,45000-45999
Ekonom,private,0.024464831804,46000-46999
Ekonom,private,0.006116207951,47000-47999
Ekonom,private,0.003058103976,48000-48999
Ekonom,private,0.012232415902,49000-49999
Ekonom,private,0.030581039755,50000-50999
Ekonom,private,0.012232415902,51000-51999
Ekonom,private,0.015290519878,52000-52999
Ekonom,private,0.006116207951,53000-53999
Ekonom,private,0.009174311927,54000-54999
Ekonom,private,0.018348623853,55000-55999
Ekonom,private,0.012232415902,56000-56999
Ekonom,private,0.012232415902,57000-57999
Ekonom,private,0.006116207951,58000-58999
Ekonom,private,0.009174311927,59000-59999
Ekonom,private,0.015290519878,60000-60999
Ekonom,private,0.006116207951,61000-61999
Ekonom,private,0.006116207951,62000-62999
Ekonom,private,0.009174311927,63000-63999
Ekonom,private,0.003058103976,64000-64999
Ekonom,private,0.021406727829,65000-65999
Ekonom,private,0.006116207951,66000-66999
Ekonom,private,0.006116207951,67000-67999
Ekonom,private,0.003058103976,71000-71999
Ekonom,private,0.003058103976,72000-72999
Ekonom,private,0.003058103976,74000-74999
Ekonom,private,0.003058103976,75000-75999
Ekonom,private,0.003058103976,76000-76999
Ekonom,private,0.003058103976,78000-78999
Ekonom,private,0.067278287462,80000-
Ekonom,private,0.0,68000-68999
Ekonom,private,0.0,77000-77999
Ekonom,private,0.0,70000-70999
Ekonom,private,0.0,69000-69999
Ekonom,private,0.0,79000-79999
Ekonom,private,0.0,73000-73999
