profession,publicprivate,value,income
Farmaceut,public,0.02910602911,-27999
Farmaceut,public,0.00831600832,28000-28999
Farmaceut,public,0.00623700624,29000-29999
Farmaceut,public,0.03326403326,30000-30999
Farmaceut,public,0.03118503119,31000-31999
Farmaceut,public,0.02702702703,32000-32999
Farmaceut,public,0.04158004158,33000-33999
Farmaceut,public,0.06237006237,34000-34999
Farmaceut,public,0.06444906445,35000-35999
Farmaceut,public,0.05197505198,36000-36999
Farmaceut,public,0.04781704782,37000-37999
Farmaceut,public,0.06237006237,38000-38999
Farmaceut,public,0.06652806653,39000-39999
Farmaceut,public,0.05197505198,40000-40999
Farmaceut,public,0.03118503119,41000-41999
Farmaceut,public,0.04781704782,42000-42999
Farmaceut,public,0.0395010395,43000-43999
Farmaceut,public,0.03534303534,44000-44999
Farmaceut,public,0.03534303534,45000-45999
Farmaceut,public,0.03742203742,46000-46999
Farmaceut,public,0.02286902287,47000-47999
Farmaceut,public,0.01455301455,48000-48999
Farmaceut,public,0.02079002079,49000-49999
Farmaceut,public,0.01871101871,50000-50999
Farmaceut,public,0.01247401247,51000-51999
Farmaceut,public,0.01663201663,52000-52999
Farmaceut,public,0.00623700624,53000-53999
Farmaceut,public,0.00623700624,54000-54999
Farmaceut,public,0.00415800416,55000-55999
Farmaceut,public,0.00415800416,56000-56999
Farmaceut,public,0.00831600832,57000-57999
Farmaceut,public,0.00415800416,58000-58999
Farmaceut,public,0.00831600832,59000-59999
Farmaceut,public,0.00623700624,60000-60999
Farmaceut,public,0.00415800416,61000-61999
Farmaceut,public,0.0,62000-62999
Farmaceut,public,0.03118503119,63000-
