profession,publicprivate,value,income
Högskoleingenjör,public,0.0269758637,-26999
Högskoleingenjör,public,0.01940369143,27000-27999
Högskoleingenjör,public,0.02602934217,28000-28999
Högskoleingenjör,public,0.03218173213,29000-29999
Högskoleingenjör,public,0.04353999053,30000-30999
Högskoleingenjör,public,0.05016564127,31000-31999
Högskoleingenjör,public,0.0653099858,32000-32999
Högskoleingenjör,public,0.0553715097,33000-33999
Högskoleingenjör,public,0.05726455277,34000-34999
Högskoleingenjör,public,0.06767628964,35000-35999
Högskoleingenjör,public,0.0582110743,36000-36999
Högskoleingenjör,public,0.0482725982,37000-37999
Högskoleingenjör,public,0.05205868434,38000-38999
Högskoleingenjör,public,0.0468528159,39000-39999
Högskoleingenjör,public,0.05016564127,40000-40999
Högskoleingenjör,public,0.03028868907,41000-41999
Högskoleingenjör,public,0.042593469,42000-42999
Högskoleingenjör,public,0.0326549929,43000-43999
Högskoleingenjör,public,0.02886890677,44000-44999
Högskoleingenjör,public,0.02318977757,45000-45999
Högskoleingenjör,public,0.02176999527,46000-46999
Högskoleingenjör,public,0.0227165168,47000-47999
Högskoleingenjör,public,0.01656412683,48000-48999
Högskoleingenjör,public,0.01325130147,49000-49999
Högskoleingenjör,public,0.0099384761,50000-50999
Högskoleingenjör,public,0.00946521533,51000-51999
Högskoleingenjör,public,0.00899195457,52000-52999
Högskoleingenjör,public,0.00615238997,53000-53999
Högskoleingenjör,public,0.0340747752,54000-
