profession,publicprivate,value,income
Jurist,private,0.027269465375,-27999
Jurist,private,0.0505920344456,100000-
Jurist,private,0.0139935414424,28000-28999
Jurist,private,0.0154287764621,29000-29999
Jurist,private,0.0233225690707,30000-30999
Jurist,private,0.0197344815213,31000-31999
Jurist,private,0.0226049515608,32000-32999
Jurist,private,0.0204520990312,33000-33999
Jurist,private,0.0208109077862,34000-34999
Jurist,private,0.0304987441694,35000-35999
Jurist,private,0.0200932902763,36000-36999
Jurist,private,0.0243989953355,37000-37999
Jurist,private,0.0233225690707,38000-38999
Jurist,private,0.0197344815213,39000-39999
Jurist,private,0.0200932902763,40000-40999
Jurist,private,0.0208109077862,41000-41999
Jurist,private,0.0243989953355,42000-42999
Jurist,private,0.02691065662,43000-43999
Jurist,private,0.0193756727664,44000-44999
Jurist,private,0.0236813778256,45000-45999
Jurist,private,0.0175816289917,46000-46999
Jurist,private,0.0168640114819,47000-47999
Jurist,private,0.0240401865806,48000-48999
Jurist,private,0.0139935414424,49000-49999
Jurist,private,0.021887334051,50000-50999
Jurist,private,0.0179404377467,51000-51999
Jurist,private,0.0258342303552,52000-52999
Jurist,private,0.0150699677072,53000-53999
Jurist,private,0.0154287764621,54000-54999
Jurist,private,0.0179404377467,55000-55999
Jurist,private,0.0147111589523,56000-56999
Jurist,private,0.0136347326875,57000-57999
Jurist,private,0.0150699677072,58000-58999
Jurist,private,0.00789379260854,59000-59999
Jurist,private,0.0168640114819,60000-60999
Jurist,private,0.0157875852171,61000-61999
Jurist,private,0.0197344815213,62000-62999
Jurist,private,0.0104054538931,63000-63999
Jurist,private,0.0100466451381,64000-64999
Jurist,private,0.0136347326875,65000-65999
Jurist,private,0.010764262648,66000-66999
Jurist,private,0.00897021887334,67000-67999
Jurist,private,0.0104054538931,68000-68999
Jurist,private,0.00825260136347,69000-69999
Jurist,private,0.0172228202368,70000-70999
Jurist,private,0.00825260136347,71000-71999
Jurist,private,0.00789379260854,72000-72999
Jurist,private,0.00789379260854,73000-73999
Jurist,private,0.00645855758881,74000-74999
Jurist,private,0.0125583064227,75000-75999
Jurist,private,0.00717617509867,76000-76999
Jurist,private,0.00717617509867,77000-77999
Jurist,private,0.00574094007894,78000-78999
Jurist,private,0.00466451381414,79000-79999
Jurist,private,0.0121994976677,80000-80999
Jurist,private,0.0043057050592,81000-81999
Jurist,private,0.00574094007894,82000-82999
Jurist,private,0.005382131324,83000-83999
Jurist,private,0.00394689630427,84000-84999
Jurist,private,0.005382131324,85000-85999
Jurist,private,0.00466451381414,86000-86999
Jurist,private,0.00394689630427,87000-87999
Jurist,private,0.00394689630427,88000-88999
Jurist,private,0.0043057050592,89000-89999
Jurist,private,0.00645855758881,90000-90999
Jurist,private,0.00394689630427,91000-91999
Jurist,private,0.00251166128454,92000-92999
Jurist,private,0.00358808754934,93000-93999
Jurist,private,0.00394689630427,94000-94999
Jurist,private,0.0021528525296,95000-95999
Jurist,private,0.00287047003947,96000-96999
Jurist,private,0.00179404377467,97000-97999
Jurist,private,0.00287047003947,98000-98999
Jurist,private,0.000717617509867,99000-99999
