profession,publicprivate,value,income
Civilekonomer ekonom,public,0.00360620266859,-24999
Civilekonomer ekonom,public,0.00252434186801,25000-25999
Civilekonomer ekonom,public,0.00360620266859,26000-26999
Civilekonomer ekonom,public,0.0104579877389,27000-27999
Civilekonomer ekonom,public,0.0180310133429,28000-28999
Civilekonomer ekonom,public,0.0133429498738,29000-29999
Civilekonomer ekonom,public,0.0223584565453,30000-30999
Civilekonomer ekonom,public,0.0252434186801,31000-31999
Civilekonomer ekonom,public,0.0198341146772,32000-32999
Civilekonomer ekonom,public,0.0259646592138,33000-33999
Civilekonomer ekonom,public,0.0284890010819,34000-34999
Civilekonomer ekonom,public,0.0353407861522,35000-35999
Civilekonomer ekonom,public,0.0403894698882,36000-36999
Civilekonomer ekonom,public,0.0310133429499,37000-37999
Civilekonomer ekonom,public,0.0382257482871,38000-38999
Civilekonomer ekonom,public,0.0378651280202,39000-39999
Civilekonomer ekonom,public,0.0479624954922,40000-40999
Civilekonomer ekonom,public,0.0450775333574,41000-41999
Civilekonomer ekonom,public,0.0457987738911,42000-42999
Civilekonomer ekonom,public,0.0385863685539,43000-43999
Civilekonomer ekonom,public,0.0364226469528,44000-44999
Civilekonomer ekonom,public,0.0447169130905,45000-45999
Civilekonomer ekonom,public,0.0338983050847,46000-46999
Civilekonomer ekonom,public,0.0266858997476,47000-47999
Civilekonomer ekonom,public,0.028128380815,48000-48999
Civilekonomer ekonom,public,0.0219978362784,49000-49999
Civilekonomer ekonom,public,0.0252434186801,50000-50999
Civilekonomer ekonom,public,0.0191128741435,51000-51999
Civilekonomer ekonom,public,0.0198341146772,52000-52999
Civilekonomer ekonom,public,0.0216372160115,53000-53999
Civilekonomer ekonom,public,0.0173097728092,54000-54999
Civilekonomer ekonom,public,0.0165885322755,55000-55999
Civilekonomer ekonom,public,0.0140641904075,56000-56999
Civilekonomer ekonom,public,0.00973674720519,57000-57999
Civilekonomer ekonom,public,0.0108186080058,58000-58999
Civilekonomer ekonom,public,0.00649116480346,59000-59999
Civilekonomer ekonom,public,0.0126217093401,60000-60999
Civilekonomer ekonom,public,0.00901550667147,61000-61999
Civilekonomer ekonom,public,0.00685178507032,62000-62999
Civilekonomer ekonom,public,0.00649116480346,63000-63999
Civilekonomer ekonom,public,0.00757302560404,64000-64999
Civilekonomer ekonom,public,0.00685178507032,65000-65999
Civilekonomer ekonom,public,0.00576992426974,66000-66999
Civilekonomer ekonom,public,0.00468806346917,67000-67999
Civilekonomer ekonom,public,0.00468806346917,68000-68999
Civilekonomer ekonom,public,0.00252434186801,69000-69999
Civilekonomer ekonom,public,0.00396682293545,70000-70999
Civilekonomer ekonom,public,0.00324558240173,71000-71999
Civilekonomer ekonom,public,0.00216372160115,72000-72999
Civilekonomer ekonom,public,0.00324558240173,73000-73999
Civilekonomer ekonom,public,0.00180310133429,74000-74999
Civilekonomer ekonom,public,0.00432744320231,75000-75999
Civilekonomer ekonom,public,0.000360620266859,76000-76999
Civilekonomer ekonom,public,0.00180310133429,77000-77999
Civilekonomer ekonom,public,0.00252434186801,78000-78999
Civilekonomer ekonom,public,0.00108186080058,79000-79999
Civilekonomer ekonom,public,0.0219978362784,80000-
