profession,publicprivate,value,income
Ekonom,private,0.0200708382527,-25999
Ekonom,private,0.0115112160567,26000-26999
Ekonom,private,0.0115112160567,27000-27999
Ekonom,private,0.0156434474616,28000-28999
Ekonom,private,0.0147579693034,29000-29999
Ekonom,private,0.0188902007084,30000-30999
Ekonom,private,0.0168240850059,31000-31999
Ekonom,private,0.0159386068477,32000-32999
Ekonom,private,0.0159386068477,33000-33999
Ekonom,private,0.017414403778,34000-34999
Ekonom,private,0.0271546635183,35000-35999
Ekonom,private,0.0191853600945,36000-36999
Ekonom,private,0.0206611570248,37000-37999
Ekonom,private,0.025974025974,38000-38999
Ekonom,private,0.021546635183,39000-39999
Ekonom,private,0.0312868949233,40000-40999
Ekonom,private,0.0203659976387,41000-41999
Ekonom,private,0.025678866588,42000-42999
Ekonom,private,0.0247933884298,43000-43999
Ekonom,private,0.0227272727273,44000-44999
Ekonom,private,0.0250885478158,45000-45999
Ekonom,private,0.0200708382527,46000-46999
Ekonom,private,0.025974025974,47000-47999
Ekonom,private,0.030106257379,48000-48999
Ekonom,private,0.0227272727273,49000-49999
Ekonom,private,0.0298110979929,50000-50999
Ekonom,private,0.0227272727273,51000-51999
Ekonom,private,0.0224321133412,52000-52999
Ekonom,private,0.0191853600945,53000-53999
Ekonom,private,0.0180047225502,54000-54999
Ekonom,private,0.0227272727273,55000-55999
Ekonom,private,0.0159386068477,56000-56999
Ekonom,private,0.0153482880756,57000-57999
Ekonom,private,0.0121015348288,58000-58999
Ekonom,private,0.0103305785124,59000-59999
Ekonom,private,0.0191853600945,60000-60999
Ekonom,private,0.0138724911452,61000-61999
Ekonom,private,0.0147579693034,62000-62999
Ekonom,private,0.012987012987,63000-63999
Ekonom,private,0.0106257378985,64000-64999
Ekonom,private,0.0144628099174,65000-65999
Ekonom,private,0.00796930342385,66000-66999
Ekonom,private,0.00914994096812,67000-67999
Ekonom,private,0.0112160566706,68000-68999
Ekonom,private,0.00855962219599,69000-69999
Ekonom,private,0.0109208972845,70000-70999
Ekonom,private,0.0047225501771,71000-71999
Ekonom,private,0.0056080283353,72000-72999
Ekonom,private,0.00944510035419,73000-73999
Ekonom,private,0.0056080283353,74000-74999
Ekonom,private,0.00826446280992,75000-75999
Ekonom,private,0.00442739079103,76000-76999
Ekonom,private,0.00678866587957,77000-77999
Ekonom,private,0.00442739079103,78000-78999
Ekonom,private,0.00413223140496,79000-79999
Ekonom,private,0.00590318772137,80000-80999
Ekonom,private,0.00442739079103,81000-81999
Ekonom,private,0.00383707201889,82000-82999
Ekonom,private,0.00501770956316,83000-83999
Ekonom,private,0.00265643447462,84000-84999
Ekonom,private,0.00737898465171,85000-85999
Ekonom,private,0.00295159386068,86000-86999
Ekonom,private,0.00295159386068,87000-87999
Ekonom,private,0.00236127508855,88000-88999
Ekonom,private,0.00177095631641,89000-89999
Ekonom,private,0.00442739079103,90000-90999
Ekonom,private,0.00147579693034,91000-91999
Ekonom,private,0.00147579693034,92000-92999
Ekonom,private,0.00177095631641,93000-93999
Ekonom,private,0.00265643447462,94000-94999
Ekonom,private,0.00383707201889,95000-95999
Ekonom,private,0.00118063754427,96000-96999
Ekonom,private,0.00147579693034,97000-97999
Ekonom,private,0.00177095631641,98000-98999
Ekonom,private,0.00118063754427,99000-99999
Ekonom,private,0.0419126328217,100000-
