profession,publicprivate,value,income
Ekonom,public,0.0172413793103,-26999
Ekonom,public,0.0144827586207,27000-27999
Ekonom,public,0.0206896551724,28000-28999
Ekonom,public,0.021724137931,29000-29999
Ekonom,public,0.0258620689655,30000-30999
Ekonom,public,0.03,31000-31999
Ekonom,public,0.0351724137931,32000-32999
Ekonom,public,0.0410344827586,33000-33999
Ekonom,public,0.038275862069,34000-34999
Ekonom,public,0.04,35000-35999
Ekonom,public,0.0410344827586,36000-36999
Ekonom,public,0.0413793103448,37000-37999
Ekonom,public,0.0465517241379,38000-38999
Ekonom,public,0.0531034482759,39000-39999
Ekonom,public,0.041724137931,40000-40999
Ekonom,public,0.0434482758621,41000-41999
Ekonom,public,0.0372413793103,42000-42999
Ekonom,public,0.0324137931034,43000-43999
Ekonom,public,0.0320689655172,44000-44999
Ekonom,public,0.0331034482759,45000-45999
Ekonom,public,0.0268965517241,46000-46999
Ekonom,public,0.0251724137931,47000-47999
Ekonom,public,0.0251724137931,48000-48999
Ekonom,public,0.0231034482759,49000-49999
Ekonom,public,0.0258620689655,50000-50999
Ekonom,public,0.0158620689655,51000-51999
Ekonom,public,0.0196551724138,52000-52999
Ekonom,public,0.0134482758621,53000-53999
Ekonom,public,0.0151724137931,54000-54999
Ekonom,public,0.0113793103448,55000-55999
Ekonom,public,0.00862068965517,56000-56999
Ekonom,public,0.0103448275862,57000-57999
Ekonom,public,0.00827586206897,58000-58999
Ekonom,public,0.00620689655172,59000-59999
Ekonom,public,0.00896551724138,60000-60999
Ekonom,public,0.00793103448276,61000-61999
Ekonom,public,0.0051724137931,62000-62999
Ekonom,public,0.00551724137931,63000-63999
Ekonom,public,0.00379310344828,64000-64999
Ekonom,public,0.00206896551724,65000-65999
Ekonom,public,0.00275862068966,66000-66999
Ekonom,public,0.0048275862069,67000-67999
Ekonom,public,0.00275862068966,68000-68999
Ekonom,public,0.00379310344828,69000-69999
Ekonom,public,0.0306896551724,70000-
