profession,publicprivate,value,income
Jurist,private,0.0202813215571,-26999
Jurist,private,0.0592083742231,100000-
Jurist,private,0.015047432123,27000-27999
Jurist,private,0.0160287863919,28000-28999
Jurist,private,0.015047432123,29000-29999
Jurist,private,0.0225711481845,30000-30999
Jurist,private,0.021262675826,31000-31999
Jurist,private,0.0202813215571,32000-32999
Jurist,private,0.0206084396467,33000-33999
Jurist,private,0.0189728491986,34000-34999
Jurist,private,0.0268236833497,35000-35999
Jurist,private,0.0251880929015,36000-36999
Jurist,private,0.0196270853778,37000-37999
Jurist,private,0.023879620543,38000-38999
Jurist,private,0.0147203140334,39000-39999
Jurist,private,0.0291135099771,40000-40999
Jurist,private,0.0170101406608,41000-41999
Jurist,private,0.0183186130193,42000-42999
Jurist,private,0.0160287863919,43000-43999
Jurist,private,0.01766437684,44000-44999
Jurist,private,0.0310762185149,45000-45999
Jurist,private,0.0183186130193,46000-46999
Jurist,private,0.0196270853778,47000-47999
Jurist,private,0.0137389597645,48000-48999
Jurist,private,0.0192999672882,49000-49999
Jurist,private,0.0225711481845,50000-50999
Jurist,private,0.0140660778541,51000-51999
Jurist,private,0.0189728491986,52000-52999
Jurist,private,0.0153745502126,53000-53999
Jurist,private,0.0140660778541,54000-54999
Jurist,private,0.0248609748119,55000-55999
Jurist,private,0.0121033693163,56000-56999
Jurist,private,0.0166830225711,57000-57999
Jurist,private,0.0166830225711,58000-58999
Jurist,private,0.00948642459928,59000-59999
Jurist,private,0.0173372587504,60000-60999
Jurist,private,0.0111220150474,61000-61999
Jurist,private,0.0137389597645,62000-62999
Jurist,private,0.0111220150474,63000-63999
Jurist,private,0.00948642459928,64000-64999
Jurist,private,0.0160287863919,65000-65999
Jurist,private,0.00981354268891,66000-66999
Jurist,private,0.0111220150474,67000-67999
Jurist,private,0.0121033693163,68000-68999
Jurist,private,0.00686947988224,69000-69999
Jurist,private,0.0160287863919,70000-70999
Jurist,private,0.0101406607785,71000-71999
Jurist,private,0.0101406607785,72000-72999
Jurist,private,0.0101406607785,73000-73999
Jurist,private,0.00654236179261,74000-74999
Jurist,private,0.0111220150474,75000-75999
Jurist,private,0.00457965325482,76000-76999
Jurist,private,0.00883218842002,77000-77999
Jurist,private,0.00850507033039,78000-78999
Jurist,private,0.00686947988224,79000-79999
Jurist,private,0.00850507033039,80000-80999
Jurist,private,0.00785083415113,81000-81999
Jurist,private,0.00294406280667,82000-82999
Jurist,private,0.00425253516519,83000-83999
Jurist,private,0.00392541707556,84000-84999
Jurist,private,0.00654236179261,85000-85999
Jurist,private,0.00228982662741,86000-86999
Jurist,private,0.00490677134446,87000-87999
Jurist,private,0.0032711808963,88000-88999
Jurist,private,0.00457965325482,89000-89999
Jurist,private,0.00850507033039,90000-90999
Jurist,private,0.00457965325482,91000-91999
Jurist,private,0.00490677134446,92000-92999
Jurist,private,0.00196270853778,93000-93999
Jurist,private,0.00196270853778,94000-94999
Jurist,private,0.00490677134446,95000-95999
Jurist,private,0.00228982662741,96000-96999
Jurist,private,0.00196270853778,97000-97999
Jurist,private,0.00261694471704,98000-98999
Jurist,private,0.000981354268891,99000-99999
