profession,publicprivate,value,income
Jurist,public,0.0100622027076,-25999
Jurist,public,0.0243322356385,26000-26999
Jurist,public,0.0201244054153,27000-27999
Jurist,public,0.0373216245884,28000-28999
Jurist,public,0.0268935236004,29000-29999
Jurist,public,0.025064032199,30000-30999
Jurist,public,0.021039151116,31000-31999
Jurist,public,0.0234174899378,32000-32999
Jurist,public,0.0343944383461,33000-33999
Jurist,public,0.0296377607025,34000-34999
Jurist,public,0.0332967435053,35000-35999
Jurist,public,0.0358580314673,36000-36999
Jurist,public,0.0340285400659,37000-37999
Jurist,public,0.0332967435053,38000-38999
Jurist,public,0.0309184046835,39000-39999
Jurist,public,0.0334796926454,40000-40999
Jurist,public,0.0303695572631,41000-41999
Jurist,public,0.0285400658617,42000-42999
Jurist,public,0.0312843029638,43000-43999
Jurist,public,0.0279912184413,44000-44999
Jurist,public,0.0248810830589,45000-45999
Jurist,public,0.0296377607025,46000-46999
Jurist,public,0.0254299304793,47000-47999
Jurist,public,0.0290889132821,48000-48999
Jurist,public,0.0206732528357,49000-49999
Jurist,public,0.0226856933772,50000-50999
Jurist,public,0.0164654226125,51000-51999
Jurist,public,0.014452982071,52000-52999
Jurist,public,0.0137211855104,53000-53999
Jurist,public,0.0128064398097,54000-54999
Jurist,public,0.01317233809,55000-55999
Jurist,public,0.00987925356751,56000-56999
Jurist,public,0.00914745700695,57000-57999
Jurist,public,0.00786681302598,58000-58999
Jurist,public,0.00987925356751,59000-59999
Jurist,public,0.0126234906696,60000-60999
Jurist,public,0.0135382363703,61000-61999
Jurist,public,0.0115257958288,62000-62999
Jurist,public,0.0140870837907,63000-63999
Jurist,public,0.014452982071,64000-64999
Jurist,public,0.0140870837907,65000-65999
Jurist,public,0.0111598975485,66000-66999
Jurist,public,0.00804976216612,67000-67999
Jurist,public,0.0042078302232,68000-68999
Jurist,public,0.00475667764362,69000-69999
Jurist,public,0.00457372850348,70000-70999
Jurist,public,0.00384193194292,71000-71999
Jurist,public,0.00439077936334,72000-72999
Jurist,public,0.00292718624222,73000-73999
Jurist,public,0.00475667764362,74000-74999
Jurist,public,0.00365898280278,75000-75999
Jurist,public,0.00256128796195,76000-76999
Jurist,public,0.00219538968167,77000-77999
Jurist,public,0.0314672521039,78000-
