profession,publicprivate,value,income
Personalvetare,private,0.0292056074766,-26999
Personalvetare,private,0.0151869158879,27000-27999
Personalvetare,private,0.035046728972,28000-28999
Personalvetare,private,0.017523364486,29000-29999
Personalvetare,private,0.0408878504673,30000-30999
Personalvetare,private,0.0221962616822,31000-31999
Personalvetare,private,0.0245327102804,32000-32999
Personalvetare,private,0.0257009345794,33000-33999
Personalvetare,private,0.0268691588785,34000-34999
Personalvetare,private,0.0373831775701,35000-35999
Personalvetare,private,0.0257009345794,36000-36999
Personalvetare,private,0.0303738317757,37000-37999
Personalvetare,private,0.0210280373832,38000-38999
Personalvetare,private,0.0257009345794,39000-39999
Personalvetare,private,0.0408878504673,40000-40999
Personalvetare,private,0.0128504672897,41000-41999
Personalvetare,private,0.0280373831776,42000-42999
Personalvetare,private,0.0221962616822,43000-43999
Personalvetare,private,0.0163551401869,44000-44999
Personalvetare,private,0.0268691588785,45000-45999
Personalvetare,private,0.0245327102804,46000-46999
Personalvetare,private,0.0268691588785,47000-47999
Personalvetare,private,0.0210280373832,48000-48999
Personalvetare,private,0.0151869158879,49000-49999
Personalvetare,private,0.0268691588785,50000-50999
Personalvetare,private,0.0198598130841,51000-51999
Personalvetare,private,0.018691588785,52000-52999
Personalvetare,private,0.0245327102804,53000-53999
Personalvetare,private,0.00934579439252,54000-54999
Personalvetare,private,0.018691588785,55000-55999
Personalvetare,private,0.018691588785,56000-56999
Personalvetare,private,0.0128504672897,57000-57999
Personalvetare,private,0.00934579439252,58000-58999
Personalvetare,private,0.0198598130841,59000-59999
Personalvetare,private,0.0116822429907,60000-60999
Personalvetare,private,0.00700934579439,61000-61999
Personalvetare,private,0.0105140186916,62000-62999
Personalvetare,private,0.0116822429907,63000-63999
Personalvetare,private,0.00233644859813,64000-64999
Personalvetare,private,0.0116822429907,65000-65999
Personalvetare,private,0.0105140186916,66000-66999
Personalvetare,private,0.00817757009346,67000-67999
Personalvetare,private,0.00700934579439,68000-68999
Personalvetare,private,0.00584112149533,69000-69999
Personalvetare,private,0.00817757009346,70000-70999
Personalvetare,private,0.0035046728972,71000-71999
Personalvetare,private,0.00584112149533,72000-72999
Personalvetare,private,0.0035046728972,73000-73999
Personalvetare,private,0.0035046728972,74000-74999
Personalvetare,private,0.00584112149533,75000-75999
Personalvetare,private,0.00584112149533,76000-76999
Personalvetare,private,0.00233644859813,77000-77999
Personalvetare,private,0.0035046728972,78000-78999
Personalvetare,private,0.00700934579439,79000-79999
Personalvetare,private,0.00467289719626,80000-80999
Personalvetare,private,0.00584112149533,81000-81999
Personalvetare,private,0.00584112149533,82000-82999
Personalvetare,private,0.00467289719626,83000-83999
Personalvetare,private,0.00116822429907,84000-84999
Personalvetare,private,0.00116822429907,85000-85999
Personalvetare,private,0.0035046728972,86000-86999
Personalvetare,private,0.00116822429907,87000-87999
Personalvetare,private,0.00116822429907,88000-88999
Personalvetare,private,0.00116822429907,89000-89999
Personalvetare,private,0.00233644859813,90000-90999
Personalvetare,private,0.00116822429907,91000-91999
Personalvetare,private,0.00233644859813,96000-96999
Personalvetare,private,0.00116822429907,97000-97999
Personalvetare,private,0.00233644859813,98000-98999
Personalvetare,private,0.00116822429907,99000-99999
Personalvetare,private,0.0327102803738,100000-
Personalvetare,private,0.0,95000-95999
Personalvetare,private,0.0,92000-92999
Personalvetare,private,0.0,93000-93999
Personalvetare,private,0.0,94000-94999
