profession,publicprivate,value,income
Personalvetare,public,0.0260190806591,-26999
Personalvetare,public,0.021682567216,27000-27999
Personalvetare,public,0.0286209887251,28000-28999
Personalvetare,public,0.0329575021683,29000-29999
Personalvetare,public,0.040763226366,30000-30999
Personalvetare,public,0.0390286209887,31000-31999
Personalvetare,public,0.0511708586297,32000-32999
Personalvetare,public,0.040763226366,33000-33999
Personalvetare,public,0.0372940156114,34000-34999
Personalvetare,public,0.0450997398092,35000-35999
Personalvetare,public,0.0390286209887,36000-36999
Personalvetare,public,0.0511708586297,37000-37999
Personalvetare,public,0.0485689505637,38000-38999
Personalvetare,public,0.0477016478751,39000-39999
Personalvetare,public,0.0424978317433,40000-40999
Personalvetare,public,0.040763226366,41000-41999
Personalvetare,public,0.0320901994796,42000-42999
Personalvetare,public,0.0355594102342,43000-43999
Personalvetare,public,0.0251517779705,44000-44999
Personalvetare,public,0.0286209887251,45000-45999
Personalvetare,public,0.0260190806591,46000-46999
Personalvetare,public,0.0173460537728,47000-47999
Personalvetare,public,0.0173460537728,48000-48999
Personalvetare,public,0.0225498699046,49000-49999
Personalvetare,public,0.0130095403296,50000-50999
Personalvetare,public,0.0130095403296,51000-51999
Personalvetare,public,0.00780572419775,52000-52999
Personalvetare,public,0.0130095403296,53000-53999
Personalvetare,public,0.0104076322637,54000-54999
Personalvetare,public,0.0138768430182,55000-55999
Personalvetare,public,0.00607111882047,56000-56999
Personalvetare,public,0.00607111882047,57000-57999
Personalvetare,public,0.00693842150911,58000-58999
Personalvetare,public,0.00607111882047,59000-59999
Personalvetare,public,0.00520381613183,60000-60999
Personalvetare,public,0.00433651344319,61000-61999
Personalvetare,public,0.00346921075455,62000-62999
Personalvetare,public,0.00260190806592,63000-63999
Personalvetare,public,0.00607111882047,64000-64999
Personalvetare,public,0.00433651344319,65000-65999
Personalvetare,public,0.00520381613183,66000-66999
Personalvetare,public,0.000867302688638,68000-68999
Personalvetare,public,0.000867302688638,69000-69999
Personalvetare,public,0.0329575021683,70000-
Personalvetare,public,0.0,67000-67999
