profession,publicprivate,value,income
Samhällsvetare,private,0.0157539384846,-26999
Samhällsvetare,private,0.0157539384846,27000-27999
Samhällsvetare,private,0.0172543135784,28000-28999
Samhällsvetare,private,0.0202550637659,29000-29999
Samhällsvetare,private,0.0217554388597,30000-30999
Samhällsvetare,private,0.0202550637659,31000-31999
Samhällsvetare,private,0.0270067516879,32000-32999
Samhällsvetare,private,0.0315078769692,33000-33999
Samhällsvetare,private,0.0255063765941,34000-34999
Samhällsvetare,private,0.0322580645161,35000-35999
Samhällsvetare,private,0.033008252063,36000-36999
Samhällsvetare,private,0.0300075018755,37000-37999
Samhällsvetare,private,0.0285071267817,38000-38999
Samhällsvetare,private,0.0412603150788,39000-39999
Samhällsvetare,private,0.0345086271568,40000-40999
Samhällsvetare,private,0.0337584396099,41000-41999
Samhällsvetare,private,0.0277569392348,42000-42999
Samhällsvetare,private,0.0285071267817,43000-43999
Samhällsvetare,private,0.0255063765941,44000-44999
Samhällsvetare,private,0.0337584396099,45000-45999
Samhällsvetare,private,0.0270067516879,46000-46999
Samhällsvetare,private,0.0247561890473,47000-47999
Samhällsvetare,private,0.0315078769692,48000-48999
Samhällsvetare,private,0.0202550637659,49000-49999
Samhällsvetare,private,0.0322580645161,50000-50999
Samhällsvetare,private,0.0172543135784,51000-51999
Samhällsvetare,private,0.0247561890473,52000-52999
Samhällsvetare,private,0.0180045011253,53000-53999
Samhällsvetare,private,0.0150037509377,54000-54999
Samhällsvetare,private,0.0150037509377,55000-55999
Samhällsvetare,private,0.0157539384846,56000-56999
Samhällsvetare,private,0.0127531882971,57000-57999
Samhällsvetare,private,0.0157539384846,58000-58999
Samhällsvetare,private,0.0142535633908,59000-59999
Samhällsvetare,private,0.0142535633908,60000-60999
Samhällsvetare,private,0.00900225056264,61000-61999
Samhällsvetare,private,0.0105026256564,62000-62999
Samhällsvetare,private,0.00675168792198,63000-63999
Samhällsvetare,private,0.00525131282821,64000-64999
Samhällsvetare,private,0.00975243810953,65000-65999
Samhällsvetare,private,0.00300075018755,66000-66999
Samhällsvetare,private,0.0105026256564,67000-67999
Samhällsvetare,private,0.00975243810953,68000-68999
Samhällsvetare,private,0.00375093773443,69000-69999
Samhällsvetare,private,0.00750187546887,70000-70999
Samhällsvetare,private,0.00450112528132,71000-71999
Samhällsvetare,private,0.00525131282821,72000-72999
Samhällsvetare,private,0.00450112528132,73000-73999
Samhällsvetare,private,0.00525131282821,74000-74999
Samhällsvetare,private,0.00150037509377,75000-75999
Samhällsvetare,private,0.00525131282821,76000-76999
Samhällsvetare,private,0.00375093773443,77000-77999
Samhällsvetare,private,0.00300075018755,78000-78999
Samhällsvetare,private,0.000750187546887,79000-79999
Samhällsvetare,private,0.00600150037509,80000-80999
Samhällsvetare,private,0.000750187546887,81000-81999
Samhällsvetare,private,0.00150037509377,82000-82999
Samhällsvetare,private,0.00300075018755,83000-83999
Samhällsvetare,private,0.000750187546887,84000-84999
Samhällsvetare,private,0.00225056264066,85000-85999
Samhällsvetare,private,0.000750187546887,86000-86999
Samhällsvetare,private,0.00150037509377,87000-87999
Samhällsvetare,private,0.0315078769692,88000-
