profession,publicprivate,value,income
Samhällsvetare,public,0.0131,-26999
Samhällsvetare,public,0.0140252454418,27000-27999
Samhällsvetare,public,0.0243104254324,28000-28999
Samhällsvetare,public,0.0219728845255,29000-29999
Samhällsvetare,public,0.0296867695185,30000-30999
Samhällsvetare,public,0.0273492286115,31000-31999
Samhällsvetare,public,0.0343618513324,32000-32999
Samhällsvetare,public,0.0350631136045,33000-33999
Samhällsvetare,public,0.0341280972417,34000-34999
Samhällsvetare,public,0.041608228144,35000-35999
Samhällsvetare,public,0.0369331463301,36000-36999
Samhällsvetare,public,0.0411407199626,37000-37999
Samhällsvetare,public,0.0411407199626,38000-38999
Samhällsvetare,public,0.041608228144,39000-39999
Samhällsvetare,public,0.0437120149603,40000-40999
Samhällsvetare,public,0.0451145395044,41000-41999
Samhällsvetare,public,0.0420757363254,42000-42999
Samhällsvetare,public,0.0371669004208,43000-43999
Samhällsvetare,public,0.0369331463301,44000-44999
Samhällsvetare,public,0.0390369331463,45000-45999
Samhällsvetare,public,0.0388031790556,46000-46999
Samhällsvetare,public,0.0268817204301,47000-47999
Samhällsvetare,public,0.0266479663394,48000-48999
Samhällsvetare,public,0.0236091631604,49000-49999
Samhällsvetare,public,0.0196353436185,50000-50999
Samhällsvetare,public,0.0135577372604,51000-51999
Samhällsvetare,public,0.0182328190743,52000-52999
Samhällsvetare,public,0.0156615240767,53000-53999
Samhällsvetare,public,0.0109864422627,54000-54999
Samhällsvetare,public,0.010752688172,55000-55999
Samhällsvetare,public,0.0100514259,56000-56999
Samhällsvetare,public,0.00794763908368,57000-57999
Samhällsvetare,public,0.00561009817672,58000-58999
Samhällsvetare,public,0.00724637681159,59000-59999
Samhällsvetare,public,0.00888265544647,60000-60999
Samhällsvetare,public,0.0065451145395,61000-61999
Samhällsvetare,public,0.00771388499299,62000-62999
Samhällsvetare,public,0.00537634408602,63000-63999
Samhällsvetare,public,0.00561009817672,64000-64999
Samhällsvetare,public,0.00607760635811,65000-65999
Samhällsvetare,public,0.00420757363254,66000-66999
Samhällsvetare,public,0.00327255726975,67000-67999
Samhällsvetare,public,0.00233754090697,68000-68999
Samhällsvetare,public,0.00303880317906,69000-69999
Samhällsvetare,public,0.00257129499766,70000-70999
Samhällsvetare,public,0.00210378681627,71000-71999
Samhällsvetare,public,0.00140252454418,72000-72999
Samhällsvetare,public,0.00210378681627,73000-73999
Samhällsvetare,public,0.00257129499766,74000-74999
Samhällsvetare,public,0.0201028517999,75000-
