profession,publicprivate,value,income
Systemvetare,private,0.0288705583756,-28999
Systemvetare,private,0.00729695431472,29000-29999
Systemvetare,private,0.0145939086294,30000-30999
Systemvetare,private,0.0158629441624,31000-31999
Systemvetare,private,0.0136421319797,32000-32999
Systemvetare,private,0.0149111675127,33000-33999
Systemvetare,private,0.0196700507614,34000-34999
Systemvetare,private,0.0203045685279,35000-35999
Systemvetare,private,0.0187182741117,36000-36999
Systemvetare,private,0.0212563451777,37000-37999
Systemvetare,private,0.0260152284264,38000-38999
Systemvetare,private,0.0231598984772,39000-39999
Systemvetare,private,0.0285532994924,40000-40999
Systemvetare,private,0.0279187817259,41000-41999
Systemvetare,private,0.0298223350254,42000-42999
Systemvetare,private,0.0348984771574,43000-43999
Systemvetare,private,0.0323604060914,44000-44999
Systemvetare,private,0.0450507614213,45000-45999
Systemvetare,private,0.0393401015228,46000-46999
Systemvetare,private,0.0352157360406,47000-47999
Systemvetare,private,0.0387055837563,48000-48999
Systemvetare,private,0.0301395939086,49000-49999
Systemvetare,private,0.0390228426396,50000-50999
Systemvetare,private,0.0282360406091,51000-51999
Systemvetare,private,0.0298223350254,52000-52999
Systemvetare,private,0.0276015228426,53000-53999
Systemvetare,private,0.0266497461929,54000-54999
Systemvetare,private,0.0288705583756,55000-55999
Systemvetare,private,0.0228426395939,56000-56999
Systemvetare,private,0.0174492385787,57000-57999
Systemvetare,private,0.0152284263959,58000-58999
Systemvetare,private,0.0164974619289,59000-59999
Systemvetare,private,0.0171319796954,60000-60999
Systemvetare,private,0.0133248730964,61000-61999
Systemvetare,private,0.0133248730964,62000-62999
Systemvetare,private,0.0136421319797,63000-63999
Systemvetare,private,0.010152284264,64000-64999
Systemvetare,private,0.0130076142132,65000-65999
Systemvetare,private,0.00602791878173,66000-66999
Systemvetare,private,0.00888324873096,67000-67999
Systemvetare,private,0.00444162436548,68000-68999
Systemvetare,private,0.00539340101523,69000-69999
Systemvetare,private,0.00697969543147,70000-70999
Systemvetare,private,0.00348984771574,71000-71999
Systemvetare,private,0.00380710659898,72000-72999
Systemvetare,private,0.00412436548223,73000-73999
Systemvetare,private,0.00285532994924,74000-74999
Systemvetare,private,0.00571065989848,75000-75999
Systemvetare,private,0.00348984771574,76000-76999
Systemvetare,private,0.00317258883249,77000-77999
Systemvetare,private,0.00285532994924,78000-78999
Systemvetare,private,0.00190355329949,79000-79999
Systemvetare,private,0.00475888324873,80000-80999
Systemvetare,private,0.000951776649746,81000-81999
Systemvetare,private,0.0320431472081,82000-
