profession,publicprivate,value,income
Systemvetare,public,0.006,-26999
Systemvetare,public,0.00330906684315,27000-27999
Systemvetare,public,0.00727994705493,28000-28999
Systemvetare,public,0.0119126406353,29000-29999
Systemvetare,public,0.0105890138981,30000-30999
Systemvetare,public,0.0145598941099,31000-31999
Systemvetare,public,0.0191925876903,32000-32999
Systemvetare,public,0.0172071475844,33000-33999
Systemvetare,public,0.0258107213766,34000-34999
Systemvetare,public,0.030443414957,35000-35999
Systemvetare,public,0.0317670416942,36000-36999
Systemvetare,public,0.0350761085374,37000-37999
Systemvetare,public,0.0436796823296,38000-38999
Systemvetare,public,0.0443414956982,39000-39999
Systemvetare,public,0.0509596293845,40000-40999
Systemvetare,public,0.0476505625414,41000-41999
Systemvetare,public,0.0615486432826,42000-42999
Systemvetare,public,0.0496360026473,43000-43999
Systemvetare,public,0.0502978160159,44000-44999
Systemvetare,public,0.04831237591,45000-45999
Systemvetare,public,0.0337524818001,46000-46999
Systemvetare,public,0.0410324288551,47000-47999
Systemvetare,public,0.0403706154864,48000-48999
Systemvetare,public,0.0311052283256,49000-49999
Systemvetare,public,0.0317670416942,50000-50999
Systemvetare,public,0.0172071475844,51000-51999
Systemvetare,public,0.0258107213766,52000-52999
Systemvetare,public,0.0244870946393,53000-53999
Systemvetare,public,0.0152217074785,54000-54999
Systemvetare,public,0.0138980807412,55000-55999
Systemvetare,public,0.0152217074785,56000-56999
Systemvetare,public,0.012574454004,57000-57999
Systemvetare,public,0.00992720052945,58000-58999
Systemvetare,public,0.0112508272667,59000-59999
Systemvetare,public,0.00860357379219,60000-60999
Systemvetare,public,0.00794176042356,61000-61999
Systemvetare,public,0.00595632031767,62000-62999
Systemvetare,public,0.00529450694904,63000-63999
Systemvetare,public,0.00529450694904,64000-64999
Systemvetare,public,0.00330906684315,65000-65999
Systemvetare,public,0.00066181336863,66000-66999
Systemvetare,public,0.00198544010589,67000-67999
Systemvetare,public,0.00330906684315,68000-68999
Systemvetare,public,0.00132362673726,69000-69999
Systemvetare,public,0.0231634679021,70000-
