profession,publicprivate,value,income
Personalvetare,public,0.029069767442,-25999
Personalvetare,public,0.036544850498,26000-26999
Personalvetare,public,0.0573089701,27000-27999
Personalvetare,public,0.049833887043,28000-28999
Personalvetare,public,0.043189368771,29000-29999
Personalvetare,public,0.056478405316,30000-30999
Personalvetare,public,0.049003322259,31000-31999
Personalvetare,public,0.058139534884,32000-32999
Personalvetare,public,0.06146179402,33000-33999
Personalvetare,public,0.049003322259,34000-34999
Personalvetare,public,0.063953488372,35000-35999
Personalvetare,public,0.044019933555,36000-36999
Personalvetare,public,0.053156146179,37000-37999
Personalvetare,public,0.033222591362,38000-38999
Personalvetare,public,0.035714285714,39000-39999
Personalvetare,public,0.027408637874,40000-40999
Personalvetare,public,0.025747508306,41000-41999
Personalvetare,public,0.022425249169,42000-42999
Personalvetare,public,0.025747508306,43000-43999
Personalvetare,public,0.023255813953,44000-44999
Personalvetare,public,0.019933554817,45000-45999
Personalvetare,public,0.017441860465,46000-46999
Personalvetare,public,0.012458471761,47000-47999
Personalvetare,public,0.009966777409,48000-48999
Personalvetare,public,0.007475083056,49000-49999
Personalvetare,public,0.009966777409,50000-50999
Personalvetare,public,0.005813953488,51000-51999
Personalvetare,public,0.007475083056,52000-52999
Personalvetare,public,0.006644518272,53000-53999
Personalvetare,public,0.005813953488,54000-54999
Personalvetare,public,0.006644518272,55000-55999
Personalvetare,public,0.003322259136,56000-56999
Personalvetare,public,0.004983388704,57000-57999
Personalvetare,public,0.002491694352,58000-58999
Personalvetare,public,0.003322259136,59000-59999
Personalvetare,public,0.031561461794,60000-
