profession,publicprivate,value,income
arbetsterapeut,private,0.00649350649351,-24999
arbetsterapeut,private,0.0021645021645,25000-25999
arbetsterapeut,private,0.00649350649351,27000-27999
arbetsterapeut,private,0.017316017316,28000-28999
arbetsterapeut,private,0.0324675324675,29000-29999
arbetsterapeut,private,0.0649350649351,30000-30999
arbetsterapeut,private,0.0757575757576,31000-31999
arbetsterapeut,private,0.0952380952381,32000-32999
arbetsterapeut,private,0.0800865800866,33000-33999
arbetsterapeut,private,0.112554112554,34000-34999
arbetsterapeut,private,0.11038961039,35000-35999
arbetsterapeut,private,0.0800865800866,36000-36999
arbetsterapeut,private,0.0649350649351,37000-37999
arbetsterapeut,private,0.0562770562771,38000-38999
arbetsterapeut,private,0.038961038961,39000-39999
arbetsterapeut,private,0.0367965367965,40000-40999
arbetsterapeut,private,0.012987012987,41000-41999
arbetsterapeut,private,0.0238095238095,42000-42999
arbetsterapeut,private,0.00865800865801,43000-43999
arbetsterapeut,private,0.004329004329,44000-44999
arbetsterapeut,private,0.017316017316,45000-45999
arbetsterapeut,private,0.00649350649351,46000-46999
arbetsterapeut,private,0.0021645021645,47000-47999
arbetsterapeut,private,0.00649350649351,48000-48999
arbetsterapeut,private,0.0021645021645,49000-49999
arbetsterapeut,private,0.00649350649351,50000-50999
arbetsterapeut,private,0.004329004329,51000-51999
arbetsterapeut,private,0.0021645021645,52000-52999
arbetsterapeut,private,0.0021645021645,53000-53999
arbetsterapeut,private,0.004329004329,54000-54999
arbetsterapeut,private,0.0151515151515,55000-
arbetsterapeut,private,0.0,26000-26999
