profession,publicprivate,value,income
Arkitekt,public,0.022533022533,-30999
Arkitekt,public,0.017871017871,31000-31999
Arkitekt,public,0.037296037296,32000-32999
Arkitekt,public,0.035742035742,33000-33999
Arkitekt,public,0.032634032634,34000-34999
Arkitekt,public,0.0505050505051,35000-35999
Arkitekt,public,0.0551670551671,36000-36999
Arkitekt,public,0.0520590520591,37000-37999
Arkitekt,public,0.0536130536131,38000-38999
Arkitekt,public,0.0528360528361,39000-39999
Arkitekt,public,0.0699300699301,40000-40999
Arkitekt,public,0.0512820512821,41000-41999
Arkitekt,public,0.0505050505051,42000-42999
Arkitekt,public,0.041181041181,43000-43999
Arkitekt,public,0.041958041958,44000-44999
Arkitekt,public,0.036519036519,45000-45999
Arkitekt,public,0.032634032634,46000-46999
Arkitekt,public,0.024864024864,47000-47999
Arkitekt,public,0.020202020202,48000-48999
Arkitekt,public,0.018648018648,49000-49999
Arkitekt,public,0.029526029526,50000-50999
Arkitekt,public,0.012432012432,51000-51999
Arkitekt,public,0.016317016317,52000-52999
Arkitekt,public,0.011655011655,53000-53999
Arkitekt,public,0.01554001554,54000-54999
Arkitekt,public,0.010878010878,55000-55999
Arkitekt,public,0.00777000777001,56000-56999
Arkitekt,public,0.013209013209,57000-57999
Arkitekt,public,0.011655011655,58000-58999
Arkitekt,public,0.010878010878,59000-59999
Arkitekt,public,0.00699300699301,60000-60999
Arkitekt,public,0.004662004662,61000-61999
Arkitekt,public,0.003108003108,62000-62999
Arkitekt,public,0.003885003885,63000-63999
Arkitekt,public,0.003108003108,64000-64999
Arkitekt,public,0.00543900543901,65000-65999
Arkitekt,public,0.001554001554,66000-66999
Arkitekt,public,0.001554001554,67000-67999
Arkitekt,public,0.031857031857,68000-
