profession,publicprivate,value,income
Biolog/biokemist,public,0.0206816195747,-24999
Biolog/biokemist,public,0.0209729099913,25000-25999
Biolog/biokemist,public,0.0343722691523,26000-26999
Biolog/biokemist,public,0.0457325953976,27000-27999
Biolog/biokemist,public,0.0434022720652,28000-28999
Biolog/biokemist,public,0.0477716283134,29000-29999
Biolog/biokemist,public,0.0602971162249,30000-30999
Biolog/biokemist,public,0.0538887270609,31000-31999
Biolog/biokemist,public,0.0713661520536,32000-32999
Biolog/biokemist,public,0.0780658316341,33000-33999
Biolog/biokemist,public,0.0582580833091,34000-34999
Biolog/biokemist,public,0.04806291873,35000-35999
Biolog/biokemist,public,0.0445674337314,36000-36999
Biolog/biokemist,public,0.044858724148,37000-37999
Biolog/biokemist,public,0.0361200116516,38000-38999
Biolog/biokemist,public,0.035246140402,39000-39999
Biolog/biokemist,public,0.0314593649869,40000-40999
Biolog/biokemist,public,0.0282551704049,41000-41999
Biolog/biokemist,public,0.0273812991553,42000-42999
Biolog/biokemist,public,0.0186425866589,43000-43999
Biolog/biokemist,public,0.0180600058258,44000-44999
Biolog/biokemist,public,0.0203903291582,45000-45999
Biolog/biokemist,public,0.012816778328,46000-46999
Biolog/biokemist,public,0.0142732304107,47000-47999
Biolog/biokemist,public,0.0131080687445,48000-48999
Biolog/biokemist,public,0.00524322749782,49000-49999
Biolog/biokemist,public,0.00669967958054,50000-50999
Biolog/biokemist,public,0.00495193708127,51000-51999
Biolog/biokemist,public,0.00553451791436,52000-52999
Biolog/biokemist,public,0.00378677541509,53000-53999
Biolog/biokemist,public,0.00407806583163,54000-54999
Biolog/biokemist,public,0.00495193708127,55000-55999
Biolog/biokemist,public,0.003204194582,56000-56999
Biolog/biokemist,public,0.00174774249927,57000-57999
Biolog/biokemist,public,0.00174774249927,58000-58999
Biolog/biokemist,public,0.0300029129042,59000-
