profession,publicprivate,value,income
Civilekonom/ekonom,private,0.0269601100413,-26999
Civilekonom/ekonom,private,0.0110041265475,27000-27999
Civilekonom/ekonom,private,0.0132049518569,28000-28999
Civilekonom/ekonom,private,0.012242090784,29000-29999
Civilekonom/ekonom,private,0.016643741403,30000-30999
Civilekonom/ekonom,private,0.016643741403,31000-31999
Civilekonom/ekonom,private,0.015818431912,32000-32999
Civilekonom/ekonom,private,0.0162310866575,33000-33999
Civilekonom/ekonom,private,0.019257221458,34000-34999
Civilekonom/ekonom,private,0.0232462173315,35000-35999
Civilekonom/ekonom,private,0.0200825309491,36000-36999
Civilekonom/ekonom,private,0.0222833562586,37000-37999
Civilekonom/ekonom,private,0.0235213204952,38000-38999
Civilekonom/ekonom,private,0.0204951856946,39000-39999
Civilekonom/ekonom,private,0.0301237964237,40000-40999
Civilekonom/ekonom,private,0.0209078404402,41000-41999
Civilekonom/ekonom,private,0.0233837689133,42000-42999
Civilekonom/ekonom,private,0.0220082530949,43000-43999
Civilekonom/ekonom,private,0.0209078404402,44000-44999
Civilekonom/ekonom,private,0.0255845942228,45000-45999
Civilekonom/ekonom,private,0.0224209078404,46000-46999
Civilekonom/ekonom,private,0.0233837689133,47000-47999
Civilekonom/ekonom,private,0.0250343878955,48000-48999
Civilekonom/ekonom,private,0.0224209078404,49000-49999
Civilekonom/ekonom,private,0.0276478679505,50000-50999
Civilekonom/ekonom,private,0.0221458046768,51000-51999
Civilekonom/ekonom,private,0.0233837689133,52000-52999
Civilekonom/ekonom,private,0.0185694635488,53000-53999
Civilekonom/ekonom,private,0.0162310866575,54000-54999
Civilekonom/ekonom,private,0.0239339752407,55000-55999
Civilekonom/ekonom,private,0.0162310866575,56000-56999
Civilekonom/ekonom,private,0.015818431912,57000-57999
Civilekonom/ekonom,private,0.0134800550206,58000-58999
Civilekonom/ekonom,private,0.0133425034388,59000-59999
Civilekonom/ekonom,private,0.019257221458,60000-60999
Civilekonom/ekonom,private,0.0141678129298,61000-61999
Civilekonom/ekonom,private,0.0148555708391,62000-62999
Civilekonom/ekonom,private,0.0126547455296,63000-63999
Civilekonom/ekonom,private,0.0107290233838,64000-64999
Civilekonom/ekonom,private,0.0154057771664,65000-65999
Civilekonom/ekonom,private,0.00797799174691,66000-66999
Civilekonom/ekonom,private,0.00921595598349,67000-67999
Civilekonom/ekonom,private,0.0107290233838,68000-68999
Civilekonom/ekonom,private,0.00907840440165,69000-69999
Civilekonom/ekonom,private,0.0127922971114,70000-70999
Civilekonom/ekonom,private,0.00632737276479,71000-71999
Civilekonom/ekonom,private,0.00742778541953,72000-72999
Civilekonom/ekonom,private,0.00784044016506,73000-73999
Civilekonom/ekonom,private,0.00591471801926,74000-74999
Civilekonom/ekonom,private,0.00811554332875,75000-75999
Civilekonom/ekonom,private,0.00550206327373,76000-76999
Civilekonom/ekonom,private,0.00756533700138,77000-77999
Civilekonom/ekonom,private,0.00632737276479,78000-78999
Civilekonom/ekonom,private,0.00440165061898,79000-79999
Civilekonom/ekonom,private,0.00715268225585,80000-80999
Civilekonom/ekonom,private,0.00495185694635,81000-81999
Civilekonom/ekonom,private,0.00632737276479,82000-82999
Civilekonom/ekonom,private,0.00440165061898,83000-83999
Civilekonom/ekonom,private,0.00398899587345,84000-84999
Civilekonom/ekonom,private,0.00591471801926,85000-85999
Civilekonom/ekonom,private,0.00343878954608,86000-86999
Civilekonom/ekonom,private,0.00288858321871,87000-87999
Civilekonom/ekonom,private,0.00233837689133,88000-88999
Civilekonom/ekonom,private,0.00288858321871,89000-89999
Civilekonom/ekonom,private,0.00481430536451,90000-90999
Civilekonom/ekonom,private,0.00233837689133,91000-91999
Civilekonom/ekonom,private,0.00247592847318,92000-92999
Civilekonom/ekonom,private,0.00110041265475,93000-93999
Civilekonom/ekonom,private,0.00206327372765,94000-94999
Civilekonom/ekonom,private,0.00330123796424,95000-95999
Civilekonom/ekonom,private,0.00178817056396,96000-96999
Civilekonom/ekonom,private,0.00206327372765,97000-97999
Civilekonom/ekonom,private,0.00137551581843,98000-98999
Civilekonom/ekonom,private,0.00178817056396,99000-99999
Civilekonom/ekonom,private,0.051719394773,100000-
