profession,publicprivate,value,income
Civilingenjör,private,0.025997245645,-30999
Civilingenjör,private,0.0154388847278,31000-31999
Civilingenjör,private,0.0196429002875,32000-32999
Civilingenjör,private,0.0203677305564,33000-33999
Civilingenjör,private,0.020657662664,34000-34999
Civilingenjör,private,0.0237985938293,35000-35999
Civilingenjör,private,0.023967720892,36000-36999
Civilingenjör,private,0.0262146947257,37000-37999
Civilingenjör,private,0.0276160332455,38000-38999
Civilingenjör,private,0.0251032883133,39000-39999
Civilingenjör,private,0.0331730653072,40000-40999
Civilingenjör,private,0.0271569740752,41000-41999
Civilingenjör,private,0.0315301166977,42000-42999
Civilingenjör,private,0.0295489139626,43000-43999
Civilingenjör,private,0.028002609389,44000-44999
Civilingenjör,private,0.03334219237,45000-45999
Civilingenjör,private,0.0303945492764,46000-46999
Civilingenjör,private,0.0291864988282,47000-47999
Civilingenjör,private,0.0289448887386,48000-48999
Civilingenjör,private,0.0258281185822,49000-49999
Civilingenjör,private,0.0301529391867,50000-50999
Civilingenjör,private,0.0266012708691,51000-51999
Civilingenjör,private,0.0264321438063,52000-52999
Civilingenjör,private,0.0242093309817,53000-53999
Civilingenjör,private,0.0225663823721,54000-54999
Civilingenjör,private,0.0244992630892,55000-55999
Civilingenjör,private,0.0195704172606,56000-56999
Civilingenjör,private,0.020005315422,57000-57999
Civilingenjör,private,0.0183865278214,58000-58999
Civilingenjör,private,0.0138442581362,59000-59999
Civilingenjör,private,0.0204885356012,60000-60999
Civilingenjör,private,0.0148106984948,61000-61999
Civilingenjör,private,0.014641571432,62000-62999
Civilingenjör,private,0.0122979535625,63000-63999
Civilingenjör,private,0.0107274879799,64000-64999
Civilingenjör,private,0.0140375462079,65000-65999
Civilingenjör,private,0.00930198845104,66000-66999
Civilingenjör,private,0.00939863248689,67000-67999
Civilingenjör,private,0.00833554809249,68000-68999
Civilingenjör,private,0.00758655681461,69000-69999
Civilingenjör,private,0.00872212423591,70000-70999
Civilingenjör,private,0.00669259948295,71000-71999
Civilingenjör,private,0.00570199811544,72000-72999
Civilingenjör,private,0.00555703206166,73000-73999
Civilingenjör,private,0.00507381188238,74000-74999
Civilingenjör,private,0.00662011645606,75000-75999
Civilingenjör,private,0.00417985455073,76000-76999
Civilingenjör,private,0.00451810867622,77000-77999
Civilingenjör,private,0.00398656647902,78000-78999
Civilingenjör,private,0.00318925318321,79000-79999
Civilingenjör,private,0.0049288458286,80000-80999
Civilingenjör,private,0.00340670226389,81000-81999
Civilingenjör,private,0.00302012612047,82000-82999
Civilingenjör,private,0.00277851603083,83000-83999
Civilingenjör,private,0.00297180410254,84000-84999
Civilingenjör,private,0.00277851603083,85000-85999
Civilingenjör,private,0.00234361786948,86000-86999
Civilingenjör,private,0.00224697383363,87000-87999
Civilingenjör,private,0.00202952475295,88000-88999
Civilingenjör,private,0.00176375365435,89000-89999
Civilingenjör,private,0.00256106695016,90000-90999
Civilingenjör,private,0.00142549952886,91000-91999
Civilingenjör,private,0.00164294860953,92000-92999
Civilingenjör,private,0.00161878760057,93000-93999
Civilingenjör,private,0.00144966053782,94000-94999
Civilingenjör,private,0.00217449080674,95000-95999
Civilingenjör,private,0.00147382154679,96000-96999
Civilingenjör,private,0.00103892338544,97000-97999
Civilingenjör,private,0.0302979052405,98000-
