profession,publicprivate,value,income
Civilingenjör,public,0.0281041600508,-28999
Civilingenjör,public,0.0258812321372,29000-29999
Civilingenjör,public,0.0173070816132,30000-30999
Civilingenjör,public,0.0188948872658,31000-31999
Civilingenjör,public,0.0246109876151,32000-32999
Civilingenjör,public,0.0366783105748,33000-33999
Civilingenjör,public,0.0261987932677,34000-34999
Civilingenjör,public,0.027627818355,35000-35999
Civilingenjör,public,0.0290568434424,36000-36999
Civilingenjör,public,0.031279771356,37000-37999
Civilingenjör,public,0.0328675770086,38000-38999
Civilingenjör,public,0.035566846618,39000-39999
Civilingenjör,public,0.0423944109241,40000-40999
Civilingenjör,public,0.0360431883138,41000-41999
Civilingenjör,public,0.0350905049222,42000-42999
Civilingenjör,public,0.0339790409654,43000-43999
Civilingenjör,public,0.0396951413147,44000-44999
Civilingenjör,public,0.0335026992696,45000-45999
Civilingenjör,public,0.0323912353128,46000-46999
Civilingenjör,public,0.0341378215306,47000-47999
Civilingenjör,public,0.0282629406161,48000-48999
Civilingenjör,public,0.0236583042236,49000-49999
Civilingenjör,public,0.0342966020959,50000-50999
Civilingenjör,public,0.0242934264846,51000-51999
Civilingenjör,public,0.027627818355,52000-52999
Civilingenjör,public,0.0214353763099,53000-53999
Civilingenjör,public,0.0192124483963,54000-54999
Civilingenjör,public,0.0176246427437,55000-55999
Civilingenjör,public,0.0152429342648,56000-56999
Civilingenjör,public,0.0139726897428,57000-57999
Civilingenjör,public,0.0157192759606,58000-58999
Civilingenjör,public,0.00873293108923,59000-59999
Civilingenjör,public,0.012861225786,60000-60999
Civilingenjör,public,0.00825658939346,61000-61999
Civilingenjör,public,0.00825658939346,62000-62999
Civilingenjör,public,0.00619244204509,63000-63999
Civilingenjör,public,0.00571610034932,64000-64999
Civilingenjör,public,0.00936805335027,65000-65999
Civilingenjör,public,0.00825658939346,66000-66999
Civilingenjör,public,0.00523975865354,67000-67999
Civilingenjör,public,0.00603366147983,68000-68999
Civilingenjör,public,0.00428707526199,69000-69999
Civilingenjör,public,0.00714512543665,70000-70999
Civilingenjör,public,0.00381073356621,71000-71999
Civilingenjör,public,0.00381073356621,72000-72999
Civilingenjör,public,0.00349317243569,73000-73999
Civilingenjör,public,0.00285805017466,74000-74999
Civilingenjör,public,0.0330263575738,75000-
