profession,publicprivate,value,income
ekonom,private,0.00418235048097,-24999
ekonom,private,0.00409870347135,25000-25999
ekonom,private,0.00677540777917,26000-26999
ekonom,private,0.00869928900042,27000-27999
ekonom,private,0.0107904642409,28000-28999
ekonom,private,0.00936846507737,29000-29999
ekonom,private,0.0152237557507,30000-30999
ekonom,private,0.0121288163948,31000-31999
ekonom,private,0.014721873693,32000-32999
ekonom,private,0.0135508155583,33000-33999
ekonom,private,0.0158092848181,34000-34999
ekonom,private,0.0176495190297,35000-35999
ekonom,private,0.0165621079046,36000-36999
ekonom,private,0.0154746967796,37000-37999
ekonom,private,0.018235048097,38000-38999
ekonom,private,0.0158929318277,39000-39999
ekonom,private,0.0243412797992,40000-40999
ekonom,private,0.0175658720201,41000-41999
ekonom,private,0.0215809284818,42000-42999
ekonom,private,0.0204935173568,43000-43999
ekonom,private,0.0215809284818,44000-44999
ekonom,private,0.028356336261,45000-45999
ekonom,private,0.0221664575491,46000-46999
ekonom,private,0.0225010455876,47000-47999
ekonom,private,0.0228356336261,48000-48999
ekonom,private,0.018235048097,49000-49999
ekonom,private,0.0295273943957,50000-50999
ekonom,private,0.0194897532413,51000-51999
ekonom,private,0.0210790464241,52000-52999
ekonom,private,0.0177331660393,53000-53999
ekonom,private,0.0173985780008,54000-54999
ekonom,private,0.0242576327896,55000-55999
ekonom,private,0.0178168130489,56000-56999
ekonom,private,0.0178168130489,57000-57999
ekonom,private,0.0146382266834,58000-58999
ekonom,private,0.0122961104141,59000-59999
ekonom,private,0.0225010455876,60000-60999
ekonom,private,0.012965286491,61000-61999
ekonom,private,0.0158092848181,62000-62999
ekonom,private,0.0130489335006,63000-63999
ekonom,private,0.0134671685487,64000-64999
ekonom,private,0.0186532831451,65000-65999
ekonom,private,0.0114596403179,66000-66999
ekonom,private,0.0114596403179,67000-67999
ekonom,private,0.0116269343371,68000-68999
ekonom,private,0.0086156419908,69000-69999
ekonom,private,0.0145545796738,70000-70999
ekonom,private,0.00752823086575,71000-71999
ekonom,private,0.0090338770389,72000-72999
ekonom,private,0.00786281890422,73000-73999
ekonom,private,0.0081974069427,74000-74999
ekonom,private,0.0113759933082,75000-75999
ekonom,private,0.00736093684651,76000-76999
ekonom,private,0.00593893768298,77000-77999
ekonom,private,0.00727728983689,78000-78999
ekonom,private,0.00568799665412,79000-79999
ekonom,private,0.0109577582601,80000-80999
ekonom,private,0.0056043496445,81000-81999
ekonom,private,0.0051861145964,82000-82999
ekonom,private,0.00468423253869,83000-83999
ekonom,private,0.00476787954831,84000-84999
ekonom,private,0.00786281890422,85000-85999
ekonom,private,0.00401505646173,86000-86999
ekonom,private,0.00368046842325,87000-87999
ekonom,private,0.00393140945211,88000-88999
ekonom,private,0.00368046842325,89000-89999
ekonom,private,0.00568799665412,90000-90999
ekonom,private,0.00309493935592,91000-91999
ekonom,private,0.00426599749059,92000-92999
ekonom,private,0.00368046842325,93000-93999
ekonom,private,0.00225846925972,94000-94999
ekonom,private,0.00426599749059,95000-95999
ekonom,private,0.0025930572982,96000-96999
ekonom,private,0.00200752823087,97000-97999
ekonom,private,0.00334588038478,98000-98999
ekonom,private,0.00242576327896,99000-99999
ekonom,private,0.00468423253869,100000-1009
ekonom,private,0.00242576327896,101000-1019
ekonom,private,0.00284399832706,102000-1029
ekonom,private,0.00184023421163,103000-1039
ekonom,private,0.00192388122125,104000-1049
ekonom,private,0.00267670430782,105000-1059
ekonom,private,0.00125470514429,106000-1069
ekonom,private,0.00192388122125,107000-1079
ekonom,private,0.00175658720201,108000-1089
ekonom,private,0.00100376411543,109000-1099
ekonom,private,0.00284399832706,110000-1109
ekonom,private,0.00142199916353,111000-1119
ekonom,private,0.00209117524049,112000-1129
ekonom,private,0.00133835215391,113000-1139
ekonom,private,0.00117105813467,114000-1149
ekonom,private,0.00150564617315,115000-1159
ekonom,private,0.00142199916353,116000-1169
ekonom,private,0.00108741112505,117000-1179
ekonom,private,0.00133835215391,118000-1189
ekonom,private,0.00108741112505,119000-1199
ekonom,private,0.00225846925972,120000-1209
ekonom,private,0.000334588038478,121000-1219
ekonom,private,0.000669176076955,122000-1229
ekonom,private,0.000920117105813,123000-1239
ekonom,private,0.000167294019239,124000-1249
ekonom,private,0.00142199916353,125000-1259
ekonom,private,0.000501882057716,126000-1269
ekonom,private,0.00100376411543,127000-1279
ekonom,private,0.000752823086575,128000-1289
ekonom,private,0.000250941028858,129000-1299
ekonom,private,0.00117105813467,130000-1309
ekonom,private,0.000334588038478,131000-1319
ekonom,private,0.000752823086575,132000-1329
ekonom,private,0.00100376411543,133000-1339
ekonom,private,0.000501882057716,134000-1349
ekonom,private,0.0270179841071,135000-
