profession,publicprivate,value,income
Ekonom,public,0.00313332288892,-24999
Ekonom,public,0.00250665831114,25000-25999
Ekonom,public,0.00266332445559,26000-26999
Ekonom,public,0.00516998276672,27000-27999
Ekonom,public,0.0122199592668,28000-28999
Ekonom,public,0.0145699514335,29000-29999
Ekonom,public,0.0191132696224,30000-30999
Ekonom,public,0.0172332758891,31000-31999
Ekonom,public,0.0224032586558,32000-32999
Ekonom,public,0.0233432555225,33000-33999
Ekonom,public,0.0286699044337,34000-34999
Ekonom,public,0.0318032273226,35000-35999
Ekonom,public,0.0300798997337,36000-36999
Ekonom,public,0.0313332288892,37000-37999
Ekonom,public,0.0404198652671,38000-38999
Ekonom,public,0.0349365502115,39000-39999
Ekonom,public,0.0410465298449,40000-40999
Ekonom,public,0.0361898793671,41000-41999
Ekonom,public,0.0399498668338,42000-42999
Ekonom,public,0.0405765314116,43000-43999
Ekonom,public,0.0338398872004,44000-44999
Ekonom,public,0.0377565408115,45000-45999
Ekonom,public,0.0341532194893,46000-46999
Ekonom,public,0.0328998903337,47000-47999
Ekonom,public,0.0288265705781,48000-48999
Ekonom,public,0.0253799154003,49000-49999
Ekonom,public,0.0307065643115,50000-50999
Ekonom,public,0.0233432555225,51000-51999
Ekonom,public,0.021776594078,52000-52999
Ekonom,public,0.0211499295002,53000-53999
Ekonom,public,0.0195832680558,54000-54999
Ekonom,public,0.0167632774557,55000-55999
Ekonom,public,0.0150399498668,56000-56999
Ekonom,public,0.0145699514335,57000-57999
Ekonom,public,0.0117499608335,58000-58999
Ekonom,public,0.00955663481122,59000-59999
Ekonom,public,0.0139432868557,60000-60999
Ekonom,public,0.00861663794454,61000-61999
Ekonom,public,0.00892997023343,62000-62999
Ekonom,public,0.00908663637788,63000-63999
Ekonom,public,0.00892997023343,64000-64999
Ekonom,public,0.00642331192229,65000-65999
Ekonom,public,0.00751997493342,66000-66999
Ekonom,public,0.00595331348896,67000-67999
Ekonom,public,0.00532664891117,68000-68999
Ekonom,public,0.00469998433339,69000-69999
Ekonom,public,0.00579664734451,70000-70999
Ekonom,public,0.00250665831114,71000-71999
Ekonom,public,0.0040733197556,72000-72999
Ekonom,public,0.00375998746671,73000-73999
Ekonom,public,0.00266332445559,74000-74999
Ekonom,public,0.00297665674448,75000-75999
Ekonom,public,0.00391665361115,76000-76999
Ekonom,public,0.00266332445559,77000-77999
Ekonom,public,0.00250665831114,78000-78999
Ekonom,public,0.0020366598778,79000-79999
Ekonom,public,0.00297665674448,80000-80999
Ekonom,public,0.00266332445559,81000-81999
Ekonom,public,0.00156666144446,82000-82999
Ekonom,public,0.00109666301112,83000-83999
Ekonom,public,0.00187999373335,84000-84999
Ekonom,public,0.0230299232336,85000-
